变量名,version,award,rank
默认值,0,{},0
ID,版本,奖励,排名
1,,{coin21=40000;gold=6000000;rmb=2000},1
2,,{coin21=37000;gold=5500000;rmb=1800},2
3,,{coin21=34000;gold=5000000;rmb=1600},3
4,,{coin21=31000;gold=4500000;rmb=1450},4
5,,{coin21=28000;gold=4000000;rmb=1300},5
6,,{coin21=25000;gold=3500000;rmb=1150},6
7,,{coin21=22000;gold=3000000;rmb=1000},7
8,,{coin21=20000;gold=2800000;rmb=900},8
9,,{coin21=18000;gold=2600000;rmb=800},16
10,,{coin21=17000;gold=2400000;rmb=700},32
11,,{coin21=16000;gold=2200000;rmb=600},99999
