变量名,regainHour,exchangeLimit,limitType,limitTimes,showUnable,vipStart,endDate,beginDate,sortValue,itemMap,costMap,levelRange,languages
默认值,0,-1,0,0,FALSE,0,20990101,0,0,{},{},<1;150>,<cn>
ID,恢复小时,兑换限制,限制类型,限制次数,显示无法,VIP开始,结束日期,开始日期,排序值,物品映射,消耗映射,等级范围,语言列表
1001,30,2,,,,,,,1,{gold=1},{coin21=120000},<200;200>,<cn>
2001,48,2,,,,,,,1,{22391=1},{coin21=3600},<1;150>,<cn;en;kr;tw;en_us>
2011,30,2,,,,,,,2,{23191=3},{coin21=2400},<1;150>,<cn;en;kr;tw;en_us>
2021,30,2,,,,,,,3,{23961=3},{coin21=2400},<1;150>,<cn;en;kr;tw;en_us>
2031,30,2,,,,,,,4,{22411=3},{coin21=2400},<1;150>,<cn;en;kr;tw;en_us>
2041,30,2,,,,,,,5,{23671=3},{coin21=2400},<1;150>,<cn;en;kr;tw;en_us>
2043,30,2,,,,,,,6,{23831=3},{coin21=2400},<1;150>,<cn;en;kr;tw;en_us>
2045,30,2,,,,,,,7,{24191=3},{coin21=2400},<1;150>,<cn;en;kr;tw;en_us>
2061,60,2,,,,,,,9,{502=1},{coin21=3000},<1;150>,<cn;en;kr;tw;en_us>
2071,480,1,,,,,,,10,{8833=1},{coin21=30000},<1;150>,<cn;en;kr;tw;en_us>
2091,48,2,,,,,,,15,{161=50},{coin21=1500},<1;150>,<cn;en;kr;tw;en_us>
2101,48,2,,,,,,,16,{514=30},{coin21=720},<1;150>,<cn;en;kr;tw;en_us>
2111,12,10,,,,,,,17,{514=10},{coin21=240},<1;150>,<cn;en;kr;tw;en_us>
2121,24,2,,,,,,,18,{15=10},{coin21=720},<1;150>,<cn;en;kr;tw;en_us>
2131,4,12,,,,,,,19,{15=2},{coin21=240},<1;150>,<cn;en;kr;tw;en_us>
2141,18,2,,,,,,,20,{870=20},{coin21=720},<1;150>,<cn;en;kr;tw;en_us>
2151,18,2,,,,,,,21,{930=20},{coin21=720},<1;150>,<cn;en;kr;tw;en_us>
2161,,,4,1,,,,,22,{2528=1},{coin21=36000},<1;150>,<cn;en;kr;tw;en_us>
