变量名,layer,x,z1,flipX,z,y,anchorY,anchorX,scale,res,scene
默认值,"""""",0,"""""",0,"""""",0,0.5,0.5,1,"""""",0
ID,层级,X坐标,Z1,水平翻转,Z坐标,Y坐标,锚点Y,锚点X,缩放,资源路径,场景ID
10001,panelCloud,-4116,,,3,1602,0,0,2,yun/img_yc01.png,1
10002,panelCloud,-2439,,,2,1783,,,2,yun/img_yc07.png,1
10003,panelCloud,1590,,,3,2550,1,,2,yun/img_yc02.png,1
10004,panelCloud,4100,,,3,2550,1,1,2,yun/img_yc03.png,1
10005,panelCloud,-4116,,,,-2566,0,0,2,yun/img_yc05.png,1
10006,panelCloud,-3611,,,1,2068,1,0,2,yun/img_ycd01.png,1
10007,panelCloud,-2090,,,1,1383,,,,yun/img_ycd06.png,1
10008,panelCloud,-3932,,,3,-777,,,2.5,yun/img_yc06.png,1
10009,panelCloud,-3378,,,1,-1136,,,2.5,yun/img_ycd05.png,1
10010,panelCloud,1988,,,3,-2019,,,2,yun/img_yc07.png,1
10011,panelCloud,2395,,,1,-2477,,,,yun/img_ycd06.png,1
10012,panelCloud,3106,,,3,-1950,,,2,yun/img_yc04.png,1
10013,panelCloud,1966,,,,1810,,,1.4,yun/img_ycd02.png,1
10014,panelCloud,3740,,,,1324,,,1.5,yun/img_ycd03.png,1
20001,panelCloud,-4116,,,3,952,0,0,2,yun/img_yc01.png,2
20002,panelCloud,-2439,,,2,1133,,,2,yun/img_yc07.png,2
20003,panelCloud,1590,,,,1900,1,,2,yun/img_yc02.png,2
20004,panelCloud,4100,,,,1900,1,1,2,yun/img_yc03.png,2
20005,panelCloud,-4116,,,,-1916,0,0,2,yun/img_yc05.png,2
20006,panelCloud,-3611,,,1,1418,1,0,2,yun/img_ycd01.png,2
20007,panelCloud,-2090,,,1,733,,,,yun/img_ycd06.png,2
20008,panelCloud,-3932,,,3,-127,,,2.5,yun/img_yc06.png,2
20009,panelCloud,-3378,,,1,-486,,,2.5,yun/img_ycd05.png,2
20010,panelCloud,1988,,,3,-1369,,,2,yun/img_yc07.png,2
20011,panelCloud,2395,,,1,-1827,,,,yun/img_ycd06.png,2
20012,panelCloud,3106,,,3,-1300,,,2,yun/img_yc04.png,2
30001,panelCloud,-4116,,,3,952,0,0,2,yun/img_yc01.png,3
30002,panelCloud,-2439,,,2,1133,,,2,yun/img_yc07.png,3
30003,panelCloud,1590,,,,1900,1,,2,yun/img_yc02.png,3
30004,panelCloud,4100,,,,1900,1,1,2,yun/img_yc03.png,3
30005,panelCloud,-4116,,,,-1916,0,0,2,yun/img_yc05.png,3
30006,panelCloud,-3611,,,1,1418,1,0,2,yun/img_ycd01.png,3
30007,panelCloud,-2090,,,1,733,,,,yun/img_ycd06.png,3
30008,panelCloud,-3932,,,3,-127,,,2.5,yun/img_yc06.png,3
30009,panelCloud,-3378,,,1,-486,,,2.5,yun/img_ycd05.png,3
30010,panelCloud,1988,,,3,-1369,,,2,yun/img_yc07.png,3
30011,panelCloud,2395,,,1,-1827,,,,yun/img_ycd06.png,3
30012,panelCloud,3106,,,3,-1300,,,2,yun/img_yc04.png,3
110001,panelBg,-1068,,1,,-56,,,1.3,caodi/img_cd02.png,1
110002,panelBg,-724,,1,,-1043,,,1.3,caodi/img_cd02.png,1
110003,panelBg,292,,,,232,,,,caodi/img_cd01.png,1
110004,panelBg,-800,,,,401,,,,caodi/img_cd01.png,1
110005,panelBg,1884,,,,692,,,,caodi/img_cd01.png,1
110006,panelBg,-2139,,,,62,,,1.3,caodi/img_cd02.png,1
110007,panelBg,1057,,,,1077,,,1.3,caodi/img_cd02.png,1
110008,panelBg,952,,,,127,,,1.3,caodi/img_cd02.png,1
110009,panelBg,-37,,,,-801,,,1.3,caodi/img_cd02.png,1
110010,panelBg,1186,,,,-363,,,1.3,caodi/img_cd01.png,1
110011,panelBg,-1765,,,,-764,,,,caodi/img_cd01.png,1
110012,panelBg,-2427,,,,-735,,,,caodi/img_cd01.png,1
110013,panelBg,-2646,,,,355,,,,caodi/img_cd01.png,1
110014,panelBg,-1671,,,,841,,,,caodi/img_cd01.png,1
110015,panelBg,213,,,,-827,,,,caodi/img_cd03.png,1
110016,panelBg,2215,,,,-1112,,,,caodi/img_cd03.png,1
110017,panelBg,-2441,,,,-1171,,,,caodi/img_cd03.png,1
110018,panelBg,-3840,,,,-906,,,,caodi/img_cd01.png,1
110019,panelBg,691,,,,585,,,2,caodi/img_cd02.png,1
110020,panelBg,-471,,,,-736,,,2,caodi/img_cd02.png,1
110021,panelBg,1141,,,,1601,,,,caodi/img_cd01.png,1
110022,panelBg,1896,3,,,1484,,,,caodi/img_cd01.png,1
110023,panelBg,3553,2,,,1328,,,,caodi/img_cd01.png,1
110024,panelBg,2534,,,,951,,,,caodi/img_cd03.png,1
110025,panelBg,3255,,,,795,,,,caodi/img_cd01.png,1
110026,panelBg,3840,,,,-132,,,2,caodi/img_cd02.png,1
110027,panelBg,3130,1,,,-1802,,,,caodi/img_cd03.png,1
110028,panelBg,3443,,,,-424,,,,caodi/img_cd03.png,1
110029,panelBg,2722,1,,,-1194,,,,caodi/img_cd01.png,1
110030,panelBg,2143,3,,,-1657,,,,caodi/img_cd01.png,1
110031,panelBg,-2893,1,,,-1835,,,,caodi/img_cd01.png,1
110032,panelBg,2978,3,,,404,,,,caodi/img_cd01.png,1
110033,panelBg,3023,1,,,-285,,,,caodi/img_cd01.png,1
110034,panelBg,213,3,,,2113,,,1.2,caodi/img_cd03.png,1
110035,panelBg,3054,,,,-555,,,1.2,caodi/img_cd03.png,1
110036,panelBg,-3427,,,,1939,,,2,waiwei/img_wwss01.png,1
110037,panelBg,-1828,,,,2405,,,2,waiwei/img_wwss02.png,1
110038,panelBg,-571,,,,2389,,,2,waiwei/img_wwss03.png,1
110039,panelBg,1566,,,,2413,,,2,waiwei/img_wwss04.png,1
110040,panelBg,2730,,,,2256,,,2,waiwei/img_wwss05.png,1
110041,panelBg,3849,,,,2303,,,2,waiwei/img_wwss06.png,1
110042,panelBg,3908,,,,1634,,,2,waiwei/img_wwss07.png,1
110043,panelBg,3813,1,,,-1906,,,2,waiwei/img_wwss08.png,1
110044,panelBg,2339,,,,-2425,,,2,waiwei/img_wwss09.png,1
110045,panelBg,1107,,,,-2428,,,2,waiwei/img_wwss12.png,1
110046,panelBg,-117,,,,-2458,,,2,waiwei/img_wwss11.png,1
110047,panelBg,-1089,,,,-2487,,,2,waiwei/img_wwss10.png,1
110048,panelBg,-3971,,,,-458,,,2,waiwei/img_wwss14.png,1
110049,panelBg,-2426,,,,1681,,,1.2,caodi/img_cd01.png,1
110050,panelBg,-681,,,,-1538,,,,caodi/img_cd02.png,1
110051,panelBg,-630,,1,,-2145,,,1.6,caodi/img_cd03.png,1
110052,panelBg,-3506,,,,-414,,,1.2,caodi/img_cd01.png,1
110053,panelBg,-495,,,,1317,,,1.5,caodi/img_cd03.png,1
110054,panelBg,3386,,1,,1076,,,0.9,caodi/img_cd03.png,1
110055,panelBg,-126,,,,-1529,,,,caodi/img.png,1
110056,panelBg,236,,,,1699,,,1.9,caodi/img_cd02.png,1
110057,panelCenter,1273,2,,,-842,,,,img_lth.png,1
110058,panelCenter,-583,,1,,-835,,,,img_ltl.png,1
110059,panelCenter,468,1,1,,-120,,,,img_lz01.png,1
110060,panelCenter,-1073,1,1,,1096,,,,img_lz01.png,1
110061,panelCenter,-708,,,,-657,,,,img_qz.png,1
110062,panelCenter,1300,,,,-457,,,0.6,img_sg.png,1
110063,panelCenter,1436,,,,-127,,,,img_lz03.png,1
110064,panelCenter,-1324,,,,-852,,,,img_lz03.png,1
110065,panelCenter,-1572,,,,131,,,,img_lth.png,1
110066,panelCenter,1662,,,,139,,,,img_ltl.png,1
110067,panelCenter,1767,,,,136,,,,img_ltl.png,1
110068,panelCenter,-1341,,,,1113,,,,img_ltl.png,1
110069,panelCenter,-477,,,,115,,,,img_lz01.png,1
110070,panelCenter,-1308,,,,132,,,,img_ltl.png,1
110071,panelCenter,1202,,,,699,,,,img_mt.png,1
110072,panelCenter,1069,,,,698,,,,img_mt.png,1
110073,panelCenter,941,,,,793,,,,img_mt.png,1
110074,panelCenter,-167,,,,375,,,,img_mt.png,1
110075,panelCenter,-297,,,,376,,,,img_mt.png,1
110076,panelCenter,-427,,,,377,,,,img_mt.png,1
110077,panelCenter,-429,,,,278,,,,img_mt.png,1
110078,panelCenter,-300,,,,276,,,,img_mt.png,1
110079,panelCenter,145,,,,636,,,,img_zt.png,1
110080,panelCenter,923,,,,665,,,0.7,img_sg.png,1
110081,panelCenter,2186,,,,353,,,0.7,img_sg.png,1
110082,panelCenter,1853,,,,-492,,,,img_mt.png,1
110083,panelCenter,-1216,,,,-455,,,,img_mt.png,1
110084,panelCenter,-800,,,,-848,,,,img_lz03.png,1
110085,panelCenter,1073,,,,789,,,,img_mt.png,1
110086,panelCenter,1551,,,,316,,,,img_qz.png,1
110087,panelCenter,-426,,,,-326,,,,img_mt.png,1
110088,panelCenter,-294,,,,-329,,,,img_mt.png,1
110089,panelCenter,-1346,2,,,-550,,,,img_mt.png,1
110090,panelCenter,288,,,,-475,,,,img_mt.png,1
110091,panelCenter,-1674,,,,-155,,,,img_mt.png,1
110092,panelCenter,-1803,,,,-154,,,,img_mt.png,1
110093,panelCenter,-1541,2,,,-157,,,,img_mt.png,1
110094,panelCenter,398,,,,1137,,,,img_mt.png,1
110095,panelCenter,532,,,,1138,,,,img_mt.png,1
110096,panelCenter,663,,,,1137,,,,img_mt.png,1
110097,panelCenter,-832,,,,842,,,,img_lth.png,1
110098,panelCenter,-738,,,,838,,,,img_lth.png,1
110099,panelCenter,-485,,,,839,,,,img_ltl.png,1
110100,panelCenter,-164,,,,-227,,,,img_mt.png,1
110101,panelCenter,1018,,,,-854,,,,img_lz01.png,1
110102,panelCenter,428,,,,-1101,,,,img_ltl.png,1
110103,panelCenter,608,,,,-1407,,,,img_mt.png,1
110104,panelCenter,-1723,,,,128,,,,img_lz03.png,1
110105,panelCenter,478,,,,-1404,,,,img_mt.png,1
110106,panelCenter,346,,,,-1403,,,,img_mt.png,1
110107,panelCenter,346,,,,-1502,,,,img_mt.png,1
110108,panelCenter,219,,,,-1304,,,,img_mt.png,1
110109,panelCenter,157,,,,-573,,,,img_mt.png,1
110110,panelCenter,-1367,,,,-1105,,,,img_lth.png,1
110111,panelCenter,1382,,,,-845,,,,img_ltl.png,1
110112,panelCenter,-1100,,,,-1116,,,,img_lz01.png,1
110113,panelCenter,1986,,,,-491,,,,img_mt.png,1
110114,panelCenter,596,,,,-1115,,,,img_lz03.png,1
110115,panelCenter,-648,,,,1267,,,,img_mt.png,1
110116,panelCenter,2606,,,,-170,,,,img_lth.png,1
110117,panelCenter,-2359,,,,-476,,,,img_ltl.png,1
110118,panelCenter,-633,,,,-1417,,,,img_mt.png,1
110119,panelCenter,-274,,,,1657,,,,img_ltl.png,1
110120,panelOuter,-4026,,,,1879,,,,img_shu01.png,1
110121,panelOuter,-3807,,,,276,,,,img_mt.png,1
110122,panelOuter,-3678,,,,278,,,,img_mt.png,1
110123,panelOuter,-2920,,,,2168,,,,img_cc01.png,1
110124,panelOuter,-424,,,,2411,,,,img_cc01.png,1
