变量名,fmt,fmt_tw,fmt_en,fmt_kr
默认值,"""""","""""","""""",""""""
ID,描述字符串,描述字符串,描述字符串,描述字符串_韩
1,#C0x5C9970#%s#C0x5B545B#加入公会,#C0x5C9970#%s#C0x5B545B#加入公會,#C0x5C9970#%s#C0x5B545B# Joined Guild,#C0x5C9970#%s#C0x5B545B# ?? ??? ??????.
2,#C0x5C9970#%s#C0x5B545B#退出公会,#C0x5C9970#%s#C0x5B545B#退出公會,#C0x5C9970#%s#C0x5B545B# Quit ot of Guild,#C0x5C9970#%s#C0x5B545B# ?? ??? ??????.
3,#C0x5C9970#%s#C0x5B545B#被#C0x5C9970#%s#C0x5B545B#踢出公会,#C0x5C9970#%s#C0x5B545B#被#C0x5C9970#%s#C0x5B545B#踢出公會,#C0x5C9970#%s#C0x5B545B# was Kicked out of Guild by #C0x5C9970#%s#C0x5B545B#,#C0x5C9970#%s#C0x5B545B# ?? #C0x5C9970#%s#C0x5B545B# ?? ?? ???? ???????.
4,#C0x5C9970#%s#C0x5B545B#晋级为副会长,#C0x5C9970#%s#C0x5B545B#晉級為副會長,#C0x5C9970#%s#C0x5B545B# is promoted to Vice Leader,#C0x5C9970#%s#C0x5B545B# ?? ???? ?????.
5,#C0x5C9970#%s#C0x5B545B#降级为会员,#C0x5C9970#%s#C0x5B545B#降級為會員,#C0x5C9970#%s#C0x5B545B# is demoted to Member,#C0x5C9970#%s#C0x5B545B# ?? ???? ???????.
6,#C0x5C9970#%s#C0x5B545B#转让会长给#C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B#轉讓會長給#C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B# transfer Leader to#C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B# ?? ?? ??? #C0x5C9970#%s ??? ??????.
7,#C0x5C9970#%s#C0x5B545B#被选拔为新任会长,#C0x5C9970#%s#C0x5B545B#被選拔為新任會長,#C0x5C9970#%s#C0x5B545B# is selected as new leader,#C0x5C9970#%s#C0x5B545B# ?? ?? ??? ?????.
8,#C0x5C9970#%s#C0x5B545B#批准#C0x5C9970#%s#C0x5B545B#加入公会,#C0x5C9970#%s#C0x5B545B#批准#C0x5C9970#%s#C0x5B545B#加入公會,#C0x5C9970#%s#C0x5B545B# approved #C0x5C9970#%s#C0x5B545B# to join the Guild,#C0x5C9970#%s#C0x5B545B# ?? #C0x5C9970#%s#C0x5B545B# ?? ?? ??? ??????.
