变量名,name,icon,sort,preSkill,needGuildLv,attrNatureType,attrType
默认值,"""""",config/item/icon_bsdmz.png,1,<>,0,0,1
修炼组ID,修炼名称,修炼的图标显示,排序,前置修炼,需要公会等级,自然卡牌加成目标,加成项目
1,生命源泉,common/icon/union_skill/icon_sm.png,1,,,0,1
2,物攻学习,common/icon/union_skill/icon_bs.png,2,,,0,7
3,特攻学习,common/icon/union_skill/icon_bj.png,3,,,0,8
4,物防增强,common/icon/union_skill/icon_wf.png,4,,,0,9
5,特防增强,common/icon/union_skill/icon_tf.png,5,,,0,10
6,体能训练,common/icon/union_skill/icon_sm.png,6,<1;10>,6,0,1
7,力量锤炼,common/icon/union_skill/icon_bs.png,7,<2;10>,6,0,7
8,意志磨练,common/icon/union_skill/icon_bj.png,8,<3;10>,6,0,8
9,健身强体,common/icon/union_skill/icon_wf.png,9,<4;10>,6,0,9
10,精神修炼,common/icon/union_skill/icon_tf.png,10,<5;10>,6,0,10
11,抵御训练,common/icon/union_skill/icon_tg.png,11,,8,0,17
12,强化抵御,common/icon/union_skill/icon_tg.png,12,,8,0,19
13,精进治疗效果,common/icon/union_skill/icon_sm.png,14,,8,0,28
14,暴击增强,common/icon/union_skill/icon_wg.png,15,,8,0,14
15,强化暴击伤害,common/icon/union_skill/icon_wg.png,16,,8,0,15
16,强化暴击抗性,common/icon/union_skill/icon_tf.png,17,,8,0,16
17,破除抵御,common/icon/union_skill/icon_bs.png,13,,8,0,18
18,竞技伤害加成,common/icon/union_skill/icon_wg.png,18,,10,0,92
19,竞技伤害减免,common/icon/union_skill/icon_wf.png,19,,10,0,93
