变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin3=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,碎片,{20111=10},5,{coin3=1500},0,0,,,0,<200;200>,,,
2,培养代币,{451=10},5,{coin3=500},0,0,,,1,<200;200>,,,
3,碎片,{20021=10},5,{coin3=1500},0,0,,,2,<200;200>,,,
4,强化药剂,{5000=10},20,{coin3=400},0,0,,,3,<200;200>,,,
5,碎片,{20171=10},5,{coin3=900},0,0,,,4,<200;200>,,,
,,,,,,,,,,,,,
7,碎片,{20331=10},5,{coin3=900},0,0,,,6,<200;200>,,,
,,,,,,,,,,,,,
9,碎片,{20491=10},5,{coin3=900},0,0,,,8,<200;200>,,,
,,,,,,,,,,,,,
10,5W金币,{514=10},5,{coin3=200},0,0,,,10,<200;200>,,,
11,碎片,{20471=10},5,{coin3=2000},0,0,,,13,<200;200>,,,
,,,,,,,,,,,,,
21,碎片,{20741=10},5,{coin3=1500},0,100,,,0,<200;200>,,,
22,碎片,{21241=10},5,{coin3=1500},0,100,,,1,<200;200>,,,
23,碎片,{20271=10},5,{coin3=900},0,100,,,2,<200;200>,,,
24,碎片,{20481=10},5,{coin3=900},0,100,,,3,<200;200>,,,
,,,,,,,,,,,,,
25,培养代币,{452=10},10,{coin3=500},0,100,,,12,,,,
26,强化药剂,{5000=10},20,{coin3=400},0,100,,,13,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27,5W金币,{514=10},5,{coin3=200},0,100,,,14,,,,
,,,,,,,,,,,,,
31,黏黏宝,{23541=10},5,{coin3=1500},0,100,,,0,,,,
32,几何雪花,{23021=10},5,{coin3=1500},0,100,,,1,,,,
33,超甲狂犀,{20491=10},5,{coin3=1500},0,100,,,2,,,,
,,,,,,,,,,,,,
41,水跃鱼,{21311=10},5,{coin3=1500},0,100,,,3,,,,
42,闪电鸟,{20731=10},5,{coin3=1500},0,100,,,4,,,,
43,狃拉,{21081=10},5,{coin3=1500},0,100,,,5,,,,
,,,,,,,,,,,,,
34,腕力,{20271=10},5,{coin3=900},0,100,,,6,,,,
35,草苗龟,{22011=10},5,{coin3=900},0,100,,,7,,,,
36,大舌头,{20471=10},5,{coin3=900},0,100,,,8,,,,
37,妙蛙花,{20001=10},5,{coin3=900},0,100,,,9,,,,
,,,,,,,,,,,,,
51,绵绵泡芙,{23431=10},5,{coin3=900},0,100,,,10,,,,
52,迷你冰,{22871=10},5,{coin3=900},0,100,,,11,,,,
,,,,,,,,,,,,,
101,宝石21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,15,<1;27>,,,
102,宝石21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,15,<1;27>,,,
103,宝石22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,15,<1;39>,,,
104,宝石22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,15,<1;39>,,,
105,宝石31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,15,<1;49>,,,
106,宝石31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,15,<1;49>,,,
107,宝石32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,15,<28;59>,,,
108,宝石32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,15,<28;59>,,,
109,宝石33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,15,<40;69>,,,
110,宝石33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,15,<40;69>,,,
111,宝石41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,15,<50;79>,,,
112,宝石41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,15,<50;79>,,,
113,宝石42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,15,<60;84>,,,
114,宝石42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,15,<60;84>,,,
115,宝石51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,15,<70;100>,,,
116,宝石51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,15,<70;100>,,,
117,宝石52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
118,宝石52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
119,宝石53,{5028=100;5029=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
120,宝石53,{5028=100;5029=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
121,宝石54,{5031=100;5032=100;5033=100},30,{coin3=930},,100,,,16,<95;114>,,,
122,宝石54,{5031=100;5032=100;5033=100},30,{coin3=930},,100,,,16,<95;114>,,,
123,宝石55,{5034=100;5035=100;5036=100},30,{coin3=990},,100,,,16,<100;119>,,,
124,宝石55,{5034=100;5035=100;5036=100},30,{coin3=990},,100,,,16,<100;119>,,,
125,宝石61,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
126,宝石61,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
127,宝石62,{5040=100;5041=100;5042=100},30,{coin3=1050},,100,,,16,<110;129>,,,
128,宝石62,{5040=100;5041=100;5042=100},30,{coin3=1050},,100,,,16,<110;129>,,,
129,宝石63,{5043=100;5044=100;5045=100},30,{coin3=1080},,100,,,16,<115;134>,,,
130,宝石63,{5043=100;5044=100;5045=100},30,{coin3=1080},,100,,,16,<115;134>,,,
131,宝石64,{5046=100;5047=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
132,宝石64,{5046=100;5047=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
133,宝石65,{5049=100;5050=100;5051=100},30,{coin3=1200},,100,,,16,<125;144>,,,
134,宝石65,{5049=100;5050=100;5051=100},30,{coin3=1200},,100,,,16,<125;144>,,,
135,宝石66,{5052=100;5053=100;5054=100},30,{coin3=1270},,100,,,16,<130;149>,,,
136,宝石66,{5052=100;5053=100;5054=100},30,{coin3=1270},,100,,,16,<130;149>,,,
,,,,,,,,,,,,,
201,宝石21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,16,<1;27>,,,
202,宝石21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,16,<1;27>,,,
203,宝石22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,16,<1;39>,,,
204,宝石22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,16,<1;39>,,,
205,宝石31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,16,<1;49>,,,
206,宝石31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,16,<1;49>,,,
207,宝石32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,16,<28;59>,,,
208,宝石32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,16,<28;59>,,,
209,宝石33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,16,<40;69>,,,
210,宝石33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,16,<40;69>,,,
211,宝石41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,16,<50;79>,,,
212,宝石41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,16,<50;79>,,,
213,宝石42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,16,<60;84>,,,
214,宝石42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,16,<60;84>,,,
215,宝石51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,16,<70;100>,,,
216,宝石51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,16,<70;100>,,,
217,宝石52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
218,宝石52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
219,宝石53,{5028=100;5029=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
