变量名,_beizhu,targetType,tarhetArg,desc,desc_tw,desc_en,desc_vn,desc_kr,goto
默认值,,,,"""""","""""","""""","""""","""""",
提醒项目ID,名称备注,目标类型参数,目标值参数,文本描述,文本描述,文本描述,文本描述_越南,文本描述_韩,功能建筑
1,每日捐赠,contribute,,为公会添砖加瓦,為公會添磚加瓦,Upgrade the building of your union,404404,??? ?? ?????.,contribute
2,每日任务,uniontask,,有每日任务未完成,有每日任務未完成,You have uncompleted daily quests,404404,???? ?? ?? ???? ????.,contribute
3,每日礼包,dailygift,,可领取每日礼包,可領取每日禮包,You can claim daily pack,404404,?? ??? ??? ? ????.,dailygift
4,训练中心加速,speedup,6,为战友加速,為戰友加速,Speed up for your comrade,Vì chi?n h?u gia t?c,??? ?? ??? ???.,training
5,可领红包,dailypacket,,有红包可领取,有紅包可領取,There's Red Packet to be claimed,404404,?? ??? ???? ????.,redpacket
6,公会副本,fuben,3,挑战公会副本,挑戰公會副本,Challenge union Dungeon,404404,?? ?? ??,fuben
7,公会战,fightsign,,公会战可报名,公會戰可報名,Registration for union War is open,404404,??? ?? ?? ??,unionfight
8,许愿中心,fragdonate,,可以进行许愿,可以進行許願,You can make a wish,Có th? c?u nguy?n,?? ?? ??,fragdonate
