变量名,memberMax,viceChairmanMax,levelUpContrib,taskExpMax,ContribMax,ContribSumMax,openFeature,trainingExp,dailyGift,dailyPacket1,totalCount1,dailyPacket2,totalCount2,dailyPacket3,totalCount3,skillLvMax,notice1,notice2,notice3,notice4
默认值,99,2,100,100,1000,100,<>,0,{},{},10,{},10,{},10,2,"""""","""""","""""",""""""
ID,公会成员上限,公会副会长上限,升级所需公会贡献,每周任务获得的经验上限,每日成员贡献上限次数,每日公会主线贡献总上限,开启功能,训练所基准经验,每日礼包,每日红包1,红包个数,每日红包2,红包个数,每日红包3,红包个数,修炼等级上限,公会升级提醒1,公会升级提醒2,公会升级提醒3,公会升级提醒4
1,30,2,6000,27920,5,15000,<training;redpacket;dailygift;contribute;crossUnionAdventure>,1,{gold=20000;coin3=100;13=3;21841=1},{gold=1500000},20,{rmb=300},20,{coin3=1500},20,10,,解锁公会副本,,
2,31,2,12000,28760,5,15500,<fuben>,1,{gold=25000;coin3=110;13=3;21841=1},{gold=1700000},21,{rmb=320},21,{coin3=1600},21,10,会员人数上限+1（达到31）,解锁捐献中心,,
3,32,2,17000,29600,5,16000,<fragdonate>,1.01,{gold=30000;coin3=120;13=4;21841=1},{gold=1900000},22,{rmb=340},22,{coin3=1700},22,10,会员人数上限+1（达到32）,"解锁修炼中心, 公会战",,
4,33,2,30000,30440,5,16500,<unionskill;unionFight;crossunionfight>,1.01,{gold=35000;coin3=130;13=4;21841=1},{gold=2100000},23,{rmb=360},23,{coin3=1800},23,10,会员人数上限+1（达到33）,解锁精灵问答,,
5,34,2,48000,31280,5,17000,<unionqa>,1.02,{gold=40000;coin3=140;13=5;21841=1},{gold=2300000},24,{rmb=380},24,{coin3=1900},24,20,会员人数上限+1（达到34）,,,
6,35,2,64000,32120,5,17500,,1.02,{gold=45000;coin3=150;13=5;21841=2},{gold=2500000},25,{rmb=400},25,{coin3=2000},25,20,会员人数上限+1（达到35）,,,
7,36,2,92000,32960,5,18000,,1.03,{gold=50000;coin3=160;13=6;21841=2},{gold=2700000},26,{rmb=420},26,{coin3=2100},26,20,会员人数上限+1（达到36）,,,
8,37,2,147000,33800,5,18500,,1.03,{gold=55000;coin3=170;13=6;21841=2},{gold=2900000},27,{rmb=440},27,{coin3=2200},27,20,会员人数上限+1（达到37）,,,
9,38,2,230000,34640,5,19000,,1.04,{gold=60000;coin3=180;13=7;21841=2},{gold=3100000},28,{rmb=460},28,{coin3=2300},28,30,会员人数上限+1（达到38）,,,
10,39,2,346000,35000,5,19500,,1.04,{gold=65000;coin3=190;13=7;21841=2},{gold=3300000},29,{rmb=480},29,{coin3=2400},29,30,会员人数上限+1（达到39）,可设置副会长人数+1,,
11,40,3,428000,35000,5,20000,,1.05,{gold=70000;coin3=200;13=8;21841=3},{gold=3500000},30,{rmb=500},30,{coin3=2500},30,30,会员人数上限+1（达到40）,,,
12,41,3,524000,35000,5,20500,,1.05,{gold=75000;coin3=210;13=8;21841=3},{gold=3700000},30,{rmb=520},30,{coin3=2600},30,30,会员人数上限+1（达到41）,,,
13,42,3,640000,35000,5,21000,,1.06,{gold=80000;coin3=220;13=9;21841=3},{gold=3900000},31,{rmb=540},31,{coin3=2700},31,40,会员人数上限+1（达到42）,,,
14,43,3,778000,35000,5,21500,,1.06,{gold=85000;coin3=230;13=9;21841=3},{gold=4100000},31,{rmb=560},31,{coin3=2800},31,40,会员人数上限+1（达到43）,,,
15,44,3,924000,35000,5,22000,,1.07,{gold=90000;coin3=240;13=10;21841=3},{gold=4300000},32,{rmb=580},32,{coin3=2900},32,40,会员人数上限+1（达到44）,,,
16,45,3,1128000,35000,5,22500,,1.07,{gold=95000;coin3=250;13=10;21841=3},{gold=4500000},32,{rmb=600},32,{coin3=3000},32,40,会员人数上限+1（达到45）,,,
17,46,3,1380000,35000,5,23000,,1.08,{gold=100000;coin3=260;13=11;21841=3},{gold=4700000},33,{rmb=620},33,{coin3=3100},33,50,会员人数上限+1（达到46）,,,
18,47,3,1690000,35000,5,23500,,1.08,{gold=105000;coin3=270;13=11;21841=3},{gold=4900000},33,{rmb=640},33,{coin3=3200},33,50,会员人数上限+1（达到47）,,,
19,48,3,2040000,35000,5,24000,,1.09,{gold=110000;coin3=280;13=12;21841=3},{gold=5100000},34,{rmb=660},34,{coin3=3300},34,50,会员人数上限+1（达到48）,,,
20,49,3,2450000,35000,5,24500,,1.09,{gold=115000;coin3=290;13=12;21841=3},{gold=5300000},34,{rmb=680},34,{coin3=3400},34,50,会员人数上限+1（达到49）,,,
