变量名,name,res,simpleIcon,coordinate,componentIDs,effect,levelMax,extraEff,extraEffCod,advanceCostSeq,quality,bg,coreOpenLevel,townSkill,townShowRes
默认值,,config/explorer/test_qpp.png,config/explorer/img_txq3_1.png,{},<>,<>,20,<>,<>,1,1,tanxianqibeijing/tanxianqibeijing.skel,,2001,config/explorer/icon_tjxnldc.png
ID,探险器名称,spine资源路径,探险器icon,spine的界面坐标,所属组件位ID组,探险器效果ID,进阶等级上限,额外效果ID组,额外效果对应激活条件(进阶等级),进阶消耗序列,品质,背景spine,核心开放等级,家园技能ID,家园显示资源
,,,,,,,,,,,,,,,
1,Rhydon Armored Vehicle,tiejiaxiniulvdaiche/tiejiaxiniulvdaiche.skel,config/explorer/img_tjxn.png,{scale=3.3;x=850;y=210},<1;2;3>,<1;2>,20,<3;4;5;6>,<3;6;9;12>,2,2,tanxianqibeijing/tanxianqibeijing.skel,20,2001,config/explorer/icon_tjxnldc.png
2,Armored vehicle component,dajialvdaiche/dajialvdaiche.skel,config/explorer/img_djldc.png,{scale=3.0;x=850;y=210},<4;5;6>,<7;8>,20,<9;10;11;12>,<3;6;9;12>,2,2,tanxianqibeijing/tanxianqibeijing.skel,20,2011,config/explorer/icon_djldc.png
3,Catfish Boat,chuan/nianyuwangtanxianqi.skel,config/explorer/img_txq1_1.png,{scale=2.9;x=840;y=150},<7;8;9>,<13;14>,20,<15;16;17;18;19>,<3;6;9;12;15>,3,3,tanxianqibeijing/tanxianqibeijing_shui.skel,20,2021,config/explorer/icon_nyc.png
4,Heracross' chariot,helakeluosizhanche/helakeluosizhanche.skel,config/explorer/img_hlkls_1.png,{scale=3.0;x=840;y=250},<10;11;12>,<20;21>,20,<22;23;24;25;26>,<3;6;9;12;15>,3,3,tanxianqibeijing/tanxianqibeijing.skel,20,2031,config/explorer/icon_hlklszc.png
5,Unicorn crawler,longtoudishutanceqi/longtoudishutangceqi.skel,config/explorer/img_ltds.png,{scale=2.5;x=860;y=240},<13;14;15>,<27;28>,20,<29;30;31;32;33>,<3;6;9;12;15>,3,3,tanxianqibeijing/tanxianqibeijing.skel,20,2041,config/explorer/icon_ltdszdcjqx.png
6,Doduo's Scanner,dudufeixingqi/dudufeixingqi.skel,config/explorer/img_txq3_1.png,{scale=2.9;x=840;y=150},<16;17;18;19>,<34;35>,20,<36;37;38;39;40>,<3;6;9;12;15>,4,4,tanxianqibeijing/tanxianqibeijing_shui.skel,15,2051,config/explorer/icon_ddtcq.png
7,Poliwhirl Explorer Device,wenxiangwatangceqi/wenxiangwatanceqi.skel,config/explorer/img_txq2_1.png,{scale=3.0;x=840;y=150},<20;21;22;23>,<41;42>,20,<43;44;45;46;47>,<3;6;9;12;15>,4,4,tanxianqibeijing/tanxianqibeijing_shui.skel,15,2061,config/explorer/icon_wxwtcq.png
8,Pseudo-legendary Aircraft,gaioukafeixingqi/gaioukafeixingqi.skel,config/explorer/img_gok_1.png,{scale=3.2;x=780;y=180},<24;25;26;27;28>,<48;49>,20,<50;51;52;53;54>,<3;6;9;12;15>,5,5,tanxianqibeijing/tanxianqibeijing_shui.skel,15,2071,config/explorer/icon_gokfxq.png
9,Volcanion Airship,boerkainienfeichuan/boerkainienfeichuan.skel,config/explorer/img_bekne_1.png,{scale=2.9;x=840;y=100},<29;30;31;32;33>,<55;56>,20,<57;58;59;60;61>,<3;6;9;12;15>,5,5,tanxianqibeijing/tanxianqibeijing.skel,15,2081,config/explorer/icon_beknefc.png
