变量名,level,extraEffortLevel,feelLevel,contractLevel,chipLevel,gemLevel,heldItemAdvance,advance,star,nvalue,equips,skills,starSkills,effortValues,abilities,abilitiesExtra,fetter,zawake,__version
默认值,119,25,500,1,0,0,0,22,8,{hp=16;damage=16;defence=16;specialDefence=16;speed=16;specialDamage=16},<1;1;1;1>,<119;119;119;119;119;119;119>,<1;1;1;1;1;1>,{hp=160;damage=160;defence=160;specialDefence=160;speed=160;specialDamage=160},<20;20;20;20;20;20;20;20;20;20>,{level=1;branch=1},<TRUE;TRUE;TRUE;TRUE>,<0;0;0;0;0;0;0;0>,
ID,level,extraEffortLevel,feelLevel,contractLevel,chipLevel,gemLevel,heldItemAdvance,advance,star,nvalue,equips,skills,starSkills,effortValues,abilities,abilitiesExtra,fetter,zawake,__version
99,132,,,10,50,80,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<132;132;132;132;132;132;132>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
100,140,,,30,120,120,7,28,12,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<140;140;140;140;140;140;140>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;8;8;8;8;8>,
101,,,,30,120,120,7,28,6,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,,
102,,,,30,120,120,7,28,7,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,,
103,,,,30,120,120,7,28,,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,,
104,,,,30,120,120,7,28,,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;0;0;0;0;0;0>,
105,,,,30,120,120,7,28,9,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;0;0;0;0;0;0>,
106,,,,30,120,120,7,28,9,{damage=31;defence=31;hp=31;specialDamage=31;specialDefence=31;speed=31},<24;24;24;24>,<134;134;134;134;134;134;134>,,{damage=35204;defence=14041;hp=164450;specialDamage=35204;specialDefence=14041;speed=4046},,{branch=1;level=50},,<8;8;8;0;0;0;0;0>,
