变量名,isOpen,openCondition,openParam,openCost
默认值,FALSE,1,0,{}
ID,是否开启,开启条件(1觉醒等级2待扩展),开启参数(空默认开启),开启消耗
11,TRUE,,,
12,TRUE,,,
13,TRUE,,3,{rmb=200}
14,TRUE,,6,{rmb=500}
15,TRUE,,9,{rmb=800}
16,TRUE,,15,{rmb=2000}
21,TRUE,,,
22,TRUE,,,
23,TRUE,,3,{rmb=200}
24,TRUE,,6,{rmb=500}
25,TRUE,,9,{rmb=800}
26,TRUE,,15,{rmb=2000}
31,TRUE,,,
32,TRUE,,,
33,TRUE,,3,{rmb=200}
34,TRUE,,6,{rmb=500}
35,TRUE,,9,{rmb=800}
36,TRUE,,15,{rmb=2000}
41,TRUE,,,
42,TRUE,,,
43,TRUE,,3,{rmb=200}
44,TRUE,,6,{rmb=500}
45,TRUE,,9,{rmb=800}
46,TRUE,,15,{rmb=2000}
51,TRUE,,,
52,TRUE,,,
53,TRUE,,3,{rmb=200}
54,TRUE,,6,{rmb=500}
55,TRUE,,9,{rmb=800}
56,TRUE,,15,{rmb=2000}
61,TRUE,,,
62,TRUE,,,
63,TRUE,,3,{rmb=200}
64,TRUE,,6,{rmb=500}
65,TRUE,,9,{rmb=800}
66,TRUE,,15,{rmb=2000}
71,TRUE,,,
72,TRUE,,,
73,TRUE,,3,{rmb=200}
74,TRUE,,6,{rmb=500}
75,TRUE,,9,{rmb=800}
76,TRUE,,15,{rmb=2000}
81,TRUE,,,
82,TRUE,,,
83,TRUE,,3,{rmb=200}
84,TRUE,,6,{rmb=500}
85,TRUE,,9,{rmb=800}
86,TRUE,,15,{rmb=2000}
