变量名,score,award,version
默认值,<>,{},0
ID,积分范围(左闭右开),周结算奖励,奖励版本
1,<0;51>,{coin12=1000;gold=40000},
2,<51;101>,{coin12=1500;gold=60000},
3,<101;201>,{coin12=2000;gold=80000},
4,<201;301>,{coin12=2500;gold=100000},
5,<301;401>,{coin12=3000;gold=120000},
6,<401;501>,{coin12=3500;gold=140000},
7,<501;601>,{coin12=4000;gold=160000},
8,<601;701>,{coin12=4500;gold=180000},
9,<701;851>,{coin12=5000;gold=200000},
10,<851;1001>,{coin12=6000;gold=220000},
11,<1001;1151>,{coin12=7000;gold=240000},
12,<1151;1351>,{coin12=8000;gold=260000},
13,<1351;1551>,{coin12=9000;gold=280000},
14,<1551;1751>,{coin12=10000;gold=300000},
15,<1751;2001>,{coin12=11000;gold=320000},
16,<2001;2251>,{coin12=12000;gold=340000},
17,<2251;2501>,{coin12=13000;gold=360000},
18,<2501;2801>,{coin12=14000;gold=380000},
19,<2801;99999>,{coin12=15000;gold=400000},
