变量名,historyCanPass1,lastCanPass3,lastCanPass2,lastCanPass1,points,historyCanPass3,historyCanPass2
默认值,0,0,0,0,0,0,0
ID,历史通关数(简单模式)可跳关,上期通关(困难)可跳关,上期通关(普通)可跳关,上期通关(简单)可跳关,需要积分,历史通关数(困难模式)可跳关,历史通关数(普通模式)可跳关
1,,2,3,8,6000,,
2,,2,4,9,7000,,
3,,3,4,10,8000,,
4,8,3,5,11,9000,2,3
5,8,4,5,12,10000,2,4
6,9,4,6,13,11000,3,4
7,10,5,7,14,12500,3,4
8,11,5,8,15,14000,3,5
9,12,6,9,16,15500,4,5
10,13,6,10,17,17000,4,7
11,13,7,11,18,18500,5,8
12,14,8,12,19,20000,5,9
13,15,9,13,20,22000,6,10
14,16,10,14,21,24000,6,11
15,17,11,15,22,26000,7,12
