变量名,version,needPoint,award
默认值,0,0,{}
ID,奖励版本号,需要积分,奖励内容{itemID=数量}
1,1,400,{951=1;gold=20000}
2,1,800,{951=1;gold=30000}
3,1,1300,{951=2;gold=40000}
4,1,1800,{951=2;gold=50000}
5,1,2300,{544=1;951=3;gold=60000}
6,1,2900,{544=1;951=3;gold=70000}
7,1,3500,{544=1;951=4;gold=80000}
8,1,4200,{544=2;951=4;gold=90000}
9,1,5100,{544=2;951=5;gold=100000}
10,1,6000,{544=2;951=5;gold=120000}
11,1,6900,{544=3;951=6;gold=140000}
12,1,8100,{544=3;951=6;gold=160000}
13,1,9200,{544=3;951=7;gold=180000}
14,1,10400,{544=4;951=7;gold=200000}
15,1,11700,{544=4;951=8;gold=220000}
16,1,13000,{544=4;951=8;gold=240000}
17,1,14500,{544=5;951=9;gold=250000}
18,1,16000,{544=5;951=9;gold=260000}
111,2,400,{951=1;gold=20000}
112,2,800,{951=1;gold=30000}
113,2,1300,{951=2;gold=40000}
114,2,1800,{951=2;gold=50000}
115,2,2300,{544=1;951=3;gold=60000}
116,2,2900,{544=1;951=3;gold=70000}
117,2,3500,{544=1;951=4;gold=80000}
118,2,4200,{544=2;951=4;gold=90000}
119,2,5100,{544=2;951=5;gold=100000}
120,2,6000,{544=2;951=5;gold=120000}
121,2,6900,{544=3;951=6;gold=140000}
122,2,8100,{544=3;951=6;gold=160000}
123,2,9200,{544=3;951=7;gold=180000}
124,2,10400,{544=4;951=7;gold=200000}
125,2,11700,{544=4;951=8;gold=220000}
126,2,13000,{544=4;951=8;gold=240000}
127,2,14500,{544=5;951=9;gold=250000}
128,2,16000,{544=5;951=9;gold=260000}
1001,101,600,{951=1;gold=20000}
1002,101,1200,{951=1;gold=30000}
1003,101,2000,{951=2;gold=40000}
1004,101,2800,{951=2;gold=50000}
1005,101,3600,{544=1;951=3;gold=60000}
1006,101,4400,{544=1;951=3;gold=70000}
1007,101,5400,{544=1;951=4;gold=80000}
1008,101,6400,{544=2;951=4;gold=90000}
1009,101,7800,{544=2;951=5;gold=100000}
1010,101,9200,{544=2;951=5;gold=120000}
1011,101,10600,{544=3;951=6;gold=140000}
1012,101,12400,{544=3;951=6;gold=160000}
1013,101,14200,{544=3;951=7;gold=180000}
1014,101,16000,{544=4;951=7;gold=200000}
1015,101,18000,{544=4;951=8;gold=220000}
1016,101,20000,{544=4;951=8;gold=240000}
1017,101,22500,{544=5;951=9;gold=260000}
1018,101,25000,{544=5;951=9;gold=280000}
2001,102,600,{951=1;gold=20000}
2002,102,1200,{951=1;gold=30000}
2003,102,2000,{951=2;gold=40000}
2004,102,2800,{951=2;gold=50000}
2005,102,3600,{544=1;951=3;gold=60000}
2006,102,4400,{544=1;951=3;gold=70000}
2007,102,5400,{544=1;951=4;gold=80000}
2008,102,6400,{544=2;951=4;gold=90000}
2009,102,7800,{544=2;951=5;gold=100000}
2010,102,9200,{544=2;951=5;gold=120000}
2011,102,10600,{544=3;951=6;gold=140000}
2012,102,12400,{544=3;951=6;gold=160000}
2013,102,14200,{544=3;951=7;gold=180000}
2014,102,16000,{544=4;951=7;gold=200000}
2015,102,18000,{544=4;951=8;gold=220000}
2016,102,20000,{544=4;951=8;gold=240000}
2017,102,22500,{544=5;951=9;gold=260000}
2018,102,25000,{544=5;951=9;gold=280000}
3001,103,600,{951=1;gold=20000}
3002,103,1200,{951=1;gold=30000}
3003,103,2000,{951=2;gold=40000}
3004,103,2800,{951=2;gold=50000}
3005,103,3600,{544=1;951=3;gold=60000}
3006,103,4400,{544=1;951=3;gold=70000}
3007,103,5400,{544=1;951=4;gold=80000}
3008,103,6400,{544=2;951=4;gold=90000}
3009,103,7800,{544=2;951=5;gold=100000}
3010,103,9200,{544=2;951=5;gold=120000}
3011,103,10600,{544=3;951=6;gold=140000}
3012,103,12400,{544=3;951=6;gold=160000}
3013,103,14200,{544=3;951=7;gold=180000}
3014,103,16000,{544=4;951=7;gold=200000}
3015,103,18000,{544=4;951=8;gold=220000}
3016,103,20000,{544=4;951=8;gold=240000}
3017,103,22500,{544=5;951=9;gold=260000}
3018,103,25000,{544=5;951=9;gold=280000}
4001,104,600,{951=1;gold=20000}
4002,104,1200,{951=1;gold=30000}
4003,104,2000,{951=2;gold=40000}
4004,104,2800,{951=2;gold=50000}
4005,104,3600,{544=1;951=3;gold=60000}
4006,104,4400,{544=1;951=3;gold=70000}
4007,104,5400,{544=1;951=4;gold=80000}
4008,104,6400,{544=2;951=4;gold=90000}
4009,104,7800,{544=2;951=5;gold=100000}
4010,104,9200,{544=2;951=5;gold=120000}
4011,104,10600,{544=3;951=6;gold=140000}
4012,104,12400,{544=3;951=6;gold=160000}
4013,104,14200,{544=3;951=7;gold=180000}
4014,104,16000,{544=4;951=7;gold=200000}
4015,104,18000,{544=4;951=8;gold=220000}
4016,104,20000,{544=4;951=8;gold=240000}
4017,104,22500,{544=5;951=9;gold=260000}
4018,104,25000,{544=5;951=9;gold=280000}
