变量名,theme,offSetY,scale,offSetX,spine,awardIndex,points,sceneType,floor,teamGroup,buffs
默认值,1,0,0,0,"""""",1,800,0,0,<>,<>
ID,主题ID,Y轴偏移,缩放比例,X轴偏移,Spine动画名,奖励索引,通关积分,场景类型(1简单/2普通/3困难),层数,队伍分组<groupID>,可选Buff池<buffID>
1,,-20,1.5,,guaiwu2_lan_loop,11,100,1,1,<1>,
2,,-40,1.5,,guaiwu3_zi_loop,111,300,2,1,<1>,
3,,-80,1.8,,guaiwu4_hong_loop,211,500,3,1,<1>,
4,,-20,1.5,,guaiwu3_lan_loop,12,100,1,2,<1>,
5,,-40,1.5,,guaiwu6_zi_loop,112,300,2,2,<1>,
6,,-80,1.8,,guaiwu2_hong_loop,212,500,3,2,<1>,
7,,-20,1.5,,guaiwu3_lan_loop,13,100,1,3,<1>,<11;12;13;14;15;16>
8,,-40,1.5,,guaiwu2_zi_loop,113,300,2,3,<1>,<11;12;13;14;15;16>
9,,-80,1.8,,guaiwu4_hong_loop,213,500,3,3,<1>,<11;12;13;14;15;16>
10,,-20,1.5,,guaiwu5_lan_loop,14,100,1,4,<1>,
11,,-40,1.5,,guaiwu4_zi_loop,114,300,2,4,<1>,
12,,-80,1.8,,guaiwu3_hong_loop,214,500,3,4,<1>,
13,,-20,1.5,,guaiwu2_lan_loop,15,100,1,5,<1>,
14,,-40,1.5,,guaiwu4_zi_loop,115,300,2,5,<1>,
15,,-80,1.8,,guaiwu1_hong_loop,215,500,3,5,<1>,
16,,-20,1.5,,guaiwu4_lan_loop,16,100,1,6,<11>,<11;12;13;14;15;16>
17,,-40,1.5,,guaiwu5_zi_loop,116,300,2,6,<11>,<11;12;13;14;15;16>
18,,-80,1.8,,guaiwu1_hong_loop,216,500,3,6,<11>,<11;12;13;14;15;16>
19,,-20,1.5,,guaiwu4_lan_loop,17,100,1,7,<11>,
20,,-40,1.5,,guaiwu3_zi_loop,117,300,2,7,<11>,
21,,-80,1.8,,guaiwu6_hong_loop,217,500,3,7,<11>,
22,,-20,1.5,,guaiwu5_lan_loop,18,100,1,8,<11>,
23,,-40,1.5,,guaiwu6_zi_loop,118,300,2,8,<11>,
24,,-80,1.8,,guaiwu1_hong_loop,218,500,3,8,<11>,
25,,-20,1.5,,guaiwu2_lan_loop,19,100,1,9,<11>,<11;12;13;14;15;16>
26,,-40,1.5,,guaiwu3_zi_loop,119,300,2,9,<11>,<11;12;13;14;15;16>
27,,-80,1.8,,guaiwu6_hong_loop,219,500,3,9,<11>,<11;12;13;14;15;16>
28,,-20,1.5,,guaiwu4_lan_loop,20,150,1,10,<21;22>,<11;12;13;14;15;16>
29,,-40,1.5,,guaiwu5_zi_loop,120,450,2,10,<21;22>,<11;12;13;14;15;16>
30,,-80,1.8,,guaiwu3_hong_loop,220,750,3,10,<21;22>,<11;12;13;14;15;16>
31,,-20,1.5,,guaiwu1_lan_loop,21,100,1,11,<21>,
32,,-40,1.5,,guaiwu5_zi_loop,121,300,2,11,<21>,
33,,-80,1.8,,guaiwu2_hong_loop,221,500,3,11,<21>,
34,,-20,1.5,,guaiwu5_lan_loop,22,100,1,12,<21>,
35,,-40,1.5,,guaiwu2_zi_loop,122,300,2,12,<21>,
36,,-80,1.8,,guaiwu6_hong_loop,222,500,3,12,<21>,
37,,-20,1.5,,guaiwu6_lan_loop,23,100,1,13,<21>,<11;12;13;14;15;16>
38,,-40,1.5,,guaiwu1_zi_loop,123,300,2,13,<21>,<11;12;13;14;15;16>
39,,-80,1.8,,guaiwu3_hong_loop,223,500,3,13,<21>,<11;12;13;14;15;16>
40,,-20,1.5,,guaiwu1_lan_loop,24,100,1,14,<21>,
41,,-40,1.5,,guaiwu5_zi_loop,124,300,2,14,<21>,
42,,-80,1.8,,guaiwu3_hong_loop,224,500,3,14,<21>,
43,,-20,1.5,,guaiwu5_lan_loop,25,100,1,15,<22>,
44,,-40,1.5,,guaiwu2_zi_loop,125,300,2,15,<22>,
45,,-80,1.8,,guaiwu1_hong_loop,225,500,3,15,<22>,
46,,-20,1.5,,guaiwu5_lan_loop,26,100,1,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
47,,-40,1.5,,guaiwu1_zi_loop,126,300,2,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
48,,-80,1.8,,guaiwu6_hong_loop,226,500,3,16,<22>,<11;12;13;14;15;16;21;22;23;24;25;26>
49,,-20,1.5,,guaiwu2_lan_loop,27,100,1,17,<22>,
50,,-40,1.5,,guaiwu3_zi_loop,127,300,2,17,<22>,
51,,-80,1.8,,guaiwu1_hong_loop,227,500,3,17,<22>,
52,,-20,1.5,,guaiwu5_lan_loop,28,100,1,18,<23>,
53,,-40,1.5,,guaiwu1_zi_loop,128,300,2,18,<23>,
54,,-80,1.8,,guaiwu6_hong_loop,228,500,3,18,<23>,
55,,-20,1.5,,guaiwu2_lan_loop,29,100,1,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
56,,-40,1.5,,guaiwu4_zi_loop,129,300,2,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
57,,-80,1.8,,guaiwu3_hong_loop,229,500,3,19,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
58,,-20,1.5,,guaiwu1_lan_loop,30,150,1,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
59,,-40,1.5,,guaiwu2_zi_loop,130,450,2,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
60,,-80,1.8,,guaiwu3_hong_loop,230,750,3,20,<23;24>,<11;12;13;14;15;16;21;22;23;24;25;26>
61,,-20,1.5,,guaiwu1_lan_loop,31,100,1,21,<23>,
62,,-40,1.5,,guaiwu5_zi_loop,131,300,2,21,<23>,
63,,-80,1.8,,guaiwu4_hong_loop,231,500,3,21,<23>,
64,,-20,1.5,,guaiwu2_lan_loop,32,100,1,22,<23>,
65,,-40,1.5,,guaiwu3_zi_loop,132,300,2,22,<23>,
66,,-80,1.8,,guaiwu5_hong_loop,232,500,3,22,<23>,
67,,-20,1.5,,guaiwu5_lan_loop,33,100,1,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
68,,-40,1.5,,guaiwu2_zi_loop,133,300,2,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
69,,-80,1.8,,guaiwu3_hong_loop,233,500,3,23,<23>,<11;12;13;14;15;16;21;22;23;24;25;26>
70,,-20,1.5,,guaiwu3_lan_loop,34,100,1,24,<23>,
71,,-40,1.5,,guaiwu4_zi_loop,134,300,2,24,<23>,
72,,-80,1.8,,guaiwu6_hong_loop,234,500,3,24,<23>,
73,,-20,1.5,,guaiwu3_lan_loop,35,100,1,25,<24;26>,
74,,-40,1.5,,guaiwu2_zi_loop,135,300,2,25,<24;26>,
75,,-80,1.8,,guaiwu5_hong_loop,235,500,3,25,<24;26>,
76,,-20,1.5,,guaiwu3_lan_loop,36,100,1,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26>
77,,-40,1.5,,guaiwu2_zi_loop,136,300,2,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
78,,-80,1.8,,guaiwu1_hong_loop,236,500,3,26,<24;26>,<11;12;13;14;15;16;21;22;23;24;25;26;31;32;33;34;35;36>
79,,-20,1.5,,guaiwu6_lan_loop,37,100,1,27,<24;26>,
80,,-40,1.5,,guaiwu5_zi_loop,137,300,2,27,<24;26>,
81,,-80,1.8,,guaiwu5_hong_loop,237,500,3,27,<24;26>,
82,,-20,1.5,,guaiwu2_lan_loop,38,100,1,28,<24;26>,
83,,-40,1.5,,guaiwu2_zi_loop,138,300,2,28,<24;26>,
