变量名,skillLevel,sceneLevel,showLevel,sceneType,star,speedC,specialDefenceC,defenceC,specialDamageC,damageC,hpC,floor,theme,zawake,extraSkill
默认值,0,0,0,0,4,1,1,1,1,1,1,0,1,<0;0;0;0;0;0;0;0>,<>
ID,技能等级,场景等级,显示等级,场景类型(1简单/2普通/3困难),星级,速度系数,特防系数,防御系数,特攻系数,攻击系数,生命系数,层数,主题ID,Z觉醒<等级列表>,额外技能<skillID>
1,100,100,100,1,,0.8,0.63,0.63,0.72,0.72,0.9,1,,,<86981>
2,101,100,100,1,,0.85,0.665,0.665,0.76,0.76,0.95,2,,,<86981>
3,102,100,100,1,,0.9,0.7,0.7,0.8,0.8,,3,,,<86981>
4,103,100,100,1,,0.95,0.735,0.735,0.84,0.84,1.05,4,,,<86981>
5,104,100,100,1,5,,0.77,0.77,0.88,0.88,1.1,5,,,<86981>
6,105,100,100,1,5,1.04,0.798,0.798,0.912,0.912,1.14,6,,,<86981>
7,106,100,100,1,5,1.08,0.826,0.826,0.944,0.944,1.18,7,,,<86981>
8,107,100,100,1,6,1.12,0.854,0.854,0.976,0.976,1.22,8,,,<86981>
9,108,100,100,1,6,1.16,0.882,0.882,1.008,1.008,1.26,9,,,<86981>
10,109,100,100,1,6,1.2,0.91,0.91,1.04,1.04,1.3,10,,<8;0;0;0;0;0;0;0>,<86981>
11,110,100,100,1,7,1.24,0.938,0.938,1.072,1.072,1.34,11,,<8;0;0;0;0;0;0;0>,<86981>
12,111,100,100,1,7,1.28,0.966,0.966,1.104,1.104,1.38,12,,<8;0;0;0;0;0;0;0>,<86981>
13,112,100,100,1,7,1.32,0.994,0.994,1.136,1.136,1.42,13,,<8;0;0;0;0;0;0;0>,<86981>
14,113,100,100,1,7,1.36,1.022,1.022,1.168,1.168,1.46,14,,<8;0;0;0;0;0;0;0>,<86981>
15,114,100,100,1,7,1.4,1.05,1.05,1.2,1.2,1.5,15,,<8;0;0;0;0;0;0;0>,<86981>
16,115,100,100,1,8,1.46,1.092,1.092,1.248,1.248,1.56,16,,<8;0;0;0;0;0;0;0>,<86981>
17,116,100,100,1,8,1.52,1.134,1.134,1.296,1.296,1.62,17,,<8;0;0;0;0;0;0;0>,<86981>
18,117,100,100,1,8,1.58,1.176,1.176,1.344,1.344,1.68,18,,<8;0;0;0;0;0;0;0>,<86981>
19,118,100,100,1,8,1.64,1.218,1.218,1.392,1.392,1.74,19,,<8;0;0;0;0;0;0;0>,<86981>
20,119,100,100,1,8,1.7,1.26,1.26,1.44,1.44,1.8,20,,<8;0;0;0;0;0;0;0>,<86981>
21,120,100,100,1,8,1.78,1.316,1.316,1.504,1.504,1.88,21,,<8;8;0;0;0;0;0;0>,<86981>
22,121,100,100,1,8,1.86,1.372,1.372,1.568,1.568,1.96,22,,<8;8;0;0;0;0;0;0>,<86981>
23,122,100,100,1,8,1.94,1.428,1.428,1.632,1.632,2.04,23,,<8;8;0;0;0;0;0;0>,<86981>
24,123,100,100,1,8,2.02,1.484,1.484,1.696,1.696,2.12,24,,<8;8;0;0;0;0;0;0>,<86981>
25,124,100,100,1,8,2.1,1.54,1.54,1.76,1.76,2.2,25,,<8;8;0;0;0;0;0;0>,<86981>
26,125,100,100,1,8,2.14,1.568,1.568,1.792,1.792,2.24,26,,<8;8;0;0;0;0;0;0>,<86981>
27,126,100,100,1,8,2.18,1.596,1.596,1.824,1.824,2.28,27,,<8;8;8;0;0;0;0;0>,<86981>
28,127,100,100,1,11,2.22,1.624,1.624,1.856,1.856,2.32,28,,<8;8;8;0;0;0;0;0>,<86981>
29,128,100,100,1,11,2.26,1.652,1.652,1.888,1.888,2.36,29,,<8;8;8;8;0;0;0;0>,<86981>
30,129,100,100,1,11,2.3,1.68,1.68,1.92,1.92,2.4,30,,<8;8;8;8;0;0;0;0>,<86981>
31,110,100,100,2,5,1.16,0.945,0.945,1.134,1.134,1.26,1,,,<86981>
32,111,100,100,2,5,1.22,0.99,0.99,1.188,1.188,1.32,2,,,<86981>
33,112,100,100,2,5,1.28,1.035,1.035,1.242,1.242,1.38,3,,,<86981>
34,113,100,100,2,5,1.34,1.08,1.08,1.296,1.296,1.44,4,,,<86981>
35,114,100,100,2,6,1.4,1.125,1.125,1.35,1.35,1.5,5,,,<86981>
36,115,100,100,2,6,1.46,1.17,1.17,1.404,1.404,1.56,6,,,<86981>
37,116,100,100,2,6,1.52,1.215,1.215,1.458,1.458,1.62,7,,,<86981>
38,117,100,100,2,7,1.58,1.26,1.26,1.512,1.512,1.68,8,,,<86981>
39,118,100,100,2,7,1.64,1.305,1.305,1.566,1.566,1.74,9,,,<86981>
40,119,100,100,2,8,1.7,1.35,1.35,1.62,1.62,1.8,10,,<8;8;0;0;0;0;0;0>,<86981>
41,120,100,100,2,8,1.78,1.41,1.41,1.692,1.692,1.88,11,,<8;8;0;0;0;0;0;0>,<86981>
42,121,100,100,2,8,1.86,1.47,1.47,1.764,1.764,1.96,12,,<8;8;0;0;0;0;0;0>,<86981>
43,122,100,100,2,8,1.94,1.53,1.53,1.836,1.836,2.04,13,,<8;8;0;0;0;0;0;0>,<86981>
44,123,100,100,2,9,2.02,1.59,1.59,1.908,1.908,2.12,14,,<8;8;0;0;0;0;0;0>,<86981>
45,124,100,100,2,9,2.1,1.65,1.65,1.98,1.98,2.2,15,,<8;8;0;0;0;0;0;0>,<86981>
46,125,100,100,2,9,2.22,1.74,1.74,2.088,2.088,2.32,16,,<8;8;8;0;0;0;0;0>,<86981>
47,126,100,100,2,9,2.34,1.83,1.83,2.196,2.196,2.44,17,,<8;8;8;0;0;0;0;0>,<86981>
48,127,100,100,2,9,2.46,1.92,1.92,2.304,2.304,2.56,18,,<8;8;8;0;0;0;0;0>,<86981>
49,128,100,100,2,10,2.58,2.01,2.01,2.412,2.412,2.68,19,,<8;8;8;0;0;0;0;0>,<86981>
50,129,100,100,2,10,2.7,2.1,2.1,2.52,2.52,2.8,20,,<8;8;8;8;8;8;0;0>,<86981>
51,130,100,100,2,10,2.68,2.085,2.085,2.502,2.502,2.78,21,,<8;8;8;8;8;8;0;0>,<86981>
52,131,100,100,2,10,2.76,2.145,2.145,2.574,2.574,2.86,22,,<8;8;8;8;8;8;0;0>,<86981>
53,132,100,100,2,11,2.84,2.205,2.205,2.646,2.646,2.94,23,,<8;8;8;8;8;8;0;0>,<86981>
54,133,100,100,2,11,2.92,2.265,2.265,2.718,2.718,3.02,24,,<8;8;8;8;8;8;8;8>,<86981>
55,134,100,100,2,12,3,2.325,2.325,2.79,2.79,3.1,25,,<8;8;8;8;8;8;8;8>,<86981>
56,135,100,100,2,12,3.04,2.355,2.355,2.826,2.826,3.14,26,,<8;8;8;8;8;8;8;8>,<86981>
57,136,100,100,2,12,3.08,2.385,2.385,2.862,2.862,3.18,27,,<8;8;8;8;8;8;8;8>,<86981>
58,137,100,100,2,12,3.12,2.415,2.415,2.898,2.898,3.22,28,,<8;8;8;8;8;8;8;8>,<86981>
59,138,100,100,2,12,3.16,2.445,2.445,2.934,2.934,3.26,29,,<8;8;8;8;8;8;8;8>,<86981>
60,139,100,100,2,12,3.2,2.475,2.475,2.97,2.97,3.3,30,,<8;8;8;8;8;8;8;8>,<86981>
61,110,100,100,3,6,1.2,1.3,1.3,1.17,1.17,1.3,1,,<8;8;0;0;0;0;0;0>,<86981>
62,112,100,100,3,6,1.3,1.4,1.4,1.26,1.26,1.4,2,,<8;8;0;0;0;0;0;0>,<86981>
63,114,100,100,3,6,1.4,1.5,1.5,1.35,1.35,1.5,3,,<8;8;0;0;0;0;0;0>,<86981>
64,116,100,100,3,6,1.5,1.6,1.6,1.44,1.44,1.6,4,,<8;8;0;0;0;0;0;0>,<86981>
65,118,100,100,3,7,1.6,1.7,1.7,1.53,1.53,1.7,5,,<8;8;0;0;0;0;0;0>,<86981>
66,120,100,100,3,7,1.7,1.8,1.8,1.62,1.62,1.8,6,,<8;8;0;0;0;0;0;0>,<86981>
67,122,100,100,3,7,1.8,1.9,1.9,1.71,1.71,1.9,7,,<8;8;0;0;0;0;0;0>,<86981>
68,124,100,100,3,8,1.9,2,2,1.8,1.8,2,8,,<8;8;0;0;0;0;0;0>,<86981>
69,126,100,100,3,8,2,2.1,2.1,1.89,1.89,2.1,9,,<8;8;0;0;0;0;0;0>,<86981>
70,128,100,100,3,8,2.1,2.2,2.2,1.98,1.98,2.2,10,,<8;8;0;0;0;0;0;0>,<86981>
71,130,100,100,3,9,2.2,2.3,2.3,2.07,2.07,2.3,11,,<8;8;0;0;0;0;0;0>,<86981>
72,132,100,100,3,9,2.3,2.4,2.4,2.16,2.16,2.4,12,,<8;8;0;0;0;0;0;0>,<86981>
