变量名,groupID,type,desc,desc_tw,desc_en,desc_vn,desc_kr,unlock,isShow,targetType,targetType2,targetArg1,targetArg2,award,sort
默认值,0,1,"""""","""""","""""","""""","""""",{},TRUE,1,1,99,0,{},0
ID,成就索引ID,类型(1-普通成就;2-隐藏成就),描述,描述,描述,描述,描述,激活方式(1-无条件;2-指定关卡id;3-指定卡牌id),是否显示,目标类型(1-通关次数;2-解锁指定卡牌;3-一轮通关回合数小于x;4-累计击杀x个敌方精灵;5-己方累计阵亡x个精灵;6-累计获得x个徽章),目标类型(客户端用),目标参数1,目标参数2,奖励,排序
1,1,,通关2次,,,,,,,,,2,,{901=5;930=10;6393=5;gold=100000},
2,1,,通关3次,,,,,,,,,3,,{901=5;930=10;6393=5;gold=150000},
3,1,,通关5次,,,,,,,,,5,,{901=5;951=5;6393=10;gold=200000},
4,1,,通关10次,,,,,,,,,10,,{502=3;901=10;6393=10;gold=300000},
5,1,,最短回合数小于等于60,,,,,,,3,,60,,{901=5;5000=10;6393=5;gold=100000},
6,1,,最短回合数小于等于48,,,,,,,3,,48,,{901=5;5000=10;6393=5;gold=150000},
7,1,,最短回合数小于等于36,,,,,,,3,,36,,{901=5;951=5;6393=10;gold=200000},
8,1,,最短回合数小于等于24,,,,,,,3,,24,,{521=2;901=10;6393=10;gold=300000},
9,1,,累计击杀120个怪物,,,,,,,4,,120,,{901=5;930=10;6393=5;gold=100000},
10,1,,累计击杀240个怪物,,,,,,,4,,240,,{901=5;930=10;6393=5;gold=200000},
11,1,,累计击杀480个怪物,,,,,,,4,,480,,{519=2;901=10;6393=10;gold=300000},
12,1,,累计阵亡5个精灵,,,,,,,5,,5,,{901=5;5000=10;6393=5;gold=100000},
13,1,,累计阵亡15个精灵,,,,,,,5,,15,,{901=5;5000=10;6393=5;gold=150000},
14,1,,累计阵亡30个精灵,,,,,,,5,,30,,{901=5;951=5;6393=10;gold=200000},
15,1,,累计阵亡50个精灵,,,,,,,5,,50,,{502=3;901=10;6393=10;gold=300000},
16,1,,累计获得30个徽章,,,,,,,6,,30,,{901=5;930=10;6393=5;gold=100000},
17,1,,累计获得50个徽章,,,,,,,6,,50,,{901=5;930=10;6393=5;gold=200000},
18,1,,累计获得100个徽章,,,,,,,6,,100,,{502=3;901=10;6393=10;gold=300000},
19,1,2,解锁拉帝亚斯,,,,,,,2,,11941,,{503=1;519=1;901=5;930=10},
20,1,2,解锁拉帝欧斯,,,,,,,2,,11951,,{503=1;519=1;901=5;930=10},
21,1,2,解锁超梦,,,,,,,2,,10761,,{503=1;901=5;930=10;rmb=100},
22,1,2,解锁凤王,,,,,,,2,,11271,,{503=2;519=1;901=5;930=10},
23,1,2,解锁固拉多,,,,,,,2,,11971,,{502=5;503=1;519=2;gold=250000},
24,1,2,解锁帝牙卢卡,,,,,,,2,,12351,,{503=1;521=2;901=5;5000=10},
25,1,2,解锁帕路奇亚,,,,,,,2,,12361,,{503=1;521=2;901=5;5000=10},
26,1,2,解锁谢米,,,,,,,2,,12441,,{502=5;503=1;519=2;gold=500000},
27,1,2,解锁裂空座,,,,,,,2,,11981,,{503=1;519=1;901=5;930=10},
101,101,,通关2次,,,,,,,,,2,,{930=10;5000=10;gold=50000},
102,101,,通关3次,,,,,,,,,3,,{930=10;5000=10;gold=80000},
103,101,,通关5次,,,,,,,,,5,,{930=10;5000=10;gold=100000},
104,101,,通关10次,,,,,,,,,10,,{502=1;gold=150000;rmb=50},
105,101,,最短回合数小于等于60,,,,,,,3,,60,,{112=30;529=200;gold=50000},
106,101,,最短回合数小于等于48,,,,,,,3,,48,,{112=30;529=200;gold=80000},
107,101,,最短回合数小于等于36,,,,,,,3,,36,,{112=30;529=200;gold=100000},
108,101,,最短回合数小于等于24,,,,,,,3,,24,,{502=2;gold=150000;rmb=50},
109,101,,累计击杀120个怪物,,,,,,,4,,120,,{452=30;901=5;gold=50000},
110,101,,累计击杀240个怪物,,,,,,,4,,240,,{452=30;901=10;gold=100000},
111,101,,累计击杀480个怪物,,,,,,,4,,480,,{502=1;gold=150000;rmb=50},
112,101,,累计阵亡5个精灵,,,,,,,5,,5,,{901=10;951=5;gold=50000},
113,101,,累计阵亡15个精灵,,,,,,,5,,15,,{901=10;951=10;gold=80000},
114,101,,累计阵亡30个精灵,,,,,,,5,,30,,{901=15;951=10;gold=100000},
115,101,,累计阵亡50个精灵,,,,,,,5,,50,,{502=1;gold=150000;rmb=50},
116,101,,累计获得30个徽章,,,,,,,6,,30,,{850=100;851=50;gold=50000},
117,101,,累计获得50个徽章,,,,,,,6,,50,,{850=100;851=50;gold=100000},
118,101,,累计获得100个徽章,,,,,,,6,,100,,{502=1;851=50;gold=150000},
119,101,2,解锁拉帝亚斯,,,,,,,2,,31941,,{930=10;4000=50;5000=10},
120,101,2,解锁拉帝欧斯,,,,,,,2,,31951,,{930=10;4000=50;5000=10},
121,101,2,解锁超梦,,,,,,,2,,30761,,{503=2;gold=150000;talent_point=1},
122,101,2,解锁凤王,,,,,,,2,,31271,,{503=2;gold=150000;talent_point=1},
123,101,2,解锁固拉多,,,,,,,2,,31971,,{503=2;gold=150000;talent_point=1},
124,101,2,解锁帝牙卢卡,,,,,,,2,,32351,,{502=3;527=1;gold=150000},
125,101,2,解锁帕路奇亚,,,,,,,2,,32361,,{502=3;527=1;gold=150000},
126,101,2,解锁谢米,,,,,,,2,,32441,,{502=3;527=2;gold=150000},
127,101,2,解锁裂空座,,,,,,,2,,31981,,{502=2;527=1;gold=150000},
201,201,,通关2次,,,,,,,,,2,,{930=10;5000=10;gold=50000},
202,201,,通关3次,,,,,,,,,3,,{930=10;5000=10;gold=80000},
203,201,,通关5次,,,,,,,,,5,,{930=10;5000=10;gold=100000},
204,201,,通关10次,,,,,,,,,10,,{502=1;gold=150000;rmb=50},
205,201,,最短回合数小于等于60,,,,,,,3,,60,,{112=30;529=200;gold=50000},
206,201,,最短回合数小于等于48,,,,,,,3,,48,,{112=30;529=200;gold=80000},
207,201,,最短回合数小于等于36,,,,,,,3,,36,,{112=30;529=200;gold=100000},
208,201,,最短回合数小于等于24,,,,,,,3,,24,,{502=2;gold=150000;rmb=50},
209,201,,累计击杀120个怪物,,,,,,,4,,120,,{452=30;901=5;gold=50000},
210,201,,累计击杀240个怪物,,,,,,,4,,240,,{452=30;901=10;gold=100000},
211,201,,累计击杀480个怪物,,,,,,,4,,480,,{502=1;gold=150000;rmb=50},
212,201,,累计阵亡5个精灵,,,,,,,5,,5,,{901=10;951=5;gold=50000},
213,201,,累计阵亡15个精灵,,,,,,,5,,15,,{901=10;951=10;gold=80000},
214,201,,累计阵亡30个精灵,,,,,,,5,,30,,{901=15;951=10;gold=100000},
215,201,,累计阵亡50个精灵,,,,,,,5,,50,,{502=1;gold=150000;rmb=50},
216,201,,累计获得30个徽章,,,,,,,6,,30,,{850=100;851=50;gold=50000},
217,201,,累计获得50个徽章,,,,,,,6,,50,,{850=100;851=50;gold=100000},
218,201,,累计获得100个徽章,,,,,,,6,,100,,{502=1;851=50;gold=150000},
219,201,2,解锁基拉祈,,,,,,,2,,51991,,{930=10;4000=50;5000=10},
220,201,2,解锁谢米,,,,,,,2,,52441,,{930=10;4000=50;5000=10},
221,201,2,解锁美洛耶塔,,,,,,,2,,53261,,{503=2;gold=150000;talent_point=1},
222,201,2,解锁蒂安希,,,,,,,2,,53631,,{503=2;gold=150000;talent_point=1},
223,201,2,解锁惩戒胡帕,,,,,,,2,,53641,,{503=2;gold=150000;talent_point=1},
224,201,2,解锁美录梅塔,,,,,,,2,,54172,,{502=3;527=1;gold=150000},
225,201,2,解锁达克莱伊,,,,,,,2,,52431,,{502=3;527=1;gold=150000},
226,201,2,解锁凤王,,,,,,,2,,51271,,{502=3;527=2;gold=150000},
227,201,2,解锁洛奇亚,,,,,,,2,,51261,,{502=2;527=1;gold=150000},
301,301,,通关2次,,,,,,,,,2,,{930=10;5000=10;gold=50000},
302,301,,通关3次,,,,,,,,,3,,{930=10;5000=10;gold=80000},
303,301,,通关5次,,,,,,,,,5,,{930=10;5000=10;gold=100000},
304,301,,通关10次,,,,,,,,,10,,{502=1;gold=150000;rmb=50},
305,301,,最短回合数小于等于60,,,,,,,3,,60,,{112=30;529=200;gold=50000},
306,301,,最短回合数小于等于48,,,,,,,3,,48,,{112=30;529=200;gold=80000},
307,301,,最短回合数小于等于36,,,,,,,3,,36,,{112=30;529=200;gold=100000},
308,301,,最短回合数小于等于24,,,,,,,3,,24,,{502=2;gold=150000;rmb=50},
309,301,,累计击杀120个怪物,,,,,,,4,,120,,{452=30;901=5;gold=50000},
310,301,,累计击杀240个怪物,,,,,,,4,,240,,{452=30;901=10;gold=100000},
311,301,,累计击杀480个怪物,,,,,,,4,,480,,{502=1;gold=150000;rmb=50},
312,301,,累计阵亡5个精灵,,,,,,,5,,5,,{901=10;951=5;gold=50000},
313,301,,累计阵亡15个精灵,,,,,,,5,,15,,{901=10;951=10;gold=80000},
314,301,,累计阵亡30个精灵,,,,,,,5,,30,,{901=15;951=10;gold=100000},
315,301,,累计阵亡50个精灵,,,,,,,5,,50,,{502=1;gold=150000;rmb=50},
316,301,,累计获得30个徽章,,,,,,,6,,30,,{850=100;851=50;gold=50000},
317,301,,累计获得50个徽章,,,,,,,6,,50,,{850=100;851=50;gold=100000},
318,301,,累计获得100个徽章,,,,,,,6,,100,,{502=1;851=50;gold=150000},
319,301,2,解锁帝牙卢卡,,,,,,,2,,72351,,{930=10;4000=50;5000=10},
320,301,2,解锁帕路奇亚,,,,,,,2,,72361,,{930=10;4000=50;5000=10},
321,301,2,解锁骑拉帝纳,,,,,,,2,,72391,,{503=2;gold=150000;talent_point=1},
322,301,2,解锁捷克罗姆,,,,,,,2,,73221,,{503=2;gold=150000;talent_point=1},
323,301,2,解锁莱希拉姆,,,,,,,2,,73211,,{503=2;gold=150000;talent_point=1},
324,301,2,解锁酋雷姆,,,,,,,2,,73241,,{502=3;527=1;gold=150000},
325,301,2,解锁裂空座,,,,,,,2,,71981,,{502=3;527=1;gold=150000},
326,301,2,解锁超级裂空座,,,,,,,2,,71982,,{502=3;527=2;gold=150000},
327,301,2,解锁雷吉奇卡斯,,,,,,,2,,72381,,{502=2;527=1;gold=150000},
401,401,,通关2次,,,,,,,,,2,,{930=10;5000=10;gold=50000},
402,401,,通关3次,,,,,,,,,3,,{930=10;5000=10;gold=80000},
403,401,,通关5次,,,,,,,,,5,,{930=10;5000=10;gold=100000},
404,401,,通关10次,,,,,,,,,10,,{502=1;gold=150000;rmb=50},
405,401,,最短回合数小于等于60,,,,,,,3,,60,,{112=30;529=200;gold=50000},
406,401,,最短回合数小于等于48,,,,,,,3,,48,,{112=30;529=200;gold=80000},
407,401,,最短回合数小于等于36,,,,,,,3,,36,,{112=30;529=200;gold=100000},
408,401,,最短回合数小于等于24,,,,,,,3,,24,,{502=2;gold=150000;rmb=50},
409,401,,累计击杀120个怪物,,,,,,,4,,120,,{452=30;901=5;gold=50000},
410,401,,累计击杀240个怪物,,,,,,,4,,240,,{452=30;901=10;gold=100000},
411,401,,累计击杀480个怪物,,,,,,,4,,480,,{502=1;gold=150000;rmb=50},
412,401,,累计阵亡5个精灵,,,,,,,5,,5,,{901=10;951=5;gold=50000},
413,401,,累计阵亡15个精灵,,,,,,,5,,15,,{901=10;951=10;gold=80000},
414,401,,累计阵亡30个精灵,,,,,,,5,,30,,{901=15;951=10;gold=100000},
415,401,,累计阵亡50个精灵,,,,,,,5,,50,,{502=1;gold=150000;rmb=50},
416,401,,累计获得30个徽章,,,,,,,6,,30,,{850=100;851=50;gold=50000},
417,401,,累计获得50个徽章,,,,,,,6,,50,,{850=100;851=50;gold=100000},
418,401,,累计获得100个徽章,,,,,,,6,,100,,{502=1;851=50;gold=150000},
419,401,2,解锁超梦,,,,,,,2,,90761,,{930=10;4000=50;5000=10},
420,401,2,解锁固拉多,,,,,,,2,,91971,,{930=10;4000=50;5000=10},
421,401,2,解锁裂空座,,,,,,,2,,91981,,{503=2;gold=150000;talent_point=1},
422,401,2,解锁解放胡帕,,,,,,,2,,93642,,{503=2;gold=150000;talent_point=1},
423,401,2,解锁酋雷姆,,,,,,,2,,93241,,{503=2;gold=150000;talent_point=1},
424,401,2,解锁美录梅塔,,,,,,,2,,94172,,{502=3;527=1;gold=150000},
425,401,2,解锁捷克罗姆,,,,,,,2,,93221,,{502=3;527=1;gold=150000},
426,401,2,解锁帝牙卢卡,,,,,,,2,,92351,,{502=3;527=2;gold=150000},
427,401,2,解锁帕路奇亚,,,,,,,2,,92361,,{502=2;527=1;gold=150000},
