变量名,firstMonters,repeatMonters,name,monsterDesc,desc,scene,hpFix,damageFix,defenceFix,speedFix,floor,firstAward,repeatAward,extraAward,singleDamageMax,damageMax,historyCanPass,jumpRound,lastCanPass,recoverMp
默认值,<>,<>,"""""","""""","""""",stage/znq.csv,1,1,1,1,1,{},{},{},500,500,0,99,0,0.05
ID,首次挑战阵容,后续挑战阵容,关卡名字,阵容信息,关卡介绍,关卡背景,血量修正系数,双攻修正系数,双防修正系数,速度修正系数,层数标记,首通奖励,通关奖励,额外奖励,单角色最高伤害限制,副本总伤害限制,historyCanPass,jumpRound,lastCanPass,recoverMp
1,<111>,<111;11>,第1关,,就决定是你了,,0.5,0.5,0.5,0.5,,{452=30;515=3;5000=10;6393=10},{gold=50000},,,,,,,
2,<112>,<112;12>,第2关,,欢迎来到研究基地,,0.55,0.55,0.55,0.55,2,{850=50;900=20;930=10;6393=10},{gold=50000},,,,,,,
3,<113>,<113;13>,第3关,,暴风雪中会遇到什么呢,,0.61,0.61,0.61,0.61,3,{452=40;519=1;5000=15;6393=10},{gold=50000},,,,,,,
4,<114>,<114;14>,第4关,,彩虹的彼端,,0.68,0.68,0.68,0.68,4,{850=60;901=20;930=15;6393=10},{gold=50000},,,,,,,
5,<115>,<115;15>,第5关,,变身对战,,0.76,0.76,0.76,0.76,5,{452=50;5000=20;6393=10;rmb=128},{gold=50000},,,,,,,
6,<116>,<116;16>,第6关,,皮卡丘之歌,,0.85,0.85,0.85,0.85,6,{500=1;850=80;930=20;6393=10},{gold=50000},,,,,,,
7,<117>,<117;17>,第7关,,超梦，我就在这里,,0.95,0.95,0.95,0.95,7,{452=60;502=5;5000=25;6393=10},{gold=50000},,,,,,,
8,<118>,<118;18>,第8关,,来自异世界的勇者,,1.06,1.06,1.06,1.06,8,{503=2;850=100;930=25;6393=10},{gold=50000},,,,,,,
9,<119>,<119;19>,第9关,,迈向最强之路,,1.18,1.18,1.18,1.18,9,{452=80;520=2;5000=30;6393=10},{gold=50000},,,,,,,
10,<120>,<120;20>,第10关,,友谊象征：最初的精灵,,1.31,1.31,1.31,1.31,10,{850=120;930=30;973=1;6393=10},{gold=50000},,,,,,,
11,<121>,<121;21>,第11关,,最后的战斗,,1.35,1.35,1.35,1.35,11,{521=3;2415=1;6393=30;rmb=188},{gold=50000},,,,,,,
101,<111>,<111;11>,第1关,,就决定是你了,,0.6,0.6,0.6,0.6,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,,,1,,
102,<112>,<112;12>,第2关,,欢迎来到研究基地,,0.66,0.66,0.66,0.66,2,{502=1;930=50;gold=100000},{gold=50000},,,,,1,,
