变量名,name,_beizhu,name_tw,name_en,name_vn,name_kr,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
默认值,"""""","""""","""""","""""","""""","""""",pic,"""""","""""","""""","""""","""""","""""","""""",1,1,0,0,<>,0,<>,{},<>,0,<>,1,0,0,-1,-1,-1,0,-1,1,0,0,0,<>,0,<>,0,0,0,<>
ID,名字,名字,名字,名字,名字,名字,res显示类型(pic、spine),资源,图标,描述,描述,描述,描述,描述,钓鱼成功界面鱼图标缩放,类型(1普通鱼类、2精灵、3箱子),基准概率,积分价值,长度,大鱼长度,钓鱼大赛操作时间段内的积分加成<<下限a;上限a;加成a>;<下限b;上限b;加成b>>，上下限单位为秒，加成为小数,钓鱼奖励,需要鱼饵,需要钓鱼等级,出现在什么水域,权值计算方式；1：配置权值，2：累加权值,权值,钓鱼大赛权值,权值下限,权值上限,周限制出现次数,优先级,最大成功次数,被更高优先级顶掉以后怎么处理，1.保留权值，下一次必定触发 2.清空权值 3.权值-20%,鱼类稀有度,鱼和钩重合时的进度基准速度,不重合时逃跑的基准速度,随机游动范围,每次移动后的等待时间,咬钩固定等待时间,图鉴是否显示(0不显示),鱼和钩重合时的进度基准速度(大赛),不重合时逃跑的基准速度(大赛),随机游动范围(大赛)
1,Magikarp,,鯉魚王,Magikarp,404404,???,,config/big_hero/standby/img_129_lyw@.png,config/portrait/jinglingtouxiang/img_129_lyw@.png,"Just jumping will be enough, extremely weak in battle, but it is the most tenacious Pokémon can live in the water no matter how dirty.",光是跳就會滿足，不過戰鬥極其弱小，但卻在無論多髒的水裡都能住下去的頑強的寶可夢。,"Just jumping will be enough, extremely weak in battle, but it is the most tenacious Pokémon can live in the water no matter how dirty.",,??? ?? ????. ???? ?? ???? ??? ??? ??? ? ? ? ?? ???.,1.4,,0.8,100,<80;120>,110,<<2;5;0.5>;<5;8;0.2>;<8;13;0.1>>,{libs=<601;611;621>},,,<1;999>,,60,200,,,,,,,1,17,13,<19;24>,1,<5;10>,1,17,14,<27;44>
2,Goldeen,,角金魚,Goldeen,404404,??,,config/big_hero/standby/img_118_jjy@.png,config/portrait/jinglingtouxiang/img_118_jjy@.png,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.",,???? ??? ?? ??? ???? ?? ??? ??? ????.,1.3,,0.8,100,<60;90>,80,<<2;5;0.5>;<5;8;0.2>;<8;13;0.1>>,{libs=<601;611;621>},,,<1>,,300,,,,,,,,1,17,13,<19;24>,1,<5;10>,1,17,14,<27;44>
3,Feebas,,醜醜魚,Feebas,404404,???,,config/big_hero/standby/img_349_ccy@.png,config/portrait/jinglingtouxiang/img_349_ccy@.png,No one like it because it looks ugly,由於長得很醜，很少被人喜歡。,No one like it because it looks ugly,,? ? ???? ??? ?? ?? ???.,1,,0.8,100,<60;90>,80,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<601;611;621>},,,<1;999>,,300,200,,,,,,,1,16,12,<18;23>,1,<5;10>,1,16,13,<25;41>
4,Pyukumuku,,拳海參,Pyukumuku,404404,???,,config/big_hero/standby/img_771_qhc@.png,config/portrait/jinglingtouxiang/img_771_qhc@.png,"Even if it is moved, it will return to the place, so if there is no food there, it will always be hungry.",即使被移動也會返回該處，因此在那裡沒有食物的話就會一直肚子餓。,"Even if it is moved, it will return to the place, so if there is no food there, it will always be hungry.",,???? ???? ????? ??? ??? ??? ??? ?? ??.,1,,0.8,100,<20;40>,30,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<601;611;621>},,,<1>,,300,,,,,,,,1,13,10,<15;18>,1,<5;10>,1,13,11,<21;34>
5,Qwilfish,,千針魚,Qwilfish,404404,???,,config/big_hero/standby/img_211_qzy@.png,config/portrait/jinglingtouxiang/img_211_qzy@.png,It has many hard spines on its body. There are no other fins except the tail fin. The pattern on the tail looks like a ghost.,它身上長著很多堅硬的刺，除了尾鰭之外沒有別的魚鰭，尾部的花紋形似一個幽靈。,It has many hard spines on its body. There are no other fins except the tail fin. The pattern on the tail looks like a ghost.,,?? ??? ??? ?? ??. ?? ???? ?? ?? ????? ??? ??? ?? ?? ??? ??.,1,,0.72,120,<50;70>,65,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2;999>,,240,200,,,,,,,1,16,13,<19;36>,1,<5;10>,1,16,14,<27;44>
6,Remoraid,,鐵炮魚,Remoraid,404404,??,,config/big_hero/standby/img_223_tpy@.png,config/portrait/jinglingtouxiang/img_223_tpy@.png,Its body is mainly light gray with two big eyes. Its fins and tail are white.,它的身體主要是淺灰色，長著兩顆大眼睛。它的鰭和尾巴是白色的。,Its body is mainly light gray with two big eyes. Its fins and tail are white.,,?? ?? ?? ?? ???? ? ? ?? ??? ??.,1,,0.72,120,<50;70>,65,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2>,,240,,,,,,,,1,15,12,<18;34>,1,<5;10>,1,15,13,<25;41>
7,Barboach,,泥泥鰍,Barboach,404404,???,,config/big_hero/standby/img_339_nnq@.png,config/portrait/jinglingtouxiang/img_339_nnq@.png,"The shape of the Barboach is similar to mud loach, with a light gray body and a serrated black pattern on both sides.",泥泥鰍的外形類似於泥鰍，身體呈淺灰色，兩側有鋸齒狀的黑色花紋。,"The shape of the Barboach is similar to mud loach, with a light gray body and a serrated black pattern on both sides.",,???? ????? ??? ??? ?? ?? ???? ? ??? ?? ??? ?? ??? ??.,1,,0.72,120,<40;60>,55,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2;999>,,240,200,,,,,,,1,14,11,<17;30>,1,<5;10>,1,14,12,<24;39>
8,Tynamo,,麻麻小魚,Tynamo,404404,???,,config/big_hero/standby/img_602_mmxy@.png,config/portrait/jinglingtouxiang/img_602_mmxy@.png,"A small white fish, its side line is yellow, its shape resembles an electrocardiogram, and its mouth is star-shaped like a ninja knife.",白色的小魚，它的側線是黃色的，形狀類似心電圖，嘴巴是像忍者刀的星狀。,"A small white fish, its side line is yellow, its shape resembles an electrocardiogram, and its mouth is star-shaped like a ninja knife.",,??? ?? ???. ??? ?? ??? ??? ???? ??? ?? ??? ????.,1,,0.72,120,<20;40>,35,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2>,,240,,,,,,,,1,15,12,<18;33>,1,<5;10>,1,15,13,<25;41>
9,Wishiwashi,,弱丁魚,Wishiwashi,404404,???,,config/big_hero/standby/img_746_rdy@.png,config/portrait/jinglingtouxiang/img_746_rdy@.png,"One Wishiwashi is very small and fragile. As for Wishiwashi in groups, you better run!",1條的弱丁魚非常細小而且很脆弱，至於成群結對的弱丁魚，我們換個話題吧,"One Wishiwashi is very small and fragile. As for Wishiwashi in groups, you better run!",,??? ???? ?? ?? ???. ??? ??? ????...? ??? ????.,1,,0.6,150,<20;40>,35,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<607;614;621>},,,<3>,,320,,,,,,,,1,13,9,<33;39>,0,<5;10>,1,13,10,<37;76>
10,Chinchou,,燈籠魚,Chinchou,404404,???,,config/big_hero/standby/img_170_dly@.png,config/portrait/jinglingtouxiang/img_170_dly@.png,"Always lived on the bottom of the sea, but don't know why it appears here. The tentacles have a certain light-emitting ability.",一向生活在海底，不知道為啥出現在這裡，觸手具有某種發光的能力。,"Always lived on the bottom of the sea, but don't know why it appears here. The tentacles have a certain light-emitting ability.",,?? ???? ??? ? ???? ???? ??? ???. ??? ???? ??? ??? ??.,1,,0.6,150,<50;70>,65,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<607;614;621>},,,<3;999>,,320,200,,,,,,,1,10,7,<26;31>,0,<5;10>,1,10,8,<37;60>
11,Arrokuda,,刺梭魚,Arrokuda,,????,,config/big_hero/standby/img_846_csy@.png,config/portrait/jinglingtouxiang/img_846_csy@.png,"As long as there is any small movement around, it will rush straight through. After it full fed, movement become extremely slow.",只要發現周圍有什麼小動作，就會一直線沖過去。吃飽了之後動作會變得極度遲緩。,"As long as there is any small movement around, it will rush straight through. After it full fed, movement become extremely slow.",,??? ?? ????? ?? ???? ?? ????? ????. ??? ?? ? ??? ??? ????.,1,,0.6,150,<40;60>,55,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<607;614;621>},,,<3>,,320,,,,,,,,1,10,7,<46;82>,2,<5;10>,1,10,8,<37;60>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Shellos,,無殼海兔,Shellos,404404,???,,config/big_hero/standby/img_422_wkht@.png,config/portrait/jinglingtouxiang/img_422_wkht@.png,"If pressing its soft body too hard, a mysterious purple liquid will leak out, so please be careful.",如果用力按住柔軟的身體，就會有神秘的紫色液體滲出，因此請注意。,"If pressing its soft body too hard, a mysterious purple liquid will leak out, so please be careful.",,?? ???? ?? ? ??? ??? ??? ??? ??? ?? ????.,1,,0.7,300,<20;40>,30,<<2;9;0.5>;<9;12;0.2>;<12;17;0.1>>,{libs=<602;612;622>},,,<1;999>,,120,118,,,,,,,2,9,7,<26;31>,0,<8;12>,1,9,8,<37;60>
102,Mantyke,,小球飛魚,Mantyke,404404,???,,config/big_hero/standby/img_458_xqfy@.png,config/portrait/jinglingtouxiang/img_458_xqfy@.png,"It has a smile-like pattern on its back, which seems to have white eyes, red eyeballs, and light blue mouth.",它的背上有類似笑臉的花紋，好像有白色的眼睛，紅色的眼珠，淺藍色的嘴巴。,"It has a smile-like pattern on its back, which seems to have white eyes, red eyeballs, and light blue mouth.",,"??? ?? ?, ?? ???, ?? ?? ??? ?? ?? ?? ?? ??? ??.",1,,0.7,300,<80;120>,110,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<602;612;622>},,,<1>,,120,,,,,,,,2,12,9,<33;39>,0,<8;12>,1,12,10,<37;76>
103,Basculin,,野蠻鱸魚,Basculin,404404,????,,config/big_hero/standby/img_550_ymly@.png,config/portrait/jinglingtouxiang/img_550_ymly@.png,"The body of Basculin is dark green, with three black spots beside the pectoral fin, and a black marking on the head that extends to the caudal fin.",野蠻鱸魚的身體呈深綠色，在胸鰭旁有三個黑點，並且頭部上有條黑色的斑紋延伸到尾鰭。,"The body of Basculin is dark green, with three black spots beside the pectoral fin, and a black marking on the head that extends to the caudal fin.",,????? ?? ?? ???? ?? ???? ?? ?? ? 3? ?? ???? ?? ????? ?? ????? ?? ??.,1,,0.63,300,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<605;615;622>},,,<2;999>,,120,118,,,,,,,2,11,9,<33;60>,0,<8;12>,1,11,10,<37;76>
104,Dewpider,,滴蛛,Dewpider,404404,???,,config/big_hero/standby/img_751_dz@.png,config/portrait/jinglingtouxiang/img_751_dz@.png,"Its head is surrounded by blisters, and the blisters are surrounded by three yellow-green tissues. The eyes are blue with light blue stripes. The mouth is yellow-green, and there are two blue protrusions on the top of the head.",頭部被水泡包圍，水泡則被三條黃綠色的組織所包圍，眼睛為藍色，並有淺藍色條紋；嘴巴為黃綠色；頭頂有兩個藍色突起。,"Its head is surrounded by blisters, and the blisters are surrounded by three yellow-green tissues. The eyes are blue with light blue stripes. The mouth is yellow-green, and there are two blue protrusions on the top of the head.",,"??? ???? ??? ???, ??? ??? ? ??? ???? ??. ?? ???, ??? ???? ??. ?? ????? ???? ? ?? ??? ??? ??.",1,,0.63,300,<20;40>,30,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<605;615;622>},,,<2>,,120,,,,,,,,2,10,8,<30;48>,0,<8;12>,1,10,9,<33;69>
105,Starmie,,寶石海星,Starmie,404404,????,,config/big_hero/standby/img_121_bshx@.png,config/portrait/jinglingtouxiang/img_121_bshx@.png,"Because the part called the core in the middle of the body emits colorful rays, it is called the gem of the sea.",因為位於身體中間被稱為核心的部分會發出七彩光芒，所以它被冠上了海之寶石這一別名。,"Because the part called the core in the middle of the body emits colorful rays, it is called the gem of the sea.",,? ??? ?? ???? ??? ??? ?? ?? ?? ??? ??? ????? ??? ??.,1,,0.56,300,<80;120>,115,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<608;612;622>},,,<3>,,80,,,,,,,,2,10,9,<33;70>,0,<8;12>,1,10,10,<37;76>
106,Horsea,,墨海馬,Horsea,404404,???,,config/big_hero/standby/img_116_mhm@.png,config/portrait/jinglingtouxiang/img_116_mhm@.png,"Can move swiftly by using the dorsal fin on the back, facing forward and moving in all directions. Once it detects danger, it will spit out ink and escape.",能靈活地靠背上的背鰭移動，面朝前地向四面八方移動。一旦察覺危險時就會吐出墨汁逃跑。,"Can move swiftly by using the dorsal fin on the back, facing forward and moving in all directions. Once it detects danger, it will spit out ink and escape.",,?????? ??? ??? ? ?? ?? ?? ?????? ????. ??? ???? ??? ???? ??? ??.,1,,0.5,300,<40;60>,55,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<608;612;622>},,,<3;999>,,80,118,,,,,,,2,12,8,<30;36>,0,<8;12>,1,12,9,<33;69>
