变量名,levelEnd,levelStart,themeCsvID,rangeFixs,monsters3,monsters2,monsters1
默认值,110,1,<>,<1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27>,<>,<>,<>
ID,等级结束,等级开始,主题CSV ID,范围修正,怪物3,怪物2,怪物1
1001,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<93;472;2993;3152;283;44>,<1221;1241;2963;7001;222;863>,<503;2822;482;163;263;3021>
1002,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<472;2993;1032;2993;133;2822>,<1921;572;593;463;1241;884>,<771;1852;4;2993;464;2233>
1003,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<572;153;2302;1423;1893;631>,<1071;24;372;2483;2683;701>,<1082;393;3843;2993;3663;3293>
1004,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<731;1921;14;2473;884;53>,<1931;3663;1911;464;631;2993>,<13;1612;803;3181;1841;2993>
1005,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<3353;23;1303;1172;3021;1313>,<493;1853;2473;1241;3152;462>,<631;283;1443;242;3303;1893>
1006,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<464;2993;1941;263;382;2993>,<2612;1231;1903;1394;3543;1921>,<23;2891;3502;2822;1032;603>
1007,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<2822;1394;2633;2303;3543;2993>,<593;1313;3592;2993;2924;641>,<1852;1841;3003;2923;1423;552>
1008,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<721;2633;372;2993;273;2993>,<2473;2923;2723;1853;2822;2993>,<1293;863;23;4;153;463>
1009,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<93;1231;2473;472;15;1253>,<3293;2242;1293;2013;2993;2073>,<3143;3;721;3592;153;1853>
1010,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<631;2013;464;1423;1853;472>,<1612;2303;2843;2483;2683;4132>,<1931;264;572;2633;23;3021>
1011,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<273;1941;1082;394;2993;2993>,<2612;1172;3592;463;53;4>,<222;13;753;372;93;3021>
1012,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<2401;3303;482;1423;3152;1172>,<1893;2033;1394;1393;13;1032>,<14;753;44;1931;2993;1221>
1013,110,1,<1;2;3;4;5;6;7;8;9>,<19;20;21;22;23;24;25;26;27>,<3772;863;493;503;2483;1951>,<712;24;692;2993;2302;701>,<23;3003;2993;44;1032;163>
