变量名,point,minuteRes,growResLimit
默认值,0,{},{}
ID,积分,每分钟资源,增长资源上限
1,0,{13=0.009;142=0.009;gold=45},{13=6;142=6;gold=32400}
2,360,{13=0.012;142=0.012;gold=60},{13=9;142=9;gold=43200}
3,450,{13=0.015;142=0.015;gold=75},{13=11;142=11;gold=54000}
4,540,{13=0.018;142=0.018;gold=90},{13=13;142=13;gold=64800}
5,720,{13=0.021;142=0.021;gold=105},{13=15;142=15;gold=75600}
6,900,{13=0.024;142=0.024;gold=120},{13=17;142=17;gold=86400}
7,1080,{13=0.027;142=0.027;gold=135},{13=19;142=19;gold=97200}
8,1350,{13=0.03;142=0.03;gold=150},{13=22;142=22;gold=108000}
9,1620,{13=0.033;142=0.033;gold=165},{13=24;142=24;gold=118800}
10,2025,{13=0.036;142=0.036;gold=180},{13=26;142=26;gold=129600}
11,2430,{13=0.039;142=0.039;gold=195},{13=28;142=28;gold=140400}
12,2700,{13=0.042;142=0.042;gold=210},{13=30;142=30;gold=151200}
13,3150,{13=0.045;142=0.045;gold=225},{13=32;142=32;gold=162000}
14,3600,{13=0.048;142=0.048;gold=240},{13=35;142=35;gold=172800}
15,4320,{13=0.051;142=0.051;gold=255},{13=37;142=37;gold=183600}
16,4860,{13=0.054;142=0.054;gold=270},{13=39;142=39;gold=194400}
17,5850,{13=0.057;142=0.057;gold=285},{13=41;142=41;gold=205200}
18,6750,{13=0.06;142=0.06;gold=300},{13=43;142=43;gold=216000}
