变量名,name,designLength,isFloor1,level,homeScoreRange
默认值,,21,0,1,<>
ID,name,designLength,isFloor1,level,homeScoreRange
101,#F44##C0xFFF76B45##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#密集,,,,<-999999;-1>
102,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#需添置,,,2,<-1;1800>
103,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#简朴,,,3,<1800;3400>
104,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#简约,,,4,<3400;5000>
105,#F44##C0xFFAEE97E##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#舒适,,,5,<5000;8400>
106,#F44##C0xFFAEE97E##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#温馨,,,6,<8400;99999>
111,#F44##C0xFFF76B45##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#密集,,1,,<-999999;-1>
112,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#需添置,,1,2,<-1;2700>
113,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#简朴,,1,3,<2700;4900>
114,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#简约,,1,4,<4900;7200>
115,#F44##C0xFFAEE97E##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#舒适,,1,5,<7200;11000>
116,#F44##C0xFFAEE97E##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#温馨,,1,6,<11000;99999>
201,#F44##C0xFFF76B45##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#密集,27,,,<-999999;-1>
202,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#需添置,27,,2,<-1;2900>
203,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#简朴,27,,3,<2900;5500>
204,#F44##C0xFFFFD668##Pfont/youmi1.ttf##LOC0xFF5B5B5B##LOS4##L00100000#简约,27,,4,<5500;8000>
