变量名,explorationPoint,stageName,stage
默认值,0,"""404""",0
ID,所需探索点数,阶段名称,阶段编号
1,,初识,1
2,200,试探,2
3,500,冒险深入,3
4,800,柳暗花明,4
5,1500,熟门熟路,5
6,2000,了然于胸,6
7,99999999,了然于胸,7
8,99999999,了然于胸,8
9,99999999,了然于胸,9
10,99999999,了然于胸,10
11,99999999,了然于胸,11
12,99999999,了然于胸,12
13,99999999,了然于胸,13
14,99999999,了然于胸,14
15,99999999,了然于胸,15
16,99999999,了然于胸,16
17,99999999,了然于胸,17
18,99999999,了然于胸,18
19,99999999,了然于胸,19
20,99999999,了然于胸,20
21,99999999,了然于胸,21
22,99999999,了然于胸,22
23,99999999,了然于胸,23
24,99999999,了然于胸,24
25,99999999,了然于胸,25
26,99999999,了然于胸,26
