变量名,res2,expAdd,icon,repeatExpAdd,desc,spineRes,startResScale,quality,type,position,series,currentNum,res,showTest,decorativeness,floorStackMax,stackMax,spineRes2,name,repeatDecorateProp,spineData,attr,size,startPos,touchSize,startPos2,touchSize2,treadArea,relSize,languages
默认值,"""""",10,"""""",0,"""""","""""",2,0,102,5,0,FALSE,"""""",FALSE,5,3,10,"""""","""""",<1>,{},{},{width=1;height=1},{y=0;x=0;x2=0;y2=0},<>,{y=0;x=0;x2=0;y2=0},<>,<>,{width=1;height=1;off={offHeight=0;offWidth=0}},<cn;tw;en;en_us;en_eu;kr>
ID,资源2,经验加成,图标,重复经验加成,描述,Spine资源,起始缩放,品质,类型ID,位置,系列ID,当前数量,资源路径,显示测试,装饰度,地板堆叠上限,堆叠上限,Spine资源2,家具名称,重复装饰比例,Spine数据,属性,尺寸{width;height},起始位置{x;y},点击区域<<x;y>>,起始位置2,点击区域2,踩踏区域,相对尺寸,语言限制
70001,,,config/item/furniture/icon_diban.png,,平日里最稀松平常的样式，充满了生活气息,,,,101,,,,town/floor70001.tmx,,7,1,1,,湖蓝格子,,,{k=0.5;maxNum=30;maxScale=0.9;minScale=0.4},{height=21;wallHeight=5;width=21;x=6;y=6},,,,,,,
70002,,65,config/item/furniture/icon_diban1.png,,简约大气的款式+梦幻紫配色，精致到地面也不放过,,,,101,,,,town/floor70002.tmx,,8,1,1,,印花地板,,,{k=0.5;maxNum=30;maxScale=0.9;minScale=0.4},{height=21;wallHeight=5;width=21;x=6;y=6},,,,,,,
70003,,130,config/item/furniture/icon_diban2.png,,夏日·季节限定哦！冰冰凉凉的大理石，和耐脏自然的黄色的搭配，在炎炎夏日光脚踩上很是舒服,,,,101,,,,town/floor70003.tmx,,10,1,1,,大理石地板,,,{k=0.5;maxNum=30;maxScale=0.9;minScale=0.4},{height=21;wallHeight=5;width=21;x=6;y=6},,,,,,,<cn;tw;en;en_eu;en_us;kr>
70004,,265,config/item/furniture/icon_diban3.png,,七夕限定，如果爱有颜色的话，那一定是粉红色的啦！,,,,101,,,,town/floor70005.tmx,,17,1,1,,粉红回忆,,,{k=0.5;maxNum=30;maxScale=0.9;minScale=0.4},{height=21;wallHeight=5;width=21;x=6;y=6},,,,,,,<cn;tw>
70005,,240,config/item/furniture/icon_diban_3.png,,地板用同色系的蓝紫色以及深色小格子点缀，即让地面看起来显得宽敞，又不失一些点缀,,,,101,,,,town/floor70004.tmx,,19,1,1,,普通格子,,,{k=0.5;maxNum=31;maxScale=0.9;minScale=0.4},{height=21;wallHeight=6;width=21;x=6;y=6},,,,,,,
70006,,130,config/item/furniture/icon_diban4.png,,小时候幻想自己能长出一双翅膀在云端飞翔，现在真的仿佛居住在蔚蓝的天空上,,,,101,,,,town/floor70006.tmx,,11,1,1,,蔚蓝,,,{k=0.5;maxNum=32;maxScale=0.9;minScale=0.4},{height=21;wallHeight=7;width=21;x=6;y=6},,,,,,,
70501,,50,config/item/furniture/icon_ditan.png,25,以静谧而清新的蓝色为主调，棉麻的材料给地毯带来柔软的触感,,,,,,,,city/town/furniture/ditan/img_ditan.png,,17,1,3,,简约格子-蓝,,,{flip=TRUE},{height=5;width=6},{x=-480;y=0},<<1;121>;<200;220>;<434;101>;<241;2>>,,,,,
70502,,50,config/item/furniture/icon_ditan2.png,25,以简单的纯白色为主调，棉麻的材料给地毯带来柔软的触感,,,,,,113,,city/town/furniture/ditan/img_ditan2.png,,17,1,3,,简约格子-白,,,{flip=TRUE},{height=4;width=6},{x=-447;y=16},<<0;110>;<222;1>;<366;76>;<145;183>>,,,,,
70503,,200,config/item/furniture/icon_ditan1.png,90,是一张圆形地毯，样式和训练家们用的精灵球一模一样,,,1,,,114,,city/town/furniture/ditan/img_ditan1.png,,28,,5,,精灵球地毯,<1;0.8;0.5>,,{flip=TRUE},{height=4;width=4},{x=-225;y=48},<<118;112>;<4;73>;<43;14>;<189;15>;<214;78>>,,,,,
70504,,375,config/item/furniture/icon_tanzi.png,180,以靛蓝与明黄做边衬，手工羊毛编织而成的地毯，除了会有点飘毛，其他都很完美,,,1,,,109,,city/town/furniture/ditan/img_tanzi.png,,54,1,3,,羊毛方毯,,,{flip=TRUE},{height=7;width=6},{x=-471;y=6},<<2;118>;<236;3>;<506;139>;<272;253>>,,,,,
70505,,115,config/item/furniture/icon_tanzi1.png,55,圆毯大面积以蓝色为主，看起来有一种静谧平和的感觉,,,,,,,,city/town/furniture/ditan/img_tanzi1.png,,19,1,3,,羊毛圆毯,,,{flip=TRUE},{height=5;width=5},{x=-242;y=47},<<1;77>;<70;147>;<197;139>;<236;49>;<104;4>>,,,,,
70506,,200,config/item/furniture/icon_tuoyuantanzi.png,90,工艺非常精细的毯子，椭圆较大的面积可以保证它能覆盖到更多的地面不受家具移动的磨损伤害,,,,,,,,city/town/furniture/ditan/img_tuoyuantanzi.png,,23,,5,,格子圆毯,<1;0.7;0.4>,,{flip=TRUE},{height=5;width=3},{x=-162;y=42},<<1;39>;<149;117>;<241;83>;<218;49>;<98;2>>,,,,,
70507,,90,config/item/furniture/icon_yuantanzi.png,40,以大面积的白色填充，样式是很常见的圆形，使用时需要注意污渍，白色可是需要小心维护的,,,,,,,,city/town/furniture/ditan/img_yuantanzi.png,,16,,5,,纯色圆毯,<1;0.6;0.3>,,{flip=TRUE},{height=3;width=3},{x=-165;y=35},<<0;47>;<87;86>;<157;63>;<139;14>;<54;4>>,,,,,
70508,,30,config/item/furniture/icon_ditan3.png,15,使用密集的天然羊绒制作而成，这是小尺寸的款式，打扫的时候可得费一些功夫了,,1.8,,,,121,,city/town/furniture/ditan/img_ditan3.png,,13,,5,,羊绒圆毯小·青莲紫,<1;0.6;0.3>,,{flip=TRUE},{height=3;width=3},{x=-153;y=21},<<87;5>;<146;21>;<164;65>;<105;107>;<6;81>;<14;28>>,,,,,
70509,,120,config/item/furniture/icon_ditan4.png,55,使用密集的天然羊绒制作而成，这是大尺寸的款式，打扫的时候可得费一些功夫了,,1.9,1,,,122,,city/town/furniture/ditan/img_ditan4.png,,23,,5,,羊绒圆毯大·夕雾蓝,<1;0.8;0.5>,,{flip=TRUE},{height=4;width=4},{x=-207;y=23},<<104;3>;<187;26>;<206;104>;<75;139>;<2;86>;<26;27>>,,,,,
