变量名,textType,areaType,text
默认值,0,0,""""""
ID,文本类型,区域类型,文本内容
1,,,"{sprite1}一行为了过河，向一位拥有渡船的老人借船。老人为了完成研究，要求想办法抓到胡说树，才可借船。于是{sprite2}就去找胡说树。可是胡说树不只躲藏的功夫很高,还会用所有绝招来反击，在一团混乱之后，终于抓住胡说帮助老人完成了研究。"
2,,,"{sprite1}和其他小伙伴遇到了新人训练家奈奈。正巧火箭队却看上奈奈,利用奈奈设下一个棒球陷阱,伺机抢走菊草叶和皮卡丘。奈奈知道上当受骗,遂和{sprite2}、{sprite3}连手打倒火箭队。"
3,,,{sprite1}带领小队来到一座山谷，遇见顿甲训练家衣其小姐。衣其小姐的顿甲有寻找玛瑙的能力，被财迷心窍的火箭队抢走。于是{sprite2}、{sprite3}便找到了火箭队，双方一场激战。当然，火箭队自然是被打败了。
4,,,{sprite1}的小队在路上碰到了一个胖丁，结果{sprite2}因为这只胖丁歌声睡着了，跟在他们附近的布卢也因为歌声而睡着了。结果胖丁用他的笔把他们的脸乱画一通。
5,,,{sprite1}带领的小队在森林中迷路了，白茫茫的雾中见到一位少年被围起来欺负。原来他们都是神奇宝贝学校的学生。{sprite2}为了替小淳出气，打败优点骄子的精灵。
6,,,"{sprite1}一行来到一间育幼院.但当他们在参观时园长临时有事却不知找谁来照顾一群乌波.{sprite2}和{sprite3}这时自告奋勇要帮忙.但是园长才离开没多久,乌波们却到处乱跑,到底他们能把乌波找回来吗?"
7,,,拉拉美族的富子的精灵们被陷害受伤，{sprite1}只好带着小伙伴们替她的精灵们参加比赛。火箭队跟都利夫达成协议，要帮助都利夫得到冠军，而在一路乱设陷阱，使得比赛一团混乱。
8,,,{sprite1}带领着小队经过一个美丽的森林，在里边小憩一会儿。在大伙休息得正舒服时，{sprite2}注意到草丛中的影子。那双注视着他们的，原来是野生皮卡丘。{sprite3}也注意到他的存在而且跟着向森林深处追去，不顾伙伴们的呼喊……
9,,,{sprite1}意外发现了火箭队，他们为了得到鸭嘴火龙在这里胡乱发射冰冻炮，害得岩石裂开，岩浆流出，眼看就要形成一场大灾难。于是探险小队成员们决定合力来帮忙阻止岩浆流出。
10,,,小队在寻路途中，遇到神奇宝贝考古学权威，天才少女怀特博士。她在附近的考古挖掘现场挖出了超古代神奇宝贝的胡地与耿鬼，特大号的他们一闹起来，无人能挡，莫非这里就要轻易被毁灭了？
11,,,大家赶了很久的路来到一片干净的平原区，于是决定在这里休息一天。刚好火箭队也来到这里渡假。这次火箭队利用大食花的睡眠粉，想把小队成员们迷昏后偷走{sprite1}和{sprite2}
12,,,{sprite1}和{sprite2}吸入路边神秘蘑菇的粉末病倒在床。无独有偶，火箭队的武藏也误吸了这种粉末。{sprite3}在寻找解毒的水草时遇上火箭队的喵喵和小次郎，双方为了争夺水草大打出手。
13,,,火箭队的武藏、小次郎、喵喵以怪盗猫八自居，到处犯案。{sprite1}一行正在这这里碰见君莎带着警察神奇宝贝线球一起出动调查，遂答应君莎一起逮捕神奇宝贝小偷。
14,,,探险小队来到森林中遇到了一只火球鼠。这个火球鼠正遭到训练家浩二的追逐，浩二以不择手段的方式追捕火球鼠，令小队成员们义愤填膺。于是{sprite1}联手其他精灵击退这个居心不良的家伙，还获得了这只火球鼠的友谊。
15,,,"{sprite1}不见了。原来Ta跑到了茂密的树林中了,于是其他成员决定在树林中展开地毯式寻找。但是，火箭队却想把Ta给抢走.到底其他成员们能比火箭队先找到Ta吗?"
50,1,,{sprite1}一行乘着{explore}，在海上遇到快速划着独木舟前进的乔伊，原来她在橘子群岛上到处为神奇宝贝看病，却碰上火箭队的阻挠。最后在鲤鱼王进化成的暴鲤龙搭救之下，终于突破困境，为小海狮看了病。
51,1,,{sprite1}在吃野生果实时卡住无法呼吸，{sprite2}和其他人赶紧驾驶{explore}带着Ta求救。杜医生才刚治好一只野生皮卡丘，又有许多其他的精灵们因各种意外受伤需要治疗。医院实在人手不足，于是在场{sprite3}、{sprite4}、{sprite5}就都来当助手了。
52,1,,探险小队的旅途，被风雪阻碍地待在雪山当中，风雪太大，{explore}也运行不了。{sprite1}查看了预报说风雪将在天亮后散去，现在大家只能共同度过寒冷，之后再修理好{explore}，凭借{explore}越过雪山。
53,1,,"探险小队成员们一个个都在{explore}上睡着了,不知{explore}正在慢慢停下来。最终停到树林繁茂的岛上，这时{sprite1}醒了，Ta叫醒了{sprite2}、{sprite3}开始外出到处找人求救,却一个人也没看到。这里是无人区吗?"
54,1,,这次小队成员精神抖擞的乘坐着{explore}，大家都很开心于是在{explore}上说唱逗趣、搞笑耍宝，煞是热闹。谁知又碰上武藏一行人竟然偷偷潜入{explore}捣乱、想要把{sprite1}、{sprite1}抢走，但在其他伙伴们奋力合作下，终于保住了精灵们和探险器
