变量名,name,rarity,addDrecorate,expAdd,addAttrs,languages
默认值,”“,0,0,0,{},<cn;tw;en;en_us;en_eu;kr>
ID,系列名称,稀有度,装饰度加成,经验加成,属性加成{属性ID=值%},语言限制
101,娱乐至上,,0.5,60,{7=0.5%;8=0.5%},
102,一抹春色,,0.5,80,{9=0.5%;10=0.5%},
103,美食烹饪家,1,0.65,200,{14=50;16=50},
104,C大调奏鸣曲,,0.5,40,{1=1%},
105,皮卡丘yyds,1,0.7,280,{17=50;18=50},
106,勤劳工作者,,0.5,80,{1=0.5%},
107,知识就是力量,,0.55,100,{7=0.5%;8=0.5%},
108,隐私很重要,,0.5,40,{9=0.5%;10=0.5%},
109,冬季客厅,1,0.65,200,{24=50;25=50},
110,软乎乎的小凳子,,0.5,40,{1=0.5%},
111,梆硬的长椅子,,0.5,40,{7=0.5%;8=0.5%},
112,悠闲午后,1,0.65,200,{90=50;91=50},
113,朋友们的聚会,,0.5,80,{9=0.5%;10=0.5%},
114,氛围感装饰,1,0.6,160,{92=50;93=50},
115,明亮的角落,,0.5,60,{1=0.5%},
116,玩具爱好者,1,0.65,200,{14=50;16=50},
117,花花世界,,0.55,100,{7=0.5%;8=0.5%},
118,院落躺平好物,1,0.6,120,{92=50;93=50},
119,美好回忆,,0.5,60,{9=0.5%;10=0.5%},
120,嬉水一夏,,0.5,80,{1=0.5%},
121,精心装扮,,0.5,80,{1=0.5%},
122,享受阳光,1,0.65,200,{9=0.5%;10=0.5%},
123,美美的香薰SPA,,0.55,100,{7=0.5%;8=0.5%},
124,美味大餐,1,0.6,160,{1=0.5%},
125,浪漫星空之下,,0.55,100,{9=0.5%;10=0.5%},
126,美好仲夏·室内,1,0.6,80,{92=50;93=50},<cn;tw;en;en_eu;en_us;kr>
127,美好仲夏·小院,,0.5,60,{7=0.5%;8=0.5%},<cn;tw;en;en_eu;en_us;kr>
128,南瓜去哪了？,1,0.65,200,{14=50;16=50},
129,音乐的味道,,0.5,80,{9=0.5%;10=0.5%},
130,喵呜！！,,0.55,100,{1=0.5%},
131,精灵之家,1,0.65,200,{17=50;18=50},
132,圣诞节！,,0.5,40,{7=0.5%;8=0.5%},
133,新年装饰,,0.5,60,{1=0.5%},<cn;tw;en;en_us;en_eu;kr>
134,舒适之家,1,0.6,120,{24=50;25=50},<cn;tw;en;en_us;en_eu;kr>
135,春意盎然,1,0.65,200,{9=0.5%;10=0.5%},<cn;en;tw;kr;en_us>
136,永沐爱河,1,0.65,160,{7=0.5%;8=0.5%},<cn;tw>
137,美食不捣蛋,1,0.65,200,{1=0.5%},
138,张灯结彩,1,0.7,160,{18=0.5%},<cn;tw;en;en_us;en_eu;kr>
139,幼稚园,,0.5,80,{1=0.5%},
140,园游会,1,0.65,80,{24=50;25=50},
141,“幽灵”音乐会,,0.55,80,{7=0.5%;8=0.5%},
142,美梦圣诞夜,1,0.6,160,{1=0.5%},
143,美味年夜饭,,0.5,60,{9=0.5%;10=0.5%},<cn>
144,蝉鸣夏季,1,0.7,160,{7=0.5%;8=0.5%},<cn;tw>
