变量名,effectLimit,drawType,weightStart,probInit,probStep,probLimit,drawTriggerTimes,probEffectInterval,weightEnd,drawTriggerType,startCount,probMiniTimes,awardArea1,awardArea2,awardArea3,awardArea4
默认值,0,town_adventure1,0,0,0.01,0.2,0,50,0,0,0,30,{},{},{},{}
ID,生效限制,抽取类型,权重起始,概率初始,概率步进,概率上限,抽取触发次数,概率生效间隔,权重结束,抽取触发类型,起始计数,概率最小次数,区域1奖励,区域2奖励,区域3奖励,区域4奖励
1,,town_adventure1,0.054,,,,11,,0.113,1,10,,{8515=1},{8525=1},{8535=1},{8545=1}
11,1,town_adventure1,0.05,,,,6,,0.45,1,6,,{8515=1},{8525=1},{8535=1},{8545=1}
21,1,town_adventure1,0.3,,,,1,,0.4,1,2,,{8515=1},{8525=1},{8535=1},{8545=1}
31,,town_adventure1,0.05,,,,1,,0.45,1,1,,{8514=1},{8524=1},{8534=1},{8544=1}
32,,town_adventure1,0.05,,,,1,,0.45,1,1,,{8580=1},{8580=1},{8580=1},{8580=1}
41,1,town_adventure1,,,,,2,,,3,,,{8514=1},{8524=1},{8534=1},{8544=1}
51,1,town_adventure1,,,,,1,,,3,,,{8513=1},{8523=1},{8533=1},{8543=1}
61,,town_adventure1,,,,,2,,,,,,,,,
