变量名,name,type,res,hold,clientParam
默认值,"""""",0,"""""",0,{}
ID,玩法名称,玩法类型,资源路径,持有类型,客户端参数{color;outline;scale;spineName等}
101,哇塞的礼花,1,city/town/home/party/icon_party1.png,,
102,disco灯,1,city/town/home/party/icon_party2.png,,
103,加大音量！,1,city/town/home/party/icon_party3.png,,
104,前方高能,1,city/town/home/party/icon_party4.png,,
105,小恶魔,1,city/town/home/party/icon_party5.png,1,{boneName=bei_move;scale=1;spineName=town/emweiba.skel;x=0;y=0;z=0}
106,主角光环,1,city/town/home/party/icon_party6.png,2,{boneName=tou_move;spineName=town/guanghuan.skel;z=2}
107,气球飘飘,1,city/town/home/party/icon_party7.png,2,{boneName=bei_move;scale=1.1;spineName=town/qiqiu.skel;x=0;y=0;z=0}
201,,2,config/partyemoji/icon_bq_hql.png,,
202,,2,config/partyemoji/icon_bq_sn.png,,
203,,2,config/partyemoji/icon_bq_tt.png,,
204,,2,config/partyemoji/icon_bq_ttt.png,,
205,,2,config/partyemoji/icon_bq_ym.png,,
301,橙色,3,,,{color={r=243;a=255;b=91;g=137};outline={r=107;a=255;b=26;g=51}}
302,绿色,3,,,{color={r=145;a=255;b=177;g=225};outline={r=3;a=255;b=37;g=73}}
303,蓝色,3,,,{color={r=139;a=255;b=223;g=175};outline={r=0;a=255;b=106;g=45}}
304,紫色,3,,,{color={r=203;a=255;b=222;g=142};outline={r=85;a=255;b=104;g=11}}
305,粉色,3,,,{color={r=238;a=255;b=143;g=115};outline={r=104;a=255;b=90;g=15}}
