变量名,randomBelongID,weight,needExplorationPoint,awards
默认值,0,0,0,<>
ID,随机归属ID,权重,所需探索点数,奖励<<物品ID;权重;数量>>
201,1,100,,<<8301;100;10>;<8302;100;20>;<8303;100;30>;<8304;100;6>;<8305;100;12>;<8306;100;18>>
202,1,100,2000,<<8307;100;5>;<8308;80;3>;<8309;60;2>>
203,1,100,4000,<<8310;100;1>;<8311;50;1>;<8312;20;1>;<8313;50;1>;<8414;50;1>;<8515;50;1>>
204,2,100,500,<<gold;100;38000>;<gold;100;58000>;<gold;100;88000>;<coin1;100;100>;<coin2;100;100>;<coin3;100;100>>
205,2,100,2000,<<8316;60;1>;<8317;80;1>;<8318;80;1>;<8319;80;1>;<8320;100;1>;<8321;100;1>>
206,3,100,4000,<<8322;100;2>;<8323;100;2>;<8324;100;5>;<8325;100;5>;<8326;100;5>;<8327;100;2>;<8328;100;1>>
207,3,100,500,<<gold;30;38000>;<gold;20;58000>;<gold;15;88000>;<gold;15;108000>>
208,4,100,2000,<<8329;10;5>;<8330;0;5>;<8331;60;2>;<8332;5;3>;<8333;2;1>;<8334;2;1>>
209,4,100,4000,<<8335;10;1>;<8336;10;1>;<8337;10;1>>
1001,1001,90,,<<8301;100;1>;<8302;100;1>;<8303;100;1>;<8304;100;1>;<8305;100;1>;<8306;100;1>;<8307;100;1>;<8308;100;1>;<8309;100;1>;<8310;100;1>;<8311;100;1>;<8312;100;1>;<8313;100;1>;<8314;100;1>;<8315;100;1>;<8316;100;1>;<8317;100;1>;<8318;100;1>;<8319;100;1>;<8320;100;1>;<8321;100;1>;<8322;100;1>;<8323;100;1>;<8324;100;1>;<8325;100;1>;<8326;100;1>;<8327;100;1>;<8328;100;1>;<8329;100;1>;<8330;100;1>;<8331;100;1>;<8332;100;1>;<8333;100;1>;<8334;100;1>;<8335;100;1>;<8336;100;1>;<8337;100;1>;<8338;100;1>;<8339;100;1>;<8340;100;1>;<8341;100;1>;<8342;100;1>;<8343;100;1>;<8344;100;1>>
1002,1001,10,,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;100;1>;<8422;100;1>;<8423;100;1>;<8424;100;1>;<8425;100;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
1003,1001,5,200,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;100;1>;<8422;100;1>;<8423;100;1>;<8424;100;1>;<8425;100;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
1004,1001,5,700,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;100;1>;<8422;100;1>;<8423;100;1>;<8424;100;1>;<8425;100;1>;<8426;0;1>;<8427;0;1>;<8428;0;1>;<8429;0;1>;<8430;0;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
1005,1001,1,1500,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;100;1>;<8508;100;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
1006,1001,1,3000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;100;1>;<8508;100;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
1007,1001,1,5000,<<8501;100;1>;<8502;100;1>;<8503;100;1>;<8504;100;1>;<8505;100;1>;<8506;100;1>;<8507;100;1>;<8508;100;1>;<8509;0;1>;<8510;0;1>;<8511;0;1>;<8512;0;1>;<8513;0;1>;<8514;0;1>>
1021,1021,100,,<<13;100;1>;<14;30;1>;<15;10;1>;<930;100;1>;<5000;100;1>;<529;100;10>;<606;15;1>;<607;8;1>;<609;15;1>;<610;8;1>;<612;15;1>;<613;8;1>;<615;15;1>;<616;8;1>;<618;15;1>;<619;8;1>;<621;15;1>;<622;8;1>;<2101;30;1>;<2102;10;1>;<451;15;3>;<452;8;2>;<850;15;2>;<851;8;1>;<122;15;1>;<123;8;1>>
1041,1041,100,,<<none;10000;1>;<20241;100;1>;<20261;100;1>;<20391;100;1>;<20401;100;1>;<20491;100;1>;<20591;100;1>;<20601;100;1>;<20711;100;1>;<20771;100;1>;<20881;100;1>;<21071;100;1>;<21291;100;1>;<21311;100;1>;<21501;100;1>;<21841;100;1>;<22031;100;1>;<22721;100;1>;<23141;100;1>;<23411;100;1>;<23541;100;1>>
1042,1041,30,700,<<none;3000;1>;<20161;100;1>;<20611;0;1>;<20641;0;1>;<21031;0;1>;<21081;100;1>;<21171;0;1>;<21251;0;1>;<21391;0;1>;<21421;100;1>;<21811;0;1>;<21911;0;1>;<21921;0;1>;<21931;100;1>;<22241;0;1>;<22471;0;1>;<22821;0;1>;<22991;100;1>;<23001;0;1>;<23021;0;1>;<23151;0;1>;<23351;100;1>;<23591;0;1>;<23661;0;1>;<23771;0;1>;<23841;0;1>;<24131;0;1>>
1043,1041,10,1500,<<none;2500;1>;<20331;100;1>;<20381;0;1>;<20501;0;1>;<20571;0;1>;<20631;100;1>;<20701;0;1>;<20721;0;1>;<20731;0;1>;<20741;100;1>;<20751;0;1>;<20861;0;1>;<21221;0;1>;<21231;100;1>;<21241;0;1>;<21891;0;1>;<21901;0;1>;<21941;100;1>;<21951;0;1>;<22231;0;1>;<22401;0;1>;<23161;100;1>;<23171;0;1>;<23181;0;1>;<23251;0;1>;<27001;0;1>>
1044,1041,1,3000,<<none;800;1>;<22381;100;1>;<22431;0;1>;<22441;0;1>;<23631;0;1>;<21261;0;1>;<21961;0;1>;<21971;100;1>;<21981;0;1>>
1101,1101,90,,<<8301;100;1>;<8302;100;1>;<8303;100;1>;<8304;100;1>;<8305;100;1>;<8306;100;1>;<8307;100;1>;<8308;100;1>;<8309;100;1>;<8310;100;1>;<8311;100;1>;<8312;100;1>;<8313;100;1>;<8314;100;1>;<8315;100;1>;<8316;100;1>;<8317;100;1>;<8318;100;1>;<8319;100;1>;<8320;100;1>;<8321;100;1>;<8322;100;1>;<8323;100;1>;<8324;100;1>;<8325;100;1>;<8326;100;1>;<8327;100;1>;<8328;100;1>;<8329;100;1>;<8330;100;1>;<8331;100;1>;<8332;100;1>;<8333;100;1>;<8334;100;1>;<8335;100;1>;<8336;100;1>;<8337;100;1>;<8338;100;1>;<8339;100;1>;<8340;100;1>;<8341;100;1>;<8342;100;1>;<8343;100;1>;<8344;100;1>>
1102,1101,10,,<<8401;100;1>;<8402;100;1>;<8403;100;1>;<8404;100;1>;<8405;100;1>;<8406;100;1>;<8407;100;1>;<8408;100;1>;<8409;100;1>;<8410;100;1>;<8411;100;1>;<8412;100;1>;<8413;100;1>;<8414;100;1>;<8415;100;1>;<8416;100;1>;<8417;100;1>;<8418;100;1>;<8419;100;1>;<8420;100;1>;<8421;0;1>;<8422;0;1>;<8423;0;1>;<8424;0;1>;<8425;0;1>;<8426;100;1>;<8427;100;1>;<8428;100;1>;<8429;100;1>;<8430;100;1>;<8431;0;1>;<8432;0;1>;<8433;0;1>;<8434;0;1>;<8435;0;1>;<8436;0;1>;<8437;0;1>;<8438;0;1>;<8439;0;1>;<8440;0;1>>
