变量名,townScale,res,relicScale,spine,pos
默认值,1,"""""",1,{},{x=0;y=0}
ID,城镇缩放,资源路径,遗迹缩放,Spine配置{res;name},位置{x;y}
101,2.8,city/town/map/building/25_2.png,3,{name=effect_loop;res=townyiji/bingqie2.skel},{x=454;y=160}
102,2.8,city/town/map/building/25_3.png,3,{name=effect_loop;res=townyiji/bingqie2.skel},{x=523;y=180}
103,2.8,city/town/map/building/25_3.png,3,{name=effect_loop;res=townyiji/bingqie1.skel},{x=182;y=214}
104,2.8,city/town/map/building/25_4.png,3,{name=effect_loop;res=townyiji/bingqie2.skel},{x=548;y=179}
105,2.8,city/town/map/building/25_4.png,3,{name=effect_loop;res=townyiji/bingqie1.skel},{x=190;y=214}
106,2.9,city/town/map/building/25_4.png,3.2,{name=effect_loop;res=townyiji/zuanshiyusanjia1.skel},{x=400;y=230}
107,2.8,city/town/map/building/25_5.png,3,{name=effect_loop;res=townyiji/bingqie2.skel},{x=648;y=175}
108,2.8,city/town/map/building/25_5.png,3,{name=effect_loop;res=townyiji/bingqie1.skel},{x=168;y=252}
109,2.9,city/town/map/building/25_5.png,3.2,{name=effect_loop;res=townyiji/zuanshiyusanjia1.skel},{x=515;y=230}
110,2.3,city/town/map/building/25_5.png,2.5,{name=effect_loop;res=townyiji/zuanshiyusanjia2.skel},{x=432;y=150}
111,2.8,city/town/map/building/25_6.png,3,{name=effect_loop;res=townyiji/bingqie2.skel},{x=700;y=182}
112,2.8,city/town/map/building/25_6.png,3,{name=effect_loop;res=townyiji/bingqie1.skel},{x=215;y=258}
113,2.9,city/town/map/building/25_6.png,3.2,{name=effect_loop;res=townyiji/zuanshiyusanjia1.skel},{x=562;y=237}
114,2.3,city/town/map/building/25_6.png,2.5,{name=effect_loop;res=townyiji/zuanshiyusanjia2.skel},{x=480;y=158}
115,2.3,city/town/map/building/25_6.png,2.7,{name=effect_loop;res=townyiji/michunjie2.skel},{x=394;y=364}
116,3.2,city/town/map/building/25_7.png,3.4,{name=effect_loop;res=townyiji/bingqie2.skel},{x=700;y=107}
117,2.8,city/town/map/building/25_7.png,3,{name=effect_loop;res=townyiji/bingqie1.skel},{x=215;y=258}
118,3,city/town/map/building/25_7.png,3.2,{name=effect_loop;res=townyiji/zuanshiyusanjia1.skel},{x=555;y=237}
