变量名,energyCost2,actionCost1,energyCost3,exploreValue2,energyCost1,actionCost3,exploreValue3,timeCost2,actionCost2,timeCost1,areaType,timeCost3,exploreValue1,stage,normalRewards1,randomRewards1,showRewads1,extraNormalRewards1,extraRandomRewards1,extrashowRewads1,normalRewards2,randomRewards2,showRewads2,extraNormalRewards2,extraRandomRewards2,extrashowRewads2,normalRewards3,randomRewards3,showRewads3,extraNormalRewards3,extraRandomRewards3,extrashowRewads3
默认值,0,0,0,0,0,0,0,0,0,0,0,0,0,<>,{},{},{},{},{},<>,{},{},{},{},{},<>,{},{},{},{},{},<>
ID,能量消耗2,行动消耗1,能量消耗3,探索值2,能量消耗1,行动消耗3,探索值3,时间消耗2(秒),行动消耗2,时间消耗1(秒),区域类型,时间消耗3(秒),探索值1,阶段<min;max>,普通奖励1,随机奖励1,显示奖励1,额外普通奖励1,额外随机奖励1,额外显示奖励1,普通奖励2,随机奖励2,显示奖励2,额外普通奖励2,额外随机奖励2,额外显示奖励2,普通奖励3,随机奖励3,显示奖励3,额外普通奖励3,额外随机奖励3,额外显示奖励3
1,120,1200,200,12,60,3600,20,43200,2400,21600,1,72000,6,<0;1>,{5000=3;gold=30000;role_exp=6},{1001=1;1021=1;1041=1},{8802=0;8803=0},{gold=10000},{1021=1;1041=1;2001=1},<>,{5000=6;gold=60000;role_exp=12},{1001=2;1021=2;1041=2},{8802=0;8803=0},{gold=20000},{1021=2;1041=2;2001=2},<>,{5000=10;gold=100000;role_exp=20},{1001=3;1021=3;1041=3},{8802=0;8803=0},{gold=30000},{1021=3;1041=3;2001=3},<>
2,120,1200,200,12,60,3600,20,43200,2400,21600,1,72000,6,<1;2>,{5000=3;gold=35000;role_exp=6},{1001=1;1021=1;1041=1},{8802=0;8803=0},{gold=10000},{1021=1;1041=1;2001=1},<>,{5000=6;gold=70000;role_exp=12},{1001=2;1021=2;1041=2},{8802=0;8803=0},{gold=20000},{1021=2;1041=2;2001=2},<>,{5000=10;gold=120000;role_exp=20},{1001=3;1021=3;1041=3},{8802=0;8803=0},{gold=30000},{1021=3;1041=3;2001=3},<>
3,120,1200,200,12,60,3600,20,43200,2400,21600,1,72000,6,<2;3>,{5000=3;gold=40000;role_exp=6},{1001=1;1021=1;1041=1},{8802=0;8803=0},{gold=10000},{1021=1;1041=1;2001=1},<>,{5000=6;gold=80000;role_exp=12},{1001=2;1021=2;1041=2},{8802=0;8803=0},{gold=20000},{1021=2;1041=2;2001=2},<>,{5000=10;gold=140000;role_exp=20},{1001=3;1021=3;1041=3},{8802=0;8803=0},{gold=30000},{1021=3;1041=3;2001=3},<>
4,120,1200,200,12,60,3600,20,43200,2400,21600,1,72000,6,<3;4>,{5000=3;gold=45000;role_exp=6},{1001=1;1021=1;1041=1},{8802=0;8803=0},{gold=10000},{1021=1;1041=1;2001=1},<>,{5000=6;gold=90000;role_exp=12},{1001=2;1021=2;1041=2},{8802=0;8803=0},{gold=20000},{1021=2;1041=2;2001=2},<>,{5000=10;gold=160000;role_exp=20},{1001=3;1021=3;1041=3},{8802=0;8803=0},{gold=30000},{1021=3;1041=3;2001=3},<>
5,120,1200,200,12,60,3600,20,43200,2400,21600,1,72000,6,<4;5>,{5000=3;gold=50000;role_exp=6},{1001=1;1021=1;1041=1},{8802=0;8803=0},{gold=10000},{1021=1;1041=1;2001=1},<>,{5000=6;gold=100000;role_exp=12},{1001=2;1021=2;1041=2},{8802=0;8803=0},{gold=20000},{1021=2;1041=2;2001=2},<>,{5000=10;gold=180000;role_exp=20},{1001=3;1021=3;1041=3},{8802=0;8803=0},{gold=30000},{1021=3;1041=3;2001=3},<>
6,120,1200,200,12,60,3600,20,43200,2400,21600,1,72000,6,<5;26>,{5000=3;gold=60000;role_exp=6},{1001=1;1021=1;1041=1},{8802=0;8803=0},{gold=10000},{1021=1;1041=1;2001=1},<>,{5000=6;gold=120000;role_exp=12},{1001=2;1021=2;1041=2},{8802=0;8803=0},{gold=20000},{1021=2;1041=2;2001=2},<>,{5000=10;gold=200000;role_exp=20},{1001=3;1021=3;1041=3},{8802=0;8803=0},{gold=30000},{1021=3;1041=3;2001=3},<>
101,120,1200,200,12,60,3600,20,43200,2400,21600,2,72000,6,<0;1>,{5000=3;gold=30000;role_exp=6},{1101=1;1121=1;1141=1},{8802=0;8803=0},{gold=10000},{1121=1;1141=1;2101=1},<>,{5000=6;gold=60000;role_exp=12},{1101=2;1121=2;1141=2},{8802=0;8803=0},{gold=20000},{1121=2;1141=2;2101=2},<>,{5000=10;gold=100000;role_exp=20},{1101=3;1121=3;1141=3},{8802=0;8803=0},{gold=30000},{1121=3;1141=3;2101=3},<>
102,120,1200,200,12,60,3600,20,43200,2400,21600,2,72000,6,<1;2>,{5000=3;gold=35000;role_exp=6},{1101=1;1121=1;1141=1},{8802=0;8803=0},{gold=10000},{1121=1;1141=1;2101=1},<>,{5000=6;gold=70000;role_exp=12},{1101=2;1121=2;1141=2},{8802=0;8803=0},{gold=20000},{1121=2;1141=2;2101=2},<>,{5000=10;gold=120000;role_exp=20},{1101=3;1121=3;1141=3},{8802=0;8803=0},{gold=30000},{1121=3;1141=3;2101=3},<>
103,120,1200,200,12,60,3600,20,43200,2400,21600,2,72000,6,<2;3>,{5000=3;gold=40000;role_exp=6},{1101=1;1121=1;1141=1},{8802=0;8803=0},{gold=10000},{1121=1;1141=1;2101=1},<>,{5000=6;gold=80000;role_exp=12},{1101=2;1121=2;1141=2},{8802=0;8803=0},{gold=20000},{1121=2;1141=2;2101=2},<>,{5000=10;gold=140000;role_exp=20},{1101=3;1121=3;1141=3},{8802=0;8803=0},{gold=30000},{1121=3;1141=3;2101=3},<>
104,120,1200,200,12,60,3600,20,43200,2400,21600,2,72000,6,<3;4>,{5000=3;gold=45000;role_exp=6},{1101=1;1121=1;1141=1},{8802=0;8803=0},{gold=10000},{1121=1;1141=1;2101=1},<>,{5000=6;gold=90000;role_exp=12},{1101=2;1121=2;1141=2},{8802=0;8803=0},{gold=20000},{1121=2;1141=2;2101=2},<>,{5000=10;gold=160000;role_exp=20},{1101=3;1121=3;1141=3},{8802=0;8803=0},{gold=30000},{1121=3;1141=3;2101=3},<>
105,120,1200,200,12,60,3600,20,43200,2400,21600,2,72000,6,<4;5>,{5000=3;gold=50000;role_exp=6},{1101=1;1121=1;1141=1},{8802=0;8803=0},{gold=10000},{1121=1;1141=1;2101=1},<>,{5000=6;gold=100000;role_exp=12},{1101=2;1121=2;1141=2},{8802=0;8803=0},{gold=20000},{1121=2;1141=2;2101=2},<>,{5000=10;gold=180000;role_exp=20},{1101=3;1121=3;1141=3},{8802=0;8803=0},{gold=30000},{1121=3;1141=3;2101=3},<>
106,120,1200,200,12,60,3600,20,43200,2400,21600,2,72000,6,<5;26>,{5000=3;gold=60000;role_exp=6},{1101=1;1121=1;1141=1},{8802=0;8803=0},{gold=10000},{1121=1;1141=1;2101=1},<>,{5000=6;gold=120000;role_exp=12},{1101=2;1121=2;1141=2},{8802=0;8803=0},{gold=20000},{1121=2;1141=2;2101=2},<>,{5000=10;gold=200000;role_exp=20},{1101=3;1121=3;1141=3},{8802=0;8803=0},{gold=30000},{1121=3;1141=3;2101=3},<>
201,120,1200,200,12,60,3600,20,43200,2400,21600,3,72000,6,<0;1>,{5000=3;gold=30000;role_exp=6},{1201=1;1221=1;1241=1},{8802=0;8803=0},{gold=10000},{1221=1;1241=1;2201=1},<>,{5000=6;gold=60000;role_exp=12},{1201=2;1221=2;1241=2},{8802=0;8803=0},{gold=20000},{1221=2;1241=2;2201=2},<>,{5000=10;gold=100000;role_exp=20},{1201=3;1221=3;1241=3},{8802=0;8803=0},{gold=30000},{1221=3;1241=3;2201=3},<>
202,120,1200,200,12,60,3600,20,43200,2400,21600,3,72000,6,<1;2>,{5000=3;gold=35000;role_exp=6},{1201=1;1221=1;1241=1},{8802=0;8803=0},{gold=10000},{1221=1;1241=1;2201=1},<>,{5000=6;gold=70000;role_exp=12},{1201=2;1221=2;1241=2},{8802=0;8803=0},{gold=20000},{1221=2;1241=2;2201=2},<>,{5000=10;gold=120000;role_exp=20},{1201=3;1221=3;1241=3},{8802=0;8803=0},{gold=30000},{1221=3;1241=3;2201=3},<>
203,120,1200,200,12,60,3600,20,43200,2400,21600,3,72000,6,<2;3>,{5000=3;gold=40000;role_exp=6},{1201=1;1221=1;1241=1},{8802=0;8803=0},{gold=10000},{1221=1;1241=1;2201=1},<>,{5000=6;gold=80000;role_exp=12},{1201=2;1221=2;1241=2},{8802=0;8803=0},{gold=20000},{1221=2;1241=2;2201=2},<>,{5000=10;gold=140000;role_exp=20},{1201=3;1221=3;1241=3},{8802=0;8803=0},{gold=30000},{1221=3;1241=3;2201=3},<>
204,120,1200,200,12,60,3600,20,43200,2400,21600,3,72000,6,<3;4>,{5000=3;gold=45000;role_exp=6},{1201=1;1221=1;1241=1},{8802=0;8803=0},{gold=10000},{1221=1;1241=1;2201=1},<>,{5000=6;gold=90000;role_exp=12},{1201=2;1221=2;1241=2},{8802=0;8803=0},{gold=20000},{1221=2;1241=2;2201=2},<>,{5000=10;gold=160000;role_exp=20},{1201=3;1221=3;1241=3},{8802=0;8803=0},{gold=30000},{1221=3;1241=3;2201=3},<>
205,120,1200,200,12,60,3600,20,43200,2400,21600,3,72000,6,<4;5>,{5000=3;gold=50000;role_exp=6},{1201=1;1221=1;1241=1},{8802=0;8803=0},{gold=10000},{1221=1;1241=1;2201=1},<>,{5000=6;gold=100000;role_exp=12},{1201=2;1221=2;1241=2},{8802=0;8803=0},{gold=20000},{1221=2;1241=2;2201=2},<>,{5000=10;gold=180000;role_exp=20},{1201=3;1221=3;1241=3},{8802=0;8803=0},{gold=30000},{1221=3;1241=3;2201=3},<>
206,120,1200,200,12,60,3600,20,43200,2400,21600,3,72000,6,<5;26>,{5000=3;gold=60000;role_exp=6},{1201=1;1221=1;1241=1},{8802=0;8803=0},{gold=10000},{1221=1;1241=1;2201=1},<>,{5000=6;gold=120000;role_exp=12},{1201=2;1221=2;1241=2},{8802=0;8803=0},{gold=20000},{1221=2;1241=2;2201=2},<>,{5000=10;gold=200000;role_exp=20},{1201=3;1221=3;1241=3},{8802=0;8803=0},{gold=30000},{1221=3;1241=3;2201=3},<>
301,120,1200,200,12,60,3600,20,43200,2400,21600,4,72000,6,<0;1>,{5000=3;gold=30000;role_exp=6},{1301=1;1321=1;1341=1},{8802=0;8803=0},{gold=10000},{1321=1;1341=1;2301=1},<>,{5000=6;gold=60000;role_exp=12},{1301=2;1321=2;1341=2},{8802=0;8803=0},{gold=20000},{1321=2;1341=2;2301=2},<>,{5000=10;gold=100000;role_exp=20},{1301=3;1321=3;1341=3},{8802=0;8803=0},{gold=30000},{1321=3;1341=3;2301=3},<>
302,120,1200,200,12,60,3600,20,43200,2400,21600,4,72000,6,<1;2>,{5000=3;gold=35000;role_exp=6},{1301=1;1321=1;1341=1},{8802=0;8803=0},{gold=10000},{1321=1;1341=1;2301=1},<>,{5000=6;gold=70000;role_exp=12},{1301=2;1321=2;1341=2},{8802=0;8803=0},{gold=20000},{1321=2;1341=2;2301=2},<>,{5000=10;gold=120000;role_exp=20},{1301=3;1321=3;1341=3},{8802=0;8803=0},{gold=30000},{1321=3;1341=3;2301=3},<>
303,120,1200,200,12,60,3600,20,43200,2400,21600,4,72000,6,<2;3>,{5000=3;gold=40000;role_exp=6},{1301=1;1321=1;1341=1},{8802=0;8803=0},{gold=10000},{1321=1;1341=1;2301=1},<>,{5000=6;gold=80000;role_exp=12},{1301=2;1321=2;1341=2},{8802=0;8803=0},{gold=20000},{1321=2;1341=2;2301=2},<>,{5000=10;gold=140000;role_exp=20},{1301=3;1321=3;1341=3},{8802=0;8803=0},{gold=30000},{1321=3;1341=3;2301=3},<>
304,120,1200,200,12,60,3600,20,43200,2400,21600,4,72000,6,<3;4>,{5000=3;gold=45000;role_exp=6},{1301=1;1321=1;1341=1},{8802=0;8803=0},{gold=10000},{1321=1;1341=1;2301=1},<>,{5000=6;gold=90000;role_exp=12},{1301=2;1321=2;1341=2},{8802=0;8803=0},{gold=20000},{1321=2;1341=2;2301=2},<>,{5000=10;gold=160000;role_exp=20},{1301=3;1321=3;1341=3},{8802=0;8803=0},{gold=30000},{1321=3;1341=3;2301=3},<>
305,120,1200,200,12,60,3600,20,43200,2400,21600,4,72000,6,<4;5>,{5000=3;gold=50000;role_exp=6},{1301=1;1321=1;1341=1},{8802=0;8803=0},{gold=10000},{1321=1;1341=1;2301=1},<>,{5000=6;gold=100000;role_exp=12},{1301=2;1321=2;1341=2},{8802=0;8803=0},{gold=20000},{1321=2;1341=2;2301=2},<>,{5000=10;gold=180000;role_exp=20},{1301=3;1321=3;1341=3},{8802=0;8803=0},{gold=30000},{1321=3;1341=3;2301=3},<>
306,120,1200,200,12,60,3600,20,43200,2400,21600,4,72000,6,<5;26>,{5000=3;gold=60000;role_exp=6},{1301=1;1321=1;1341=1},{8802=0;8803=0},{gold=10000},{1321=1;1341=1;2301=1},<>,{5000=6;gold=120000;role_exp=12},{1301=2;1321=2;1341=2},{8802=0;8803=0},{gold=20000},{1321=2;1341=2;2301=2},<>,{5000=10;gold=200000;role_exp=20},{1301=3;1321=3;1341=3},{8802=0;8803=0},{gold=30000},{1321=3;1341=3;2301=3},<>
