变量名,title,desc,unlockFeature,type,sortIndex,flag,nameRes,lockbg1,unionFeature,serverDayInfo,goto
默认值,"""""","""""","""""","""""",0,0,"""""","""""","""""",,""""""
ID,功能名,功能描述,功能key（由对应unlock控制功能开放状态）,系统类型，属于pvp or pve,排序优先级（小的在前）,该配置是否有效（0有效;1无效）,标题资源路径,显示背景,公会等级需求（union_level 表openFeature字段）,开服天数需求,跳转字段
1,奖励副本,,activityGate,pve,1,,,city/adventure/activityselect/img_rcfb@.png,,,activityGate
2,冒险之路,,endlessTower,pve,2,,,city/adventure/activityselect/img_wxtz@.png,,,endlessTower
3,派遣任务,,dispatchTask,pve,3,,,city/adventure/activityselect/img_pq@.png,,,dispatchTask
4,以太乐园,,randomTower,pve,5,,,city/adventure/activityselect/img_ytly@.png,,,randomTower
5,元素挑战,,cloneBattle,pve,4,,,city/adventure/activityselect/img_ystz@.png,,,cloneBattle
6,钓鱼,,fishing,pve,6,,,city/adventure/activityselect/img_dy@.png,,,fishing
7,道馆挑战,,gym,pve,7,,,city/adventure/activityselect/img_dgtz.png,,,gymChallenge
8,狩猎地带,,hunting,pve,8,,,city/adventure/activityselect/img_sldd@.png,,,hunting
9,宝可梦挑战,,normalBraveChallenge,pve,9,,,city/adventure/activityselect/img_bkmtz@.png,,,normalBraveChallenge
10,拟态对战,,mimicry,pve,10,,,city/adventure/activityselect/img_ntdz@.png,,,mimicry
11,卡牌冒险,,autoChess,pve,11,,,city/adventure/activityselect/img_kpmx@.png,,,autoChess
12,幻海星途,,randomMaze,pve,12,,,city/adventure/activityselect/img_hhxt@.png,,,randomMaze
101,竞技场,,arena,pvp,1,,,city/pvp/img_jjc.png,,,arena
102,公会战,,unionFight,pvp,3,,,city/pvp/img_ghz.png,unionFight,{funcType=less;sevCsv=csv.union_fight.base[1].servOpenDays},unionFight
103,石英大会,,craft,pvp,2,,,city/pvp/img_sydh.png,,{funcType=less;sevCsv=csv.craft.base[1].servOpenDays},craft
104,跨服石英,,crossCraft,pvp,4,,,city/pvp/img_kfsydh.png,,{funcType=less;sevCsv=csv.cross.craft.base[1].servOpenDays},crossCraft
105,跨服竞技场,,crossArena,pvp,5,,,city/pvp/img_kfjjc.png,,{funcType=less;sevCsv=csv.cross.arena.base[1].servOpenDays},crossArena
106,对战竞技场,,onlineFight,pvp,6,,,city/pvp/img_dzjjc.png,,{funcType=less;sevCsv=csv.cross.online_fight.base[1].servOpenDays},onlineFight
107,跨服商业街,,crossMine,pvp,7,,,city/pvp/img_kfzyz.png,,{funcType=less;sevCsv=csv.cross.mine.base[1].servOpenDays},crossMine
108,世界锦标赛,,crossSupremacy,pvp,8,,,city/pvp/img_sjjbs.png,,{funcType=less;sevCsv=csv.cross.supremacy.base[1].servOpenDays},crossSupremacy
109,疾影驰斗,,crossUnionAdventure,pvp,9,,,city/pvp/img_jycd.png,,{funcType=less;sevCsv=csv.cross.union_adventure.base[1].servOpenDays},crossUnionAdventure
110,帷幕马戏团,,crossCircus,pvp,10,,,city/pvp/img_wmmxt.png,,{funcType=less;sevCsv=csv.cross.circus.base[1].servOpenDays},crossCircus
111,卡牌对决,,onlineAutoChess,pvp,11,,,city/pvp/img_kpdj.png,,,onlineAutoChess
112,极巨巅峰,,crossArenaPeak,pvp,12,,,city/pvp/img_jjdf.png,,{funcType=less;sevCsv=csv.cross.arena_peak.base[1].servOpenDays},crossArenaPeak
