变量名,name,languages,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,unlock,unlockDesc,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,overture,offPos,chattext1,chattext2,chattext3,crossArenaPos,__version
默认值,"""""",<cn;tw;en;vn;th;kr;en_us;en_eu>,"""""","""""","""""","""""","""""","""""","""""",12,"""""",1,0,{x=1750;y=436},{x=0;y=0},"""""",{},"""""","""""",,0,0,"""""",0,0,"""""",0,0,"""""",<>,<>,0,TRUE,{x=160;y=-50},"""""","""""","""""",{x=0;y=0},
ID,名字,语言区域,在列表中的显示,资源路径,战斗姿态,spine资源路径,跨服商业街的spine资源路径,Q版人物形象资源,Q版人物特效,层级,背景路径,分类（1普通2稀有）,同类型中的排序优先级(越大越优先),主角位置,战斗姿态资源位置偏移（针对战斗前动画界面）,描述,解锁条件格式 {条件=数值} 1=等级 2=关卡 5=VIP等级 6=战力 44=竞技场排名 79=训练家等级,解锁条件描述,无解锁条件和消耗且未获取时的描述,激活消耗,自然属性卡牌加成(0表示全部),属性类型1,属性数值1,自然属性卡牌加成(0表示全部),属性类型2,属性数值2,自然属性卡牌加成(0表示全部),属性类型3,属性数值3,解锁技能,技能激活对应role等级,隐藏显示（0为显示）,对话气泡是否需要翻转,对话框的位置偏移,对话内容1,对话内容2,对话内容3,跨服竞技场位置偏移值,__version
1,小智,,config/portrait/toptouxiang/img_role_1@.png,config/big_role/show/img_role_1@.png,config/big_role/show/img_role_1@.png,figure/xiaozhi/xiaozhi.skel,,config/portrait/qbanrenwu/img_role_1.png,qbanrole/q_xiaozhi.skel,,personal/img_bjt.png,,900,,,来自真新镇的训练家，目标是神奇宝贝大师,{1=10},等级到达10级后可解锁,,{gold=30000},,1,220,,9,26,,,,<>,<>,,,,我一定会成为神奇宝贝大师的！,去吧！皮卡丘！就决定是你了！,攻击是最大的防御！,{x=-50;y=0},
2,小霞,,config/portrait/toptouxiang/img_role_2@.png,config/big_role/show/img_role_2@.png,config/big_role/show/img_role_2@.png,figure/xiaoxia/xiaoxia.skel,,config/portrait/qbanrenwu/img_role_2.png,qbanrole/q_xiaoxia.skel,,personal/img_bjt1.png,,800,,,华蓝道馆馆主，水属性精灵的专家,{1=10},等级到达10级后可解锁,,{gold=30000},,1,220,,10,26,,,,<>,<>,,,,是用水属性宝可梦进攻进攻进攻……一个劲儿地进攻！,等我什么时候变得足够强了，我一定要再次出门旅行哟！,这里的海滩好浪漫，我喜欢这里~,{x=-10;y=0},
3,拉普,,config/portrait/toptouxiang/img_role_3@.png,config/big_role/show/img_role_3@.png,config/big_role/act/img_role_3@.png,figure/lapu/lapu.skel,,config/portrait/qbanrenwu/img_role_3.png,qbanrole/q_lapu.skel,,personal/img_bjt.png,,500,,,"骷髅队的手下,常跟伙伴达帕和吉普出现",{1=45},等级到达45级后可解锁,,{rmb=380},,1,1200,,10,60,,,,<>,<>,,,,既然你诚心…哦，不好意思，看错台词了,诸岛巡礼？那是什么，好吃么？,实力，我们有老大就行了！,{x=0;y=0},
4,布尔美丽,<cn;kr;en;tw;en_eu;en_us>,config/portrait/toptouxiang/img_role_4@.png,config/big_role/show/img_role_4@.png,config/big_role/act/img_role_4@.png,figure/buermeili/buermeili.skel,,config/portrait/qbanrenwu/img_role_4.png,qbanrole/q_buermeili.skel,,personal/img_bjt.png,2,700,,,骷髅队干部,{1=1},特殊活动投放,,{2204=1},,7,1%,,8,1%,,,,<70001>,<1>,,,,切，真麻烦，我揍你哦！,哈，这点小事都办不好，你闪开，我来！,我负责统领骷髅队……也就是他们的大姐头。如你所知，这班家伙都笨得要命。,{x=-20;y=0},
5,露美旦,,config/portrait/toptouxiang/img_role_5@.png,config/big_role/show/img_role_5@.png,config/big_role/act/img_role_5@.png,figure/lumeidan/lumeidan.skel,,config/portrait/qbanrenwu/img_role_5.png,qbanrole/lmd.skel,,personal/img_bjt.png,2,600,,,对战宅第的对战女城主之一，四姊妹中的长女,{1=1},竞技场内兑换获得,,{2205=1},,7,1%,,14,100,,,,<70002>,<1>,,,,要来一场愉快的对战么？,我喜欢与各种各样的挑战者进行轮盘对战,兰昼妮的性子有点好胜，有点担心啊,{x=-35;y=0},
6,梅雅利,<cn;kr;en;tw;en_eu;en_us>,config/portrait/toptouxiang/img_role_6@.png,config/big_role/show/img_role_6@.png,config/big_role/act/img_role_6@.png,figure/meiyali/meiyali.skel,,config/portrait/qbanrenwu/img_role_6.png,qbanrole/q_meiyali.skel,,personal/img_bjt.png,2,100,,,照顾幻之神奇宝贝胡帕的少女。在创世之谷与胡帕一同成长。,{1=1},特殊活动投放,,{2244=1},,10,1%,,10,120,,,,<70031>,<1>,,,,我是梅雅利，在负责照顾胡帕,胡帕，加油啊！惩戒什么的，都让他过去吧！,太好了，胡帕，你终于可以自己穿过环了！,{x=20;y=0},
7,三色堇,,config/portrait/toptouxiang/img_role_7@.png,config/big_role/show/img_role_7@.png,config/big_role/show/img_role_7@.png,figure/sansejin/sansejin.skel,,config/portrait/qbanrenwu/img_role_7.png,qbanrole/q_sansejin.skel,,personal/img_bjt.png,,600,,,来自密阿雷市的记者，紫罗兰的姐姐,{1=30},等级到达30级后可解锁,,{rmb=280},,1,900,,9,45,,,,<>,<1>,,,,作为记者，当然是全天24小时都在取材！,你也对果实岛传统收获祭典感兴趣嘛，那真是太好了,并不是所有的信息都是可以报导的哦，人都有点小秘密,{x=0;y=0},
8,紫罗兰,<cn;kr;tw;en;en_us;en_eu>,config/portrait/toptouxiang/img_role_8@.png,config/big_role/show/img_role_8@.png,config/big_role/show/img_role_8@.png,figure/ziluolan/ziluolan.skel,,config/portrait/qbanrenwu/img_role_8.png,qbanrole/ziluolan.skel,,personal/img_bjt.png,2,400,,,卡洛斯地区白檀市白檀道馆道馆馆主，专长为虫属性宝可梦,{1=1},跨服石英大会内兑换获得,,{2208=1},,15,200,,,,,,,<70014>,<1>,,,,我喜欢拍下一切值得拍摄的东西,就让我来拍下你最闪亮的一刻吧！,获胜的秘诀？那就是充满自信！,{x=-55;y=0},
