变量名,name,_desc,value,valueArray,languages
默认值,"""""","""""",0,<>,<cn;tw;en;en_us;en_eu;vn;th;kr>
ID,默认值,本字段专供策划参考,默认值,默认值,默认值
1,drawCardCostPrice,,200,,
2,draw10CardCostPrice,,1800,,
3,drawGoldCostPrice,,20000,,
4,draw10GoldCostPrice,,180000,,
5,drawGoldFreeLimit,,5,,
6,drawGoldFreeRefreshDuration,,600,,
7,dropEquipStarNeedRmb,,30,,
8,trainerAttrSkillsResetRMB,,200,,
9,heldItemExpNeedGold,,50,,
10,effortSwapCostRmb,,100,,
11,nvalueSwapCostRmb,,100,,
12,characterSwapCostRmb,,100,,
13,dispatchTaskRefreshCostRMB,,10,,
14,dispatchTaskDoneAtOnceCostRMB,,2,,
15,dispatchTaskDoneAtOnceSecond,,300,,
16,staminaBuyRecover,,120,,
17,cardBagCapacity,,150,,
18,cardBagCapacityIncrease,,10,,
19,unionTrainingSpeedUpGold,,20000,,
20,cardRenameRMBCost,,20,,
21,unionRenameRMBCost,,500,,
22,unionCreateRMBCost,,300,,
23,stashCardMailCountMax,,50,,
24,rebirthRetrunProportion1,,1,,
25,rebirthRetrunProportion2,,1,,
26,rebirthRetrunProportion3,,1,,
27,rebirthRMBCostLimit,,100,,
28,heldItemRebirthRMBCostLimit,,50,,
29,rebirthRMBCostByGold,,20000,,
30,citySpriteBaibianProbability,,10,,
31,citySpriteBaibianCD,,600,,
32,citySpriteBaibianPeriodDay,,3,,
33,citySpriteBaibianTimeMax,,1,,
34,citySpriteMiniQProbability,,10,,
35,citySpriteMiniQCD,,600,,
36,citySpriteMiniQPeriodDay,,1,,
37,citySpriteMiniQTimeMax,,1,,
38,citySpriteMax,,20,,
39,drawItemCostPrice,,160,,
40,draw5ItemCostPrice,,680,,
41,unionCreateNeedVip,,,,
42,talentResetCost,,80,,
43,drawEquipCostPrice,,80,,
44,draw10EquipCostPrice,,680,,
45,cardRebirthRMBCostMin,,20,,
46,heldItemRebirthRMBCostMin,,20,,
47,unionRobRedpacketDailyLimit,,40,,
48,newbieUnionQuitProtectDays,,2,,
49,randomTowerBoxLimit1,,,,
50,randomTowerBoxLimit2,,5,,
51,craftBetNormalGold,,60000,,
52,craftBetAdvanceGold,,200000,,
53,shareTimesLimit,,5,,
54,equipShopRefreshDays,,5,,
55,universalFragGeneral,,502,,
56,universalFragSpecial,,521,,
57,universalFragSwitch,,3,,
58,cloneRobotTime,,120,,
59,cloneRobotRefreshTime,,360,,
60,dropEquipAwakeNeedRmb,,30,,
61,rebirthRetrunProportion4,,1,,
62,unionFragDonateTimes,,3,,
63,unionFragDonateSingleMaxTimes,,1,,
64,unionFightBetNormalGold,,60000,,
65,unionFightBetAdvanceGold,,200000,,
66,unionFightLastWinRolePoint,,10,,
67,rebirthRetrunProportion5,,1,,
68,skillPointLimitMax,,2000,,
69,autoSilentDuration,,3600,,
70,autoSilentSameNum,,7,,
71,chatSilent,,,,
72,unionCreateNeedGateStar,,35,,
73,gemRebirthRetrunProportion,,1,,
74,gemRebirthRMBCostLimit,,10,,
75,unionFubenMaxDamageMultiple,,8000,,
76,cardStarSkillResetCostRMB,,100,,
77,endlessCheatSilent,,10800,,
78,gemRebirthRMBCostMin,,,,
79,drawGemCostPrice,,98,,
80,draw10GemCostPrice,,880,,
81,drawGemGoldCostPrice,,60000,,
82,draw10GemGoldCostPrice,,500000,,
83,pvpPassCostRmb,,30,,
84,worldBossMaxDamageMultiple,,8000,,
85,feelSwapCostRmb,,100,,
86,rebirthRetrunProportion6,,1,,
87,fishingDailyTimes,,20,,
88,crossArenaPassCostRmb,,30,,
89,fishingLowestWaitTimes,,3,,
90,megaCommonConvertTimes,,10,,
91,megaConvertTimes,,10,,
92,fishingAutoDuration,,120,,
93,gymBattleTimes,,10,,
94,gymAutoRecoverPoints,,50,,
95,gymTalentResetCost,,100,,
