变量名,name,icon,languages,unlockDesc,type,isShow,__version
默认值,"""""",,<cn;tw;en;vn;th;kr;en_us;en_eu>,特殊途径解锁,1,TRUE,
ID,名字,头像框（支持spine）,语言区域,解锁条件,新增,新增,__version
1,默认头像框,config/portrait/frame/box_head_default.png,<cn;tw;en;vn;th;kr;en_us;en_eu>,,,,
2,黄金训练师,config/portrait/frame/icon_lv50.png,,,2,,
100,草苗龟,config/portrait/frame/icon_cmg@.png,,,,,
101,莲叶童子,config/portrait/frame/icon_lytz@.png,,,,,
102,皮卡丘,config/portrait/frame/icon_pkq@.png,,,,,
103,火焰鸡,config/portrait/frame/icon_hyj@.png,,,,,
104,甲贺忍蛙,config/portrait/frame/icon_jhrw@.png,,,,,
200,超梦,frame/touxiangkuang_cm.skel,,,,,
201,凤王,frame/touxiangkuang_fw.skel,,,,,
202,洛奇亚,frame/lqy_txk.skel,,,,,
203,裂空座,frame/liekongzuo_touxiang.skel,,,,,
204,盖欧卡,frame/gok_txk.skel,,,,,
205,达克莱伊,frame/txk_dkly.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
206,雷吉奇卡斯,frame/txk_ljqks.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
207,帝牙卢卡,frame/txk_dylk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
208,帕路奇亚,frame/plqy_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
209,骑拉帝纳,frame/guilong_toux.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
210,谢米,frame/xiemi_touxiang.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
211,惩戒胡帕,frame/hupa_touxiang.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
212,莱希拉姆,frame/lxlm_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
213,捷克罗姆,frame/heilong_kuang.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
214,酋雷姆,frame/qiuleimu_tou.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
215,超级裂空座,frame/liekong_mage_tou.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
216,美洛耶塔·歌声,frame/meiluoyeta_gs.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
217,美洛耶塔·舞步,frame/meiluoyeta_wb.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
218,基拉祈,frame/jlq_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
219,美录梅塔,frame/mlmt_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
220,伊裴尔塔尔,frame/yshen_tou.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
221,时拉比,frame/xlb_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
222,盖诺赛克特,frame/gnskt_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
223,哲尔尼亚斯,frame/x_touxiang.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
224,原始固拉多,frame/guladuomega.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
225,捷拉奥拉,frame/jlal_tx.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
226,比克提尼,frame/bktn_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
227,基格尔德,frame/z_tou.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
228,玛夏多,frame/maxiaduo_kuang.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
229,玛纳霏,frame/txk_mnf.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
230,原始盖欧卡,frame/goktxmegamega.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
231,索尔迦雷欧,frame/suoerjialeiou_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
232,小智版甲贺忍蛙,frame/zhiwa_tou.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
233,玛机雅娜,frame/majiyanatouxiang.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
234,波尔凯尼恩,frame/brknrtxk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
235,露奈雅拉,frame/lunaiyala_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
236,闪光超级耿鬼,frame/sgggtxk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
237,超级蒂安希,frame/dianxi_mega_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
238,闪光超级班基拉斯,frame/sgbjltxk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
239,奈克洛兹玛,frame/naikeluozima_tou.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
240,起源梦幻,frame/qymh_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
241,闪光超级沙奈朵,frame/sgcjsnd_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
242,藏玛然特,frame/zmrt_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
243,超级超梦X,frame/cjcmx_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
244,闪光超级艾路雷朵,frame/sgcjalld_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
245,凯路迪欧·觉悟,frame/kldo_tou.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
246,苍响,frame/cx_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
247,萨戮德,frame/salude_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
248,大吾超级巨金怪,frame/txk_sgjjg.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
249,超级超梦Y,frame/cmy_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
250,蕾冠王·黑马,frame/lgwhm_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
251,竹兰超级烈咬陆鲨,frame/bzcjlyls_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
252,闪光超级路卡利欧,frame/sglklo_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
253,蕾冠王·白马,frame/lgwbm_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
254,艾岚超级喷火龙X,frame/penghuolong_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
255,焰白酋雷姆,frame/ybqlmtxk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
256,闪光超级暴雪王,frame/sgcjbxw_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
257,无极汰那,frame/touxiang_wujitaina.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
258,假面超级火焰鸡,frame/jmhyj_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
259,闪光超级蜥蜴王,frame/touxiang_sgcjxyw.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
260,闪光超级妙蛙花,frame/miaowahua_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
261,密勒顿,frame/mld_txk.skel,<cn;kr;tw;en_us>,,,,
262,暗黑酋雷姆,frame/txk_ahqlm.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
263,冠军皮卡丘,frame/gjpkq_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,,,
264,小刚超级大钢蛇,frame/cjdgs_txk.skel,<cn;kr;tw;en_us>,,,,
265,故勒顿,frame/guledun_txk.skel,<cn;tw;en_us;kr>,,,,
266,希嘉娜超级暴飞龙,frame/cjbaofeilong_tou.skel,<cn;tw;en_us;kr>,,,,
267,红色闪电超级巨钳螳螂,frame/sgcjjqtl_txk.skel,<cn;tw;en_us;kr>,,,,
268,黄昏之鬃,frame/hhzz_txk.skel,<cn;tw;en_us>,,,,
269,帝牙卢卡·起源,frame/dylkqy_txk.skel,<cn;tw;en_us>,,,,
270,虫王赫拉克罗斯,frame/cwhlkls_txk.skel,<cn>,,,,
271,大甲超级凯罗斯,frame/djcjkls_txk.skel,<cn>,,,,
272,闪光超级化石翼龙,frame/txk_sghsyl.skel,<cn>,,,,
273,帕路奇亚·起源,frame/txk_plqyqy.skel,<cn>,,,,
274,桃歹郎,frame/txk_tdl.skel,<cn>,,,,
275,拂晓之翼,frame/txk_fxzy.skel,<cn>,,,,
276,厄诡椪,frame/egp_txk.skel,<cn>,,,,
277,闪光超级龙头地鼠,frame/megaltds_txk.skel,<cn>,,,,
278,闪光超级雪妖女,frame/xyn_tou.skel,<cn>,,,,
279,闪光超级阿勃梭鲁,frame/sgcjabsl_txk.skel,<cn>,,,,
300,圣诞,config/portrait/frame/icon_sdtxk.png,<cn;tw;en;vn;th;kr>,,3,,
301,爆竹声声,config/portrait/frame/icon_cjtxk.png,<cn>,,3,,
302,劳动最光荣,config/portrait/frame/icon_wytxk.png,<cn>,,3,,
303,童真童趣,config/portrait/frame/icon_ly.png,<cn;tw>,,3,,
304,粽情端午,config/portrait/frame/icon_dwjtxk.png,<cn;tw>,,3,,
305,中秋月兔,frame/zhongqiu.skel,<cn;tw;kr>,,3,,
306,庆典,frame/qingdian.skel,<cn;tw;kr;en>,,3,,
307,万圣的恶魔,config/portrait/frame/icon_wsj.png,<cn;tw;kr;en>,,3,,
308,圣诞麋鹿2020,config/portrait/frame/icon_2021sdtxk.png,<cn;tw;kr;en>,,3,,
309,舞狮庆元旦,config/portrait/frame/icon_2021ydtxk.png,<cn;tw;kr;en>,,3,,
310,元宵贺岁,config/portrait/frame/icon_yxjtxk.png,<cn;tw;kr;en>,,3,,
311,恭喜发大财,config/portrait/frame/icon_nn2021.png,<cn;tw;kr;en>,,3,,
312,爱就在一起,config/portrait/frame/touxiangkuang_qrj.png,<cn;tw;kr;en>,,3,,
313,1周年庆贺,frame/txk_zhounianqin.skel,<cn;en;kr;tw;en_us>,,3,,
314,劳动节2021限定,config/portrait/frame/icon_wytxk1.png,<cn>,,3,,
315,欢乐六一,config/portrait/frame/icon_lyetjj.png,<cn>,,3,,
316,粽游端午,frame/duantoutouxiangkuang.skel,<cn;tw>,,3,,
317,夏日乐游游,config/portrait/frame/icon_xrj@.png,<cn;tw;en;kr>,,3,,
318,团圆中秋,config/portrait/frame/icon_zqjtxk.png,<cn;tw;kr>,,3,,
319,狂欢节日,config/portrait/frame/icon_21gqtxk.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
320,万圣之夜,config/portrait/frame/icon_21wsjtxk.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
321,松枝花环,config/portrait/frame/icon_2022sdtxk.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
322,缤纷,config/portrait/frame/icon_xfym.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
323,开春喵迎门,config/portrait/frame/icon_2022txk.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
324,香桂逢宵,config/portrait/frame/icon_2022ysjtxk.png,<cn;tw>,,3,,
325,缘起共情,config/portrait/frame/icon_qrj.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
326,2周年庆贺,config/portrait/frame/logo_2znznq.png,<cn;en;tw;kr;en_us>,,3,,
328,快乐的小骑手,config/portrait/frame/img_txk_wyj.png,<cn;tw>,,3,,
329,趣味涂鸦,config/portrait/frame/txk_61.png,<cn;tw>,,3,,
330,端午·龙舟,config/portrait/frame/icon_22dwjtxk.png,<cn;tw>,,3,,
331,阳光正好,config/portrait/frame/icon_xrj.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
332,沙奈朵·中秋,config/portrait/frame/icon_22zqtxk.png,<cn;tw;kr>,,3,,
333,贪吃“蛇”,config/portrait/frame/icon_gqtx.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
334,邪恶南瓜,frame/wanshengji_txk.skel,<cn;kr;tw;en;en_us;en_eu>,,3,,
335,狂热世界杯,config/portrait/frame/icon_22sjb.png,<cn;kr;tw;en;en_us;en_eu>,狂热世界杯中准确预测冠军后获得,3,,
336,雪夜圣诞,config/portrait/frame/img_2022sdj.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
337,元旦大礼,config/portrait/frame/icon_2023yd.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
338,鞭炮声声响,config/portrait/frame/txk_2023xn.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
339,花·灯,config/portrait/frame/img_23yxj.png,<cn;tw>,,3,,
340,浪漫礼盒,config/portrait/frame/img_23qrj.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
341,3周年庆贺,config/portrait/frame/img_3zn.png,<cn;en;en_us;tw;kr>,,3,,
343,奔向自由,config/portrait/frame/img_23wytxk.png,<cn;kr;tw;en;en_us;en_eu>,,3,,
344,吹泡泡,frame/61.skel,<cn;tw>,,3,,
345,龙舟竞渡,config/portrait/frame/img_23dwjtxk.png,<cn;tw>,,3,,
346,夏日荷塘,config/portrait/frame/img_xrj2023.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
347,七夕青鸟,config/portrait/frame/img_mhxy.png,<cn;tw>,,3,,
348,飘香月下,config/portrait/frame/img_23zqjtxk.png,<cn;tw;kr>,,3,,
349,嗨玩派,config/portrait/frame/img_23gqjtxk.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
350,惊魂万圣夜,config/portrait/frame/img_23wsj.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
351,圣诞“结”,config/portrait/frame/img_23sd.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
352,一起堆雪人！,config/portrait/frame/img_2024yd.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
353,龙腾万里,config/portrait/frame/img_qllltxk.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
354,灯舞,config/portrait/frame/img_xllxtxk.png,<cn;tw>,,3,,
355,闪闪惹人爱,config/portrait/frame/img_24qrjtxk.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
356,4周年庆贺,config/portrait/frame/img_4zntxk.png,<cn;en;tw;kr>,,3,,
357,勇气花环,config/portrait/frame/img_24wytxk.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
358,赛龙舟,config/portrait/frame/img_24dwtxk.png,<cn>,,3,,
359,阳光沙滩,config/portrait/frame/img_24xrj.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
360,缘聚,config/portrait/frame/img_24qx.png,<cn;tw>,,3,,
361,圆月高挂,config/portrait/frame/img_24zqj.png,<cn;tw;en_us>,,3,,
362,欢聚派对,config/portrait/frame/img_24gqj.png,<cn;tw;en;en_eu;en_us>,,3,,
363,惊吓城堡,config/portrait/frame/img_24wsj.png,<cn;tw;en_us>,,3,,
364,圣诞水晶球,config/portrait/frame/img_24sd.png,<cn;tw;en_us;kr>,,3,,
365,龙蛇帽,config/portrait/frame/img_25yd.png,<cn;tw;en_us;kr>,,3,,
366,如我心意,config/portrait/frame/img_25cj.png,<cn;tw;en_us;kr>,,3,,
367,今宵团圆,config/portrait/frame/img_25yx.png,<cn;tw>,,3,,
368,倾心,config/portrait/frame/img_25qrj.png,<cn;tw;en_us;kr>,,3,,
369,卡牌爱好者,config/portrait/frame/img_kpahz.png,<cn>,,2,,
370,周年的赞歌,config/portrait/frame/img_5znq.png,<cn>,,3,,
371,超级管家,config/portrait/frame/img_25wy.png,<cn>,,3,,
372,粽子全家福,config/portrait/frame/img_25dw.png,<cn>,,3,,
373,碰碰车,config/portrait/frame/img_2561.png,<cn;tw;en;en_eu;en_us;kr>,,3,,
374,夏日的假期,config/portrait/frame/img_25xr.png,<cn;tw;en;en_us>,,3,,
375,花前月下,config/portrait/frame/img_25qx.png,<cn;tw>,,3,,
376,狂欢节乐手,config/portrait/frame/img_25gqj.png,<cn>,,3,,
377,月圆中秋,config/portrait/frame/img_25zqj.png,<cn>,,3,,
378,南瓜巫师,config/portrait/frame/img_25wsj.png,<cn>,,3,,
379,圣诞老人的大礼,config/portrait/frame/img_25sd.png,<cn>,,3,,
380,欢庆时刻,config/portrait/frame/img_26yd.png,<cn>,,3,,
381,爱在此刻,config/portrait/frame/img_26qrj.png,<cn;kr>,,3,,
382,天马行空,config/portrait/frame/img_26cj.png,<cn;kr>,,3,,
383,一起过元宵,config/portrait/frame/img_26yx.png,<cn>,,3,,
400,通行证S1,config/portrait/frame/icon_txztxk1.png,<cn;kr;en;tw>,,3,,
401,通行证S2,config/portrait/frame/icon_txztxk2.png,<cn;kr;en;tw>,,3,,
402,通行证S3,config/portrait/frame/icon_txztxk3.png,<cn;kr;en;tw>,,3,,
403,通行证S4,config/portrait/frame/icon_txztxk4.png,<cn;kr;en;tw>,,3,,
404,通行证S5,config/portrait/frame/icon_txztxk5.png,<cn;kr;en;tw>,,3,,
405,通行证S6,config/portrait/frame/icon_txztxk6.png,<cn;kr;en;en_us;en_eu;tw>,,3,,
406,通行证S7,config/portrait/frame/icon_txztxk7.png,<cn;kr;en;en_us;en_eu;tw>,,3,,
407,通行证S8,config/portrait/frame/icon_txztxk8.png,<cn;kr;en;en_us;en_eu;tw>,,3,,
408,通行证S9,config/portrait/frame/icon_txztxk9.png,<cn;kr;en;en_us;en_eu;tw>,,3,,
409,通行证S10,config/portrait/frame/icon_txztxk10.png,<cn;kr;en;en_us;en_eu;tw>,,3,,
410,通行证S11,config/portrait/frame/icon_txztxk11.png,<cn;kr;en;tw;en_eu;en_us>,,3,,
411,通行证S12,config/portrait/frame/icon_txztxk12.png,<cn;kr;en;tw;en_eu;en_us>,,3,,
