变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,discountDesc,discountDesc_tw,discountDesc_en,discountDesc_kr,limitType,limitTimes,showUnable
默认值,,{},0,{rmb=0},0,1,0,20990101,0,<1;150>,"""""","""""","""""","""""",0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,折扣描述,折扣描述,折扣描述,折扣描述,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,废弃,{20001=10},1,{gold=50000},0,0,,,0,,8折,8折,20%off,20%off,,,
2,废弃,{20001=10},1,{gold=100000},0,0,,,0,,8折,8折,20%off,20%off,,,
3,废弃,{20001=10},1,{rmb=50},0,0,,,0,,8折,8折,20%off,20%off,,,
4,废弃,{20001=10},1,{rmb=100},0,0,,,0,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,8折,8折,20%off,20%off,,,
11,废弃,{20001=10},1,{gold=120000},0,0,,,1,,8折,8折,20%off,20%off,,,
12,废弃,{20001=10},1,{gold=60000},0,0,,,1,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,8折,8折,20%off,20%off,,,
21,废弃,{20001=10},1,{gold=50},0,0,,,2,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,8折,8折,20%off,20%off,,,
31,废弃,{20001=10},1,{rmb=120},0,0,,,3,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
41,废弃,{20001=10},1,{gold=20000},0,0,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
51,废弃,{20001=10},1,{gold=20},0,0,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,
101,废弃,{20001=10},1,{gold=50000},0,0,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
201,废弃,{20001=10},1,{gold=75000},,0,,,7,,,,,,,,
,,,,,,,,,,,,,,,,,
301,废弃,{20001=10},1,{gold=75000},,0,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
401,废弃,{20001=10},1,{gold=75000},,0,,,9,,,,,,,,
,,,,,,,,,,,,,,,,,
1001,8折金币宝石21,{5001=100;5002=100;5003=100},10,{gold=60000},,330,,,0,<1;27>,8折,8折,20%off,20%off,,,
1002,8折金币宝石22,{5004=100;5005=100;5006=100},10,{gold=60000},,330,,,0,<1;39>,8折,8折,20%off,20%off,,,
1003,8折金币宝石31,{5007=100;5008=100;5009=100},10,{gold=60000},,330,,,0,<1;49>,8折,8折,20%off,20%off,,,
1004,8折金币宝石32,{5010=100;5011=100;5012=100},10,{gold=72000},,330,,,0,<28;59>,8折,8折,20%off,20%off,,,
1005,8折金币宝石33,{5013=100;5014=100;5015=100},10,{gold=84000},,330,,,0,<40;69>,8折,8折,20%off,20%off,,,
1006,8折金币宝石41,{5016=100;5017=100;5018=100},10,{gold=96000},,330,,,0,<50;79>,8折,8折,20%off,20%off,,,
1007,8折金币宝石42,{5019=100;5020=100;5021=100},30,{gold=324000},,330,,,0,<60;84>,8折,8折,20%off,20%off,,,
1008,8折金币宝石51,{5022=100;5023=100;5024=100},40,{gold=480000},,330,,,0,<70;99>,8折,8折,20%off,20%off,,,
1009,8折金币宝石52,{5025=100;5026=100;5027=100},50,{gold=660000},,330,,,0,<80;104>,8折,8折,20%off,20%off,,,
1010,8折金币宝石53,{5028=100;5029=100;5030=100},60,{gold=960000},,330,,,0,<85;109>,8折,8折,20%off,20%off,,,
1011,8折金币宝石54,{5031=100;5032=100;5033=100},70,{gold=1316000},,330,,,0,<95;114>,8折,8折,20%off,20%off,,,
1012,8折金币宝石55,{5034=100;5035=100;5036=100},60,{gold=1104000},,330,,,0,<100;119>,8折,8折,20%off,20%off,,,
1013,8折金币宝石61,{5037=100;5038=100;5039=100},60,{gold=1120000},,330,,,0,<105;124>,8折,8折,20%off,20%off,,,
1014,8折金币宝石62,{5040=100;5041=100;5042=100},60,{gold=1152000},,330,,,0,<110;129>,8折,8折,20%off,20%off,,,
1015,8折金币宝石63,{5043=100;5044=100;5045=100},60,{gold=1200000},,330,,,0,<115;134>,8折,8折,20%off,20%off,,,
1016,8折金币宝石64,{5046=100;5047=100;5048=100},60,{gold=1264000},,330,,,0,<120;139>,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1101,蓝色食物-金币,{607=100;610=100;613=100;616=100;619=100;622=100},8,{gold=120000},0,1000,,,1,,,,,,,,
1102,蓝色食物-金币8折,{607=100;610=100;613=100;616=100;619=100;622=100},8,{gold=96000},0,500,,,1,,8折,8折,20%off,20%off,,,
1103,蓝色食物-金币2折,{607=100;610=100;613=100;616=100;619=100;622=100},8,{gold=24000},0,300,,,1,,2折,2折,80%off,80%off,,,
1104,大师球,{525=100},1,{rmb=150},0,200,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,
1201,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},1,{rmb=50},0,100,,,3,,,,,,,,
1202,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},2,{rmb=100},0,100,,,3,,,,,,,,
1203,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},5,{rmb=250},0,100,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,
1211,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},1,{rmb=40},0,50,,,3,,8折,8折,20%off,20%off,,,
1212,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},2,{rmb=80},0,50,,,3,,8折,8折,20%off,20%off,,,
1213,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},5,{rmb=200},0,50,,,3,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1301,强化药剂-钻石,{5000=100},60,{rmb=300},0,100,,,2,,,,,,,,
1302,强化药剂-钻石,{5000=100},120,{rmb=600},0,100,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,
1311,强化药剂-钻石-8折,{5000=100},60,{rmb=240},0,50,,,2,,8折,8折,20%off,20%off,,,
1312,强化药剂-钻石-8折,{5000=100},120,{rmb=480},0,50,,,2,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1401,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=50},0,100,,,4,,,,,,,,
1402,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=100},0,100,,,4,,,,,,,,
1403,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=250},0,100,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
1411,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=40},0,50,,,4,,8折,8折,20%off,20%off,,,
1412,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=80},0,50,,,4,,8折,8折,20%off,20%off,,,
1413,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=200},0,50,,,4,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1502,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,6,<1;27>,,,,,,,
1503,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,6,<1;39>,,,,,,,
1504,宝石22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,6,<1;39>,,,,,,,
1505,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,6,<1;49>,,,,,,,
1506,宝石31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,6,<1;49>,,,,,,,
1507,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,6,<28;59>,,,,,,,
1508,宝石32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,6,<28;59>,,,,,,,
1509,宝石33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,6,<40;69>,,,,,,,
1510,宝石33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,6,<40;69>,,,,,,,
1511,宝石41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,6,<50;79>,,,,,,,
1512,宝石41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,6,<50;79>,,,,,,,
1513,宝石42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,6,<60;84>,,,,,,,
1514,宝石42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,6,<60;84>,,,,,,,
1515,宝石42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,6,<60;84>,,,,,,,
1516,宝石51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,6,<70;99>,,,,,,,
1517,宝石51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,6,<70;99>,,,,,,,
1518,宝石51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,6,<70;99>,,,,,,,
1519,宝石52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,6,<80;99>,,,,,,,
1520,宝石52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,6,<80;99>,,,,,,,
1521,宝石52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,6,<80;99>,,,,,,,
1522,宝石53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,6,<85;104>,,,,,,,
1523,宝石53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,6,<85;104>,,,,,,,
1524,宝石53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,6,<85;104>,,,,,,,
1525,宝石54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,6,<90;109>,,,,,,,
1526,宝石54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,6,<90;109>,,,,,,,
1527,宝石54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,6,<90;109>,,,,,,,
1528,宝石55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,6,<95;114>,,,,,,,
1529,宝石55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,6,<95;114>,,,,,,,
1530,宝石55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,6,<95;114>,,,,,,,
1533,宝石61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,6,<100;119>,,,,,,,
1531,宝石61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,6,<100;119>,,,,,,,
1532,宝石61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,6,<100;119>,,,,,,,
1536,宝石62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,6,<105;124>,,,,,,,
1534,宝石62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,6,<105;124>,,,,,,,
1535,宝石62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,6,<105;124>,,,,,,,
1539,宝石63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,6,<110;129>,,,,,,,
1537,宝石63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,6,<110;129>,,,,,,,
1538,宝石63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,6,<110;129>,,,,,,,
1542,宝石64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,6,<115;134>,,,,,,,
1540,宝石64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,6,<115;134>,,,,,,,
1541,宝石64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,6,<115;134>,,,,,,,
1545,宝石65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,6,<120;139>,,,,,,,
1543,宝石65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,6,<120;139>,,,,,,,
1544,宝石65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,6,<120;139>,,,,,,,
,,,,,,,,,,,,,,,,,
1601,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=50},0,100,,,5,,,,,,,,
1602,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=100},0,100,,,5,,,,,,,,
1603,13资质-碎片钻石1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=250},0,100,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,
1611,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=40},0,50,,,5,,8折,8折,20%off,20%off,,,
1612,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=80},0,50,,,5,,8折,8折,20%off,20%off,,,
1613,13资质-碎片钻石1-8折,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=200},0,50,,,5,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1701,宝石21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,7,<1;27>,,,,,,,
