变量名,name,desc,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
默认值,"""""","""""",1,,,0,,,<cn;tw;en;vn;th;kr>
ID,名字,描述,目标类型(1-总数量;2-单属性数量),目标参数（目标数量）,目标参数2（目标元素属性）,自然属性卡牌加成(0表示全部),加成属性type,加成属性值,语言区域
1,收集5全体精灵,#C0xFF5B545B#全体精灵生命提升 #C0xFF60C456#350,1,5,,0,1,350,
2,收集10全体精灵,#C0xFF5B545B#全体精灵物防提升 #C0xFF60C456#120,1,10,,0,9,120,
3,收集20全体精灵,#C0xFF5B545B#全体精灵特防提升 #C0xFF60C456#150,1,20,,0,10,150,
4,收集30全体精灵,#C0xFF5B545B#全体精灵暴击抗性提升#C0xFF60C456#3%,1,30,,0,16,300,
5,收集50全体精灵,#C0xFF5B545B#全体精灵物防提升#C0xFF60C456#3%,1,50,,0,9,300,
6,收集70全体精灵,#C0xFF5B545B#全体精灵特防提升#C0xFF60C456#3%,1,70,,0,10,300,
7,收集100全体精灵,#C0xFF5B545B#全体精灵暴击抗性提升#C0xFF60C456#3%,1,100,,0,16,300,
8,收集150全体精灵,#C0xFF5B545B#全体精灵物伤减免提升#C0xFF60C456#3%,1,150,,0,33,300,
9,收集200全体精灵,#C0xFF5B545B#全体精灵特伤减免提升#C0xFF60C456#3%,1,200,,0,35,300,
10,收集3全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,3,1,0,36,100,
11,收集6全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,6,1,0,36,100,
12,收集12全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,12,1,0,36,100,
13,收集18全体精灵,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,2,18,1,0,36,100,
14,收集3全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,3,2,0,37,100,
15,收集6全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,6,2,0,37,100,
16,收集12全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,12,2,0,37,100,
17,收集18全体精灵,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,2,18,2,0,37,100,
18,收集5全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,5,3,0,38,100,
19,收集10全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,10,3,0,38,100,
20,收集20全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,20,3,0,38,100,
21,收集30全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,30,3,0,38,100,
22,收集33全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,33,3,0,38,100,
23,收集36全体精灵,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,2,36,3,0,38,100,
24,收集5全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,5,4,0,39,100,
25,收集10全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,10,4,0,39,100,
26,收集20全体精灵,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,2,20,4,0,39,100,
27,收集3全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,3,5,0,40,100,
28,收集6全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,6,5,0,40,100,
29,收集12全体精灵,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,2,12,5,0,40,100,
30,收集3全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,3,6,0,41,100,
31,收集6全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,6,6,0,41,100,
32,收集12全体精灵,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,2,12,6,0,41,100,
33,收集3全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,3,7,0,42,100,
34,收集6全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,6,7,0,42,100,
35,收集12全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,12,7,0,42,100,
36,收集18全体精灵,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,2,18,7,0,42,100,
37,收集5全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,5,8,0,43,100,
38,收集10全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,10,8,0,43,100,
39,收集15全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,15,8,0,43,100,
40,收集25全体精灵,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,2,25,8,0,43,100,
41,收集5全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,5,9,0,44,100,
42,收集10全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,10,9,0,44,100,
43,收集15全体精灵,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,2,15,9,0,44,100,
