变量名,typeID,star,attrTarget,attrNatureType,attrNum,effectDesc,__version
默认值,,1,0,0,{},"""""",
ID,索引类型ID,星级,属性加成目标 0-本体 1-指定属性精灵,属性加成类型,属性加成值,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,__version
2,1,2,,,{25=200},,
3,1,3,,,{7=5%;8=5%},,
4,1,4,,,{1=5%},,
5,1,5,,,{9=5%;10=5%},,
6,1,6,,,{28=300},,
7,1,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
8,1,8,,,{7=10%;8=10%},,
9,1,9,,,{28=600},,
10,1,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
11,1,11,,,{23=1000},,
12,1,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
1002,11,2,,,{24=200},,
1003,11,3,,,{7=5%;8=5%},,
1004,11,4,,,{1=5%},,
1005,11,5,,,{7=5%;8=5%},,
1006,11,6,,,{14=300},,
1007,11,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
1008,11,8,,,{7=10%;8=10%},,
1009,11,9,,,{14=600},,
1010,11,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
1011,11,11,,,{23=1000},,
1012,11,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
2002,21,2,,,{25=200},,
2003,21,3,,,{9=5%;10=5%},,
2004,21,4,,,{1=5%},,
2005,21,5,,,{9=5%;10=5%},,
2006,21,6,,,{17=300},,
2007,21,7,,,{1=10%},\n解锁竞技玩法伤害减免被动技能,
2008,21,8,,,{9=10%;10=10%},,
2009,21,9,,,{17=600},,
2010,21,10,,,{22=1000},\n解锁竞技玩法伤害加成被动技能,
2011,21,11,,,{23=1000},,
2012,21,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
3002,31,2,,,{24=200},,
3003,31,3,,,{7=5%;8=5%},,
3004,31,4,,,{1=5%},,
3005,31,5,,,{9=5%;10=5%},,
3006,31,6,,,{90=300},,
3007,31,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
3008,31,8,,,{7=10%;8=10%},,
3009,31,9,,,{90=600},,
3010,31,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
3011,31,11,,,{23=1000},,
3012,31,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
4002,41,2,,,{24=200},,
4003,41,3,,,{7=5%;8=5%},,
4004,41,4,,,{1=5%},,
4005,41,5,,,{7=5%;8=5%},,
4006,41,6,,,{24=300},,
4007,41,7,,,{1=10%},\n解锁竞技玩法伤害加成被动技能,
4008,41,8,,,{7=10%;8=10%},,
4009,41,9,,,{24=600},,
4010,41,10,,,{22=1000},\n解锁竞技玩法伤害减免被动技能,
4011,41,11,,,{23=1000},,
4012,41,12,,,{1=5%;7=5%;8=5%;9=5%;10=5%;13=5%},,
5002,51,2,,,{24=200},,
5003,51,3,,,{7=5%;8=5%},,
5004,51,4,,,{1=5%},,
5005,51,5,,,{7=5%;8=5%},,
