变量名,_beizhu1,limitBuff,forbiddenBuff,forbiddenPassiveSkill,disableBattleState,cfgIds,enableActiveSkillMp
默认值,,<>,<>,<>,0,<>,FALSE
ID,备注,额外回合buff节点,禁用buff节点,禁用被动技能节点,1：不触发回合开始节点，2：不触发回合结束的节点，0：正常触发,对应的额外回合id,enableActiveSkillMp
1,,,<5;24;25>,<2;23>,1,<4162011;4051221;4051321;522158;522159;7061712;7061714;4122328;7111722;3051169>,
2,,,<6;42>,<9;18;24;25;28>,2,,
3,,<7;8;10;14>,,,,<2461311;761237>,TRUE
4,,<3;5;6;7;8;10;14;15;40;30>,,,,<1962480;1962485>,
5,,<5;6;7;8;10;14;15;24;25;30;40>,<23>,,,<4161680;4122320>,
6,,<>,<>,,,<762413;762718>,
7,,<5;6;7;8;10;14;15;24;25;30;40>,<5;6;7;8;10;14;15;24;25;30;40>,,,<764041>,
8,,<5;6;7;8;10;14;15;24;25;30;40>,<5;6;7;8;10;14;15;24;25;30;32;42;40>,,,<7221317;7221702;7221704;7221706;7221708;7221712>,
9,,<5;6;7;8;10;14;15;24;25;30;40>,<5;6;7;8;10;14;15;24;25;30;32;42;40>,,,<7231712>,
1000,,<5;6;7;8;10;14;15;24;25;30;40>,,,,,
