变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
默认值,,0,1,,,{},,99,,<>,<>,<1>,{},<>,,
ID,技能过程名功能备注(程序不读取，策划使用),目标类型(1友方0敌方),技能伤害目标(目标位置),阵营,在input下的目标类型,公式选择目标，优先级高于process，{process={key=self:hasBuff(54214); value=<hpRatioMax;hpRatioMin>}},单个特殊目标位置选择(填写1和8时，过程段只能写一段)(target查找参数),随机目标上限(target查找参数),固定位置(target查找参数),触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,effect_event对应ID,下一个过程段
111,,,,,,,,,,,,,,,111,
112,,1,14,,,,,,,<1225>,<2>,<self:flagZ1() and 1 or 0>,,<500>,,
121,,,,,,,,,,,,,,,121,
122,,,,,,,,,,<1311>,<1>,<self:flagZ2() and 1 or 0.6>,,<0>,,
123,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,131,
132,,,,,,,,,,,,,,,132,
133,,1,11,,,,,,,<1313;1316>,<3;1>,"<1;moreEqualThan(self:star(),11) and 1 or 0>",,<self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002);(self:specialDamage()*(0.4+(skillLv(46) or 0)*0.002-0.002))*(self:flagZ3() and 2 or 1)>,,
134,,1,11,,,,,,,,,,,,,
161,,,,selfForce | nodead,random(1),,,,,<1313>,<3>,<1>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
162,,1,14,,,,,,,<1313>,<3>,<self:flagZ4() and 0.3 or 0>,,"<self:specialDamage()*(0.3+(skillLv(16,26,36) or 0)*0.002-0.002+0.1*(moreEqualThan(self:star(),8) and 1 or 0))>",,
211,,,,,,,,,,,,,,,211,
212,,1,14,,,,,,,<1225>,<2>,<self:flagZ1() and 1 or 0>,,<500>,,
221,,,,,,,,,,,,,,,221,
