变量名,skillName,_beizhu,skillTypeShow,describe,describe1,simDesc,starEffect,starEffectDesc,starEffectDesc1,zawakeEffect,zawakeEffectDesc,zawakeEffectDesc1,zawakeStarEffectDesc1,zawakeSimpleType,zawakeSimpleDesc,upLvDesc,iconRes,isGlobal,changeUnitTrigger,isCombat,alwaysEffective,passivePriority,skillType,skillType2,skillDamageType,skillNatureType,skillPower,skillHit,weather,cdRound,startRound,passiveStartRound,passiveTriggerType,passiveTriggerArg,posChoose,moveTime,specialChoose,hitFormula,hintTargetType,hintChoose,specialHintChoose,autoHintChoose,targetTypeDesc,targetChooseType,_attacktest,damageFormula,_damageFormula,hpFormula,skillCalDamageProcessId,diffSkillCalDmgProcessId,skillProcess,passiveSkillAttrs,activeType,activeCondition,fightingPoint,costMp1,costMp1Args,recoverMp1,widgetEffects,hurtMp1,costID,posC,chargeArgs,skillArgs,conditionValue,spineAction,flashBack,cameraNear,cameraNear_posC,cameraNear_blankTime,cameraNear_scaleArgs,blankTime,scaleArgs,effectBigName,effectBigPos,effectBigFlip,notShowProcedure,hurtPos,sound,allEffectTime,descGray,keyWords,zawakeKeyWords,skillPriority,zawakeStarEffectDesc,specialRatio,skillFlag,summonInherit,blockEffect,__version
默认值,神秘技能,,,,<未知的神秘力量，等它出现，世界将会轰动~>,这只小精灵拥有不俗的伤害和出其不意的效果，值得入手哦,<>,,<>,<>,,{},<>,1,"""""",技能效果等级+1,"""""",FALSE,FALSE,FALSE,FALSE,100,0,,0,1,10000,10000,,0,1,1,,,0,<>,,{},0,2,,{},"""""",other,,,,,1,{},<>,{},1,1,8,0,<1;1>,0,{},0,1,{x=0;y=0}大招默认固定{x=0;y=130},,<>,,,,0,{x=0;y=0},3400,{scale=1;startLast=50;delayLast=4200;endLast=50},3400,{scale=1;startLast=50;delayLast=4200;endLast=50},<img_179_mly@>,{x=0;y=0},FALSE,{},{x=0;y=0},,{},"""""",<>,<>,10,<>,1,<>,FALSE,,
ID,技能名,备注,技能展示类型,描述(可摻公式),新版描述(可摻公式),简单描述,解锁星级,星级解锁描述,新版星级描述,解锁z觉醒激活（激活技能标记id；类型0-激活基础效果也可以不配置，类型1-激活星级效果）,z觉醒完整技能描述,新版Z觉醒描述,新版z觉醒星级描述,z觉醒预览技能类型：1、附带额外效果；2、已有效果强化,z觉醒预览技能描述,技能升级描述,技能icon,全局被动技能（服务器专用）,变身后替换技能,是否战力修正,TRUE是会无视所有禁用false禁用正常生效,被动技能触发优先级（同skillType之间的优先级）,技能类型;0:常规技能1:被动增加属性2:被动光环类3:被动技件触发,技能类型2：0普通攻击，1小技能，2大招，3被动技能,伤害类型0物理1特殊,技能自然属性,技能威力,技能命中等级,天气,触发回合冷却,技能初始释放cd（第几回合）,被动3初始触发回合,技能类型为3的被动触发条件类型,触发条件参数,技能释放显示位置,移动时间,单个特殊显示位置选择,选择提示公式，{hintChoose={key=self:hasBuff(54214);value=<14;11>}},选中提示目标阵营（0友方1敌方）,选中提示目标类型,单个选中提示目标类型,自动战斗下的选择目标公式,技能目标提示文字,理论的技能伤害目标（single-单体，all-全体，row-前后排，column-列排，other-其他）,攻击方式（1-特攻；2-物攻）,技能总伤害公式,技能总伤害(原有值参考),加血总量,伤害类型,其他情况下的伤害类型{exAttackMode={1=1;2=111;3=111;4=111;5=1}},技能过程,服务器被动技能属性加成,技能解锁条件类型（1-潜力值;2-突破阶段））,解锁参数,技能战斗力,消耗mp1 的百分比,消耗mp1 的概率和消耗量,释放回复mp1,技能按钮特殊特效,受到该技能伤害的目标回复mp1,技能升级消耗序列,攻击位置偏移,蓄力参数,技能参数（召唤精灵ID；召唤类型（1-12：指定位置召唤OR 0：空位召唤）；等级；属性修正；数量）,合体技配置（1-（小回合开始，小回合结束，大回合开始，必杀技切换）；2-概率；3-全场最大使用次数；4-双方系数比例（双方相加乘该值）；5-是否消耗双方怒气）,技能动作,技能结束是否闪回(默认不填;1即闪回),镜头拉伸类型（0为非拉伸，1为拉远，2为拉近）,镜头拉伸下的位置偏移,镜头拉伸下的黑屏时间,镜头拉伸下的技能放大,非镜头拉伸下的黑屏时间,非镜头拉伸下的技能放大,技能放大大图名,技能放大图位置偏移,技能放大图水平翻转,隐藏技能释放中的某些流程,总伤害显示的位置偏移量,技能音效,被动技能个数,新增描述,新增描述,新增描述,新增描述,新增描述,新增描述,新增描述,新增描述,新增描述,__version
11,藤鞭,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#>,妙蛙种子用藤鞭攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，并提升自身5%治疗率，持续2回合},,,#C0x5c9970#提高自身5%治疗率2回合#C0x5B545B#,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,4,,,,,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<111;112>,,,,,,,240,,,,{x=-400;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowazhongzi_attack.mp3},,,,,,,,,,,
12,毒叶快刀,,,,<攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并有60%概率【眩晕】目标1回合>,妙蛙种子飞出叶片，切斩敌方单体目标进行攻击,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并有100%概率【眩晕】目标1回合},,,有60%概率【眩晕】目标1回合\n#F20#\n#F40##C0x5c9970#→有100%概率【眩晕】目标1回合#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,8,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,,,<121;122;123>,,,,,,,360,,,2,{x=-450;y=0},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowazhongzi_skill1.mp3},,,<【眩晕】>,<【眩晕】>,,,,,,,
13,强力鞭打,,,,<攻击敌方单体目标，造成#C0x3D8A99#380%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，并为友方全体添加一枚青藤种子3回合>,妙蛙种子困住敌方单体目标，然后强烈挥舞藤鞭进行攻击，并为己方全体添加一枚寄生种子治疗友方,<11>,,<额外效果：释放必杀技时立即触发一次青藤种子中的恢复效果>,<79003;1>,,{1=攻击敌方单体目标，造成#C0x3D8A99#370%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，并为友方全体添加一枚青藤种子3回合},<额外效果：释放必杀技时立即触发一次青藤种子中的恢复效果，并使本次恢复量加倍>,,#C0x5c9970#释放必杀技时立即触发一次青藤种子中的恢复效果#C0x5c9970#→释放必杀技时立即触发一次青藤种子中的恢复效果，并使本次恢复量加倍#C0x5B545B#,固定伤害+240,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,4,,,,,,,,,,,,,,,,,敌方单体,single,,self:specialDamage()*3.8+(self:flag(99) and skillLevel or skillLevel*4)*60,,,,,<131;132;133;134>,,,,,1000,,,,,3,{x=-480;y=0},,,,skill2,,,,4785,{delayLast=4785;endLast=50;scale=1.2;startLast=50},4785,{delayLast=4785;endLast=50;scale=1.2;startLast=50},<img_1_mwzz@>,,,,,{loop=0;delay=0;res=hero_sound/miaowazhongzi_skill2.mp3},,,,,,,,,,,
16,生芽,,,,<{title=生芽};自身回合结束后，为己方随机一个精灵添加青藤种子3回合（青藤种子：增益效果，每回合前回复自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#特攻的生命值）>,,<8>,,<<>;效果强化：青藤种子回复量提升10%>,<79004>,,{1={title=生芽};2=自身回合结束后，为己方随机一个精灵添加青藤种子3回合（青藤种子：增益效果，每回合前回复自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#特攻的生命值），有30%概率给自己也添加一个青藤种子3回合},<<>;效果强化：青藤种子回复量提升10%>,,#C0x5c9970#有30%概率给自己也添加一个【青藤种子】3回合#C0x5B545B#,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,9,0,5,,,,,,,,,,,,,,,,<161;162>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,藤鞭,,,,<攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#>,妙蛙草用藤鞭攻击敌方单体目标,,,,<79001>,,{1=攻击敌方单体目标，造成#C0x3D8A99#100%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，并提升自身5%治疗率，持续2回合},,,#C0x5c9970#提高自身5%治疗率2回合#C0x5B545B#,固定伤害+96,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,0,1,4,,,,,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,,,,,<211;212>,,,,,,,240,,,,{x=-400;y=0},,,,attack,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowacao_attack.mp3},,,,,,,,,,,
22,毒叶快刀,,,,<攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并有60%概率【眩晕】目标1回合>,妙蛙草旋转甩出叶片，斩切敌方单体目标进行攻击,,,,<79002>,,{1=攻击敌方单体目标，造成#C0x3D8A99#150%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并有100%概率【眩晕】目标1回合},,,有60%概率【眩晕】目标1回合\n#F20#\n#F40##C0x5c9970#→有100%概率【眩晕】目标1回合#C0x5B545B#,固定伤害+144,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,1,1,8,,,,2,,,,,1,,,,,,,,敌方单体,single,,self:specialDamage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*36,,,,,<221;222;223>,,,,,,,360,,,2,{x=-450;y=50},,,,skill1,,,,,,,,,,,,,{loop=0;delay=0;res=hero_sound/miaowacao_skill1.mp3},,,<【眩晕】>,<【眩晕】>,,,,,,,
23,寄生种子,,,,<攻击敌方单体目标，造成#C0x3D8A99#380%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，并为友方全体添加一枚青藤种子3回合>,妙蛙草连续飞出种子，然后寄生出藤蔓攻击敌方单体目标，并为己方全体添加一枚寄生种子治疗友方,<11>,,<额外效果：释放必杀技时立即触发一次青藤种子中的恢复效果>,<79003;1>,,{1=攻击敌方单体目标，造成#C0x3D8A99#370%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊伤害#C0x5B545B#，并为友方全体添加一枚青藤种子3回合},<额外效果：释放必杀技时立即触发一次青藤种子中的恢复效果，并使本次恢复量加倍>,,#C0x5c9970#释放必杀技时立即触发一次青藤种子中的恢复效果#C0x5c9970#→释放必杀技时立即触发一次青藤种子中的恢复效果，并使本次恢复量加倍#C0x5B545B#,固定伤害+240,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,,2,1,4,,,,,,,,,,,,,,,,,敌方单体,single,,self:specialDamage()*3.8+(self:flag(99) and skillLevel or skillLevel*4)*60,,,,,<231;232;233;234>,,,,,1000,,,,,3,{x=-180;y=50},,,,skill2,,,,8166.6,{delayLast=8166.6;endLast=50;scale=1;startLast=50},8166.6,{delayLast=8166.6;endLast=50;scale=1;startLast=50},<img_2_mwc@>,,TRUE,,,{loop=0;delay=0;res=hero_sound/miaowacao_skill2.mp3},,,,,,,,,,,
26,生芽,,,,<{title=生芽};自身回合结束后，为己方随机一个精灵添加青藤种子3回合（青藤种子：增益效果，每回合前回复自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#特攻的生命值）>,,<8>,,<<>;效果强化：青藤种子回复量提升10%>,<79004>,,{1={title=生芽};2=自身回合结束后，为己方随机一个精灵添加青藤种子3回合（青藤种子：增益效果，每回合前回复自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#特攻的生命值），有30%概率给自己也添加一个青藤种子3回合},<<>;效果强化：青藤种子回复量提升10%>,,#C0x5c9970#有30%概率给自己也添加一个【青藤种子】3回合#C0x5B545B#,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,9,0,5,,,,,,,,,,,,,,,,<261;262>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
