变量名,showUnable,endDate,beginDate,regainHour,exchangeLimit,position,limitTimes,limitType,itemMap,costMap,levelRange,saleMonth,languages
默认值,FALSE,20990101,0,0,-1,0,0,6,{},{coin20=999},<1;150>,<1>,<cn;tw;en;en_us;en_eu;vn;th;kr>
ID,showUnable,endDate,beginDate,regainHour,exchangeLimit,position,limitTimes,limitType,itemMap,costMap,levelRange,saleMonth,languages
1001,,,,,,,100,,{21841=1},{coin20=40},,<1;2;3>,
1011,,,,,,1,100,,{22721=1},{coin20=40},,<1;2;3>,
1021,,,,,,2,100,,{20401=1},{coin20=40},,<1;2;3>,
1031,,,,,,3,100,,{23021=1},{coin20=40},,<1;2;3>,
1041,,,,,,4,100,,{23661=1},{coin20=40},,<1;2;3>,
1051,,,,,,5,100,,{22401=1},{coin20=40},,<1;2;3>,
1061,,,,,,6,100,,{20641=1},{coin20=40},,<1;2;3>,
1071,,,,,,7,100,,{21231=1},{coin20=40},,<1;2;3>,
1081,,,,,,8,100,,{20731=1},{coin20=40},,<1;2;3>,
1091,,,,,,9,100,,{20631=1},{coin20=40},,<1;2;3>,
1101,,,,,,10,100,,{22471=1},{coin20=40},,<1;2;3>,
1111,,,,,,11,100,,{21941=1},{coin20=40},,<1;2;3>,
1121,,,,,,12,100,,{23161=1},{coin20=40},,<1;2;3>,
1131,,,,,,13,100,,{20501=1},{coin20=40},,<1;2;3>,
1141,,,,,,14,100,,{23191=1},{coin20=40},,<1;2;3>,
1151,,,,,,15,100,,{20561=1},{coin20=40},,<1;2;3>,
1161,,,,,,16,100,,{24623=1},{coin20=40},,<1;2;3>,
1171,,,,,,17,100,,{24191=1},{coin20=40},,<1;2;3>,
1181,,,,,,18,100,,{24671=1},{coin20=40},,<1;2;3>,<cn>
1191,,,,,,19,100,,{20441=1},{coin20=40},,<1;2;3>,<cn>
2001,,,,,,,100,,{23351=1},{coin20=40},,<4;5;6>,
2011,,,,,,1,100,,{20331=1},{coin20=40},,<4;5;6>,
2021,,,,,,2,100,,{20241=1},{coin20=40},,<4;5;6>,
2031,,,,,,3,100,,{23141=1},{coin20=40},,<4;5;6>,
2041,,,,,,4,100,,{23001=1},{coin20=40},,<4;5;6>,
2051,,,,,,5,100,,{21921=1},{coin20=40},,<4;5;6>,
2061,,,,,,6,100,,{23151=1},{coin20=40},,<4;5;6>,
2071,,,,,,7,100,,{23771=1},{coin20=40},,<4;5;6>,
2081,,,,,,8,100,,{21221=1},{coin20=40},,<4;5;6>,
2091,,,,,,9,100,,{22821=1},{coin20=40},,<4;5;6>,
2101,,,,,,10,100,,{23841=1},{coin20=40},,<4;5;6>,
2111,,,,,,11,100,,{21951=1},{coin20=40},,<4;5;6>,
2121,,,,,,12,100,,{23171=1},{coin20=40},,<4;5;6>,
2131,,,,,,13,100,,{20611=1},{coin20=40},,<4;5;6>,
2141,,,,,,14,100,,{23231=1},{coin20=40},,<4;5;6>,
2151,,,,,,15,100,,{20321=1},{coin20=40},,<4;5;6>,
2161,,,,,,16,100,,{24012=1},{coin20=40},,<4;5;6>,
2171,,,,,,17,100,,{24561=1},{coin20=40},,<4;5;6>,
2181,,,,,,18,100,,{23051=1},{coin20=40},,<4;5;6>,<cn>
2191,,,,,,19,100,,{24181=1},{coin20=40},,<4;5;6>,<cn>
