变量名,_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,topTalk,topTalk_tw,topTalk_en,topTalk_vn,topTalk_kr,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
默认值,,0,0,0,FALSE,FALSE,,0,,2,<>,{},1,,,,{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,0,0,,,,"""""","""""","""""","""""","""""",,<>,,0,,FALSE,
ID,备注,触发时间,持续时间,是否自动跳过,是否显示跳过按钮;显示到下一个FALSE为止,是否首次关卡怪,结束标示(自动判定; 废弃),剧情类型0:普通1:主动技能引导2:点击引导3:小技能引导4:连击点击引导5:连击1引导6:连击2引导7:友军支援8:不再有普攻9:只是弹框对话10:选择敌方引导11:敌方某单位逃跑,引导参数（未使用）,表现样式（1、引导员，2剧情对话， 3、top角色说话）,选项组(仅对showType=1和2时生效),跳转剧情,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段>0为自身训练家形象名字其他读取形象表 字段不填则读res,unitID,对话角色额外偏移位置,选项字段<<内容>;...>,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）_越南,聊天内容（富文本配置）（通用设置）_韩,头顶对话,头顶对话,头顶对话,头顶对话_越南,头顶对话_韩,头顶对话坐标,头顶对话框微调x坐标,头顶对话框微调y坐标,播放视频,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_越南,角色名称（样式1，特殊用于样式2）_韩,显示指定背景图（样式2）,要点击的控件名称（样式1）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,任意位置取消（样式1）,明亮的地方（样式1）
101,,,2000,,,,,,,,,,,,,,,场场都是激战的联盟大赛，终于要迎接高潮迭起的最后一战，我们现在立刻欢迎，终于晋级到荣耀决战的两名训练家！,,,,,,,,,,,,,,,,比赛主持人,,,,,,,,,,,
111,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,1500,2000,,,,,,,,,,,<1>,,,,终于来到这一刻了。,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,3500,2000,,,,,,,,,,,<1>,,,,艾岚你很强，就让我全力以赴吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,5500,2000,,,,,,,,,,2,<31>,,,,真是太令人期待了，可以在这里和你对战。,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,7500,2000,,,,,,,,,,2,<31>,,,,但是这场战斗，我是不会让步的！,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,9500,2000,,,,,,,,,,,<1>,,,,来吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,2000,,,,,,,,,,,<1>,,,,炎帝，末日炎爆，让火焰燃烧全场！,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
123,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
131,,,2000,,,,,,,,,,,<1>,,,,雷公，雷霆之爪，召唤闪电的力量！,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
133,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
141,,,2000,,,,,,,,,,2,<31>,,,,区区负面状态而已，雕虫小技！,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,2000,4000,,,,,,,,,,2,<31>,,,,水君，踏浪漩涡，驱散负面！,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,2000,,,,,,,,,,2,<31>,,,,再看这招，妙蛙花，阳光烈焰！,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,2000,,,,,,,,,,,<1>,,,,看来得使出全力了！,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,2000,4000,,,,,,,,,,,<1>,,,,水箭龟，快使用水箭巨炮，护佑友方！,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
164,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
171,,,2000,,,,,,,,,,2,<31>,,,,这样正合我意！快龙，怒龙一击！,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,2000,,,,,,,,,,,<1>,,,,蜥蜴王，地蔓藤，秒杀后排,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
183,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel11>,effect/shouyindao.skel,,,,
191,,,2000,,,,,,,,,,2,<31>,,,,班吉拉，轰岩大炮！,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,2000,,,,,,,,,,2,<31>,,,,喷火龙，用烈焰之力，摧毁它们！,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,2000,,,,,,,,,,,<1>,,,,甲贺忍蛙，飞水手里剑！,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
213,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
301,,,2000,,,,,,,,,,,<1>,,,,甲贺忍蛙，对手的分量已经足够！,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,2000,2000,,,,,,,,,,,<1>,,,,让他见识一下我们最强的一面吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,4000,2000,,,,,,,,,,2,<31>,,,,谢谢你，小智，我一直在等你的全力。,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,6000,2000,,,,,,,,,,2,<31>,,,,带我去一个更高更高的舞台吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,8000,2000,,,,,,,,,,,<1>,,,,甲贺忍蛙，羁绊进化！！！,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,10000,,,,,,,,,,,2,<31>,,,,好，全力以赴吧，喷火龙，回应我的心吧，进化钥匙！超越进化吧，超进化！,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,,,2000,,,,,,,,,,,<1>,,,,传说中的精灵！,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,,2000,,,,,,,,,,,,3641,{y=-210;x=0},,那家伙也学胡帕的召唤。,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,,,2000,,,,,,,,,,,<1>,,,,真是够分量的对手。,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,,,2000,,,,,,,,,,,<1>,,,,裂空座、拉帝欧斯、拉帝亚斯，请助我们一臂之力！,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,3000,2000,,,,,,,,,,,,3641,{y=-210;x=0},,小知，皮卡，看我来打头阵！,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,,2000,,,,,,,,,,,<1>,,,,好的，交给你了，胡帕。,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,,,2000,,,,,,,,,,,,3641,{y=-210;x=0},,嘻嘻嘻，吓了一跳吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,,,2000,,,,,,,,,,,<1>,,,,不愧是胡帕，真能干！,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,2000,,,,,,,,,,,<1>,,,,裂空座，接下来就看你的了，龙卷风，吹飞敌方吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,2000,,,,,,,,,,,<1>,,,,拉帝欧斯、拉帝亚斯，龙之波动！,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,,2000,,,,,,,,,,,<1>,,,,皮卡丘，用十万伏特克制水系的盖欧卡！,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,,
543,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
551,,,2000,,,,,,,,,,,<1>,,,,皮卡丘，没事吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,2000,,TRUE,,,,,,,,,,92,{y=-100;x=60},,皮卡！,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,,,2000,,,,,,,,,,,<1>,,,,洛奇亚！旋涡风暴，保护一下大家！,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,,,,,,,,,,1,,,,,,,,点击这里选择你需要使用的技能。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
555,,,,,,,,,,1,,,,,,,,选择技能后，点击选择技能的作用目标吧。,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,图鉴洛托姆,,,,,,<UILayer;hitPanel7>,effect/shouyindao.skel,,,,
561,,,2000,,,,,,,,,,,<1>,,,,敌人的攻势越来越猛烈了！,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,,,2000,,,,,,,,,,,<1>,,,,裂空座，让他们见识一下你天空霸主真正的力量吧！画龙点睛！,,,,,,,,,,,,,,,,,,,,,,,,,,,
