变量名,killAddMp1Fix,hpFixedDiscount,normalSpecialCheck,summonSpecialCheck,canAsTurnTarget,killAddMp1,triggerPoint,triggerPointKilledTarget,passiveSkill,passiveSkillKilledTarget,occupiedSeat,needUnitID,hpFormulaDiscount
默认值,1,1,1,1,1,1,{},{},{},{},<0>,,
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
1,,,,,,,,,,,,,
2,,,,,,0,{7=0;8=0;11=0;12=0;13=0;23=0},,{3=0;4=0;5=0;10=0},,,,
3,,,,,0,0,,,,,,,
4,,,,,0,0,,{11=0;15=0},,{10=0},,,
5,,0.4,0,0,,0,,,,,,3623,"findTarget and (less(findTarget:star(),8) and 1 or (findTarget:hasBuff(3623817) and 1 or (not findTarget:hasBuff(3623817) and 0.48 or 1))) or 1"
6,0.334,0.08,0,0,,,,,,,,3623,"findTarget and (less(findTarget:star(),8) and 1 or (findTarget:hasBuff(3623817) and 1 or (not findTarget:hasBuff(3623817) and 0.48 or 1))) or 1"
7,,,0,0,,0,,,,,,3623,"findTarget and (less(findTarget:star(),8) and 1 or (findTarget:hasBuff(3623817) and 1 or (not findTarget:hasBuff(3623817) and 0.48 or 1))) or 1"
8,,,,,0,0,,{11=0;15=0},,{10=0},,2423,
9,,,,,0,0,,{11=0;15=0},,{10=0},,2425,
10,,,,,0,0,,{11=0;15=0},,{10=0},,2422,
11,,,,,0,0,,,,,,1966,
12,,,,,0,0,,{11=0;15=0},,{10=0},,2412,
13,,,,,0,0,,{11=0;15=0},,{10=0},,7016,
14,,0,,,0,0,,,,,,1966,
15,,,,,0,0,,{11=0;15=0},,{10=0},,4111,
16,,,,,0,0,,{11=0;15=0},,{10=0},,,
17,,,,,0,0,,{11=0;15=0},,{10=0},,,
18,,,,,0,0,,{11=0;15=0},,{10=0},,,
19,,,,,0,,,,,,<0>,,
20,,,,,0,0,,{11=0;15=0},,{10=0},,,
21,,,,,0,0,,{11=0;15=0},,{10=0},,,
22,,,,,0,0,,{11=0;15=0},,{10=0},,766,
23,,,,,0,0,,{11=0;15=0},,{10=0},,2381,
24,,,,,0,0,,{11=0;15=0},,{10=0},,2381,
25,,,,,0,0,,{11=0;15=0},,{10=0},,2381,
26,,0,,,0,0,,{11=0;15=0},,,<1>,,
27,,,,,0,,,,,,<2;6>,,
28,,0,,,0,0,,{11=0;15=0},,,,,
29,,,,,0,0,,,,,,,
30,,,,,0,0,,{11=0;15=0},,{10=0},,2362,
