变量名,gateID,_beizhu,itemMap,count,probability,itemCount
默认值,,,{},1,0,1
掉落ID,关卡ID,掉落物品名称,随机掉落物品ID权值数量,掉落次数,掉落物品概率,掉落道具数量
,,,,,,
1,10101,(手游普通关卡随机掉落)(普通1-02)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
2,10102,(手游普通关卡随机掉落)(普通1-03)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
3,10103,(手游普通关卡随机掉落)(普通1-04)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
4,10104,(手游普通关卡随机掉落)(普通1-05)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
5,10105,(手游普通关卡随机掉落)(普通2-01)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
6,10201,(手游普通关卡随机掉落)(普通2-02)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
7,10202,(手游普通关卡随机掉落)(普通2-03)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
8,10203,(手游普通关卡随机掉落)(普通2-04)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
9,10204,(手游普通关卡随机掉落)(普通2-05)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
10,10205,(手游普通关卡随机掉落)(普通2-06)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
11,10206,(手游普通关卡随机掉落)(普通3-01)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
12,10301,(手游普通关卡随机掉落)(普通3-02)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
13,10302,(手游普通关卡随机掉落)(普通3-03)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
14,10303,(手游普通关卡随机掉落)(普通3-04)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
15,10304,(手游普通关卡随机掉落)(普通3-05)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
16,10305,(手游普通关卡随机掉落)(普通3-06)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
17,10306,(手游普通关卡随机掉落)(普通3-07)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
18,10307,(手游普通关卡随机掉落)(普通3-08)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
19,10308,(手游普通关卡随机掉落)(普通4-01)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
20,10401,(手游普通关卡随机掉落)(普通4-02)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
21,10402,(手游普通关卡随机掉落)(普通4-03)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
22,10403,(手游普通关卡随机掉落)(普通4-04)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
23,10404,(手游普通关卡随机掉落)(普通4-05)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
24,10405,(手游普通关卡随机掉落)(普通4-06)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
25,10406,(手游普通关卡随机掉落)(普通4-07)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
26,10407,(手游普通关卡随机掉落)(普通4-08)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
27,10408,(手游普通关卡随机掉落)(普通5-01)(普通关卡),{510=42.1053;11=42.1053;5000=15.7895},5,38,
28,10501,(手游普通关卡随机掉落)(普通5-02)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
29,10502,(手游普通关卡随机掉落)(普通5-03)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
30,10503,(手游普通关卡随机掉落)(普通5-04)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
31,10504,(手游普通关卡随机掉落)(普通5-05)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
32,10505,(手游普通关卡随机掉落)(普通5-06)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
33,10506,(手游普通关卡随机掉落)(普通5-07)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
34,10507,(手游普通关卡随机掉落)(普通5-08)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
35,10508,(手游普通关卡随机掉落)(普通5-09)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
36,10509,(手游普通关卡随机掉落)(普通5-10)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
37,10510,(手游普通关卡随机掉落)(普通6-01)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
38,10601,(手游普通关卡随机掉落)(普通6-02)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
39,10602,(手游普通关卡随机掉落)(普通6-03)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
40,10603,(手游普通关卡随机掉落)(普通6-04)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
41,10604,(手游普通关卡随机掉落)(普通6-05)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
42,10605,(手游普通关卡随机掉落)(普通6-06)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
43,10606,(手游普通关卡随机掉落)(普通6-07)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
44,10607,(手游普通关卡随机掉落)(普通6-08)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
45,10608,(手游普通关卡随机掉落)(普通6-09)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
46,10609,(手游普通关卡随机掉落)(普通6-10)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
47,10610,(手游普通关卡随机掉落)(普通7-01)(普通关卡),{511=16;5000=12;12=8;510=32;11=32},5,50,
48,10701,(手游普通关卡随机掉落)(普通7-02)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
49,10702,(手游普通关卡随机掉落)(普通7-03)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
50,10703,(手游普通关卡随机掉落)(普通7-04)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
51,10704,(手游普通关卡随机掉落)(普通7-05)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
52,10705,(手游普通关卡随机掉落)(普通7-06)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
53,10706,(手游普通关卡随机掉落)(普通7-07)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
54,10707,(手游普通关卡随机掉落)(普通7-08)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
55,10708,(手游普通关卡随机掉落)(普通7-09)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
56,10709,(手游普通关卡随机掉落)(普通7-10)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
57,10710,(手游普通关卡随机掉落)(普通8-01)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
58,10801,(手游普通关卡随机掉落)(普通8-02)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
59,10802,(手游普通关卡随机掉落)(普通8-03)(普通关卡),{511=15.0943;512=3.7736;5000=11.3208;510=30.1887;11=30.1887;12=7.5472;13=1.8868},5,53,
