变量名,name,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,finalDamageSubC,extraSkillList,cardSkinScale,followSpineScale,weight,shinyPos,height,followSpinePos,shiny,cardSpineNeedStar,cardSkinPos,fakePassiveSkillList,shinyRes,mZawakeStatus,unitType,frontPriority,elementalDamageAddC,elementalDamageDeepenC,elementalDamageReduceC,elementalDamageSubC,finalDamageAddC,finalDamageDeepenC,finalDamageReduceC,ignoreDamageSubC,mpAttackRecoverC,mpBeAttackRecoverC,shieldPowerC,skinReplaceIDs,__version
默认值,精灵,,1,1,,FALSE,<>,{y=300;x=250},1000,0,,0,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1,{y=0;x=0},koudai_pikaqiu/pikaqiu.skel,,config/big_hero/standby/img_791_sejlo@.png,1.4,{y=0;x=100},<>,<>,,,{namePos={y=320;x=0};headPos={y=280;x=0};hitPos={y=160;x=0};lifePos={y=320;x=0}},1,{},0,2,1,1,2,1,1,,,0,,0,{},{},{},{},{},1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,{y=0;x=0},1,0,<>,2,1.1,0,{y=0;x=0},0,{y=0;x=0},FALSE,12,{y=0;x=0},<>,,<0;0;0;0>,0,10,0,0,0,0,0,0,0,0,0,0,0,{},
ID,角色名,属性类型,修正稀有度,自然属性,第二自然属性,双属性标记,战斗内标记,点击区域,BOSS索引卡牌信息,boss血条数,卡牌/怪物卡牌ID,星级,攻击序列头像,精灵头像,精灵半身图,简化图标,精灵背包卡牌立绘,卡牌立绘缩放,卡牌立绘偏移,资源,皮肤,精灵待机立绘资源,技能半身像截取缩放,技能半身像位置偏移,被动类技能序列,技能序列,合体技目标,合体技技能,各个位置点,血条缩放,ui层特效,击杀mp1恢复,缩放,战斗中缩放修正,修正模式1调整且修正偏移2对技能缩放不影响,养成界面缩放,缩放,皮肤动画缩放,出生时间,复活时间,死亡动画播放时间,死亡音效,单位战斗力,触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,血量成长,速度成长,攻击力成长,特殊攻击力成长,防御力成长,特殊防御力成长,血量基础加成,速度基础加成,物理伤害基础加成,物理防御基础加成,特殊攻击基础加成,特殊防御基础加成,HP修正,MP1修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,物理攻击修正,特殊攻击修正,物理防御力修正,特殊防御力修正,物理防御忽视修正,特殊防御忽视修正,先手值修正,会心一击修正,会心一击伤害修正,会心一击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避修正,命中修正,伤害闪避修正,伤害命中修正,伤害加成修正,伤害减免修正,必杀加成修正,必杀抗性修正,伤害加深,伤害降低,吸血修正,反弹修正,治疗效果修正,属性克制修正,控制率,免控率,效果限制ID,召唤物参与伤害计算,新增,新增,新增,新增,额外技能序列,新增,新增,新增,新增,新增,新增,闪光控制,新增,新增,fake被动类技能序列,新增,新增,新增,新增,elementalDamageAddC,elementalDamageDeepenC,elementalDamageReduceC,elementalDamageSubC,finalDamageAddC,finalDamageDeepenC,finalDamageReduceC,ignoreDamageSubC,mpAttackRecoverC,mpBeAttackRecoverC,shieldPowerC,skinReplaceIDs,__version
1,妙蛙种子,base,2,4,8,,<10011>,,,,1,,config/portrait/speedranktouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang1/img_1_mwzz@.png,config/portrait/simple/img_1_mwzz@.png,config/big_hero/normal/img_1_mwzz@.png,1.4,{x=130;y=-30},koudai_miaowazhongzi/hero_miaowazhongzi.skel,,config/big_hero/standby/img_1_mwzz@.png,,{x=60;y=0},,<11;12;13>,,,{headPos={y=190;x=0};hitPos={y=105;x=0};lifePos={y=230;x=0};namePos={y=230;x=0}},,,,2.1,,,1.32,,,,,,,,,,,,,42.404,1.017,9.212,9.532,3.692,3.82,1.13,1.13,1.15,1.15,1.19,1.19,886,1000,400,,,,202,253,95,115,0,0,29,,15000,150,,,3000,,,,,150,300,,,,,,,,,,,,,,,,,,,0.9,6.9,,0.7,{x=22;y=20},,,,<16>,,,2,,,,,,,,,,,,,,
2,妙蛙草,base,2,4,8,,<10011>,,,,2,,config/portrait/speedranktouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang1/img_2_mwc@.png,config/portrait/simple/img_2_mwc@.png,config/big_hero/normal/img_2_mwc@.png,1.2,{x=40;y=70},koudai_miaowacao/hero_miaowacao.skel,,config/big_hero/standby/img_2_mwc@.png,,{x=60;y=0},,<21;22;23>,,,{headPos={y=210;x=0};hitPos={y=115;x=0};lifePos={y=250;x=0};namePos={y=250;x=0}},,,,2.1,,,1.2,,,,,,,,,,,,,44.28,1.062,9.452,9.932,3.82,3.98,1.18,1.18,1.18,1.19,1.24,1.24,1057,1000,400,,,,231,291,107,129,0,0,34,,15000,150,,,3000,,,,,150,300,,,,,,,,,,,,,,,,,,,,13,,1,{x=-25;y=30},,,,<26>,,,2,,,,,,,,,,,,,,
3,妙蛙花,base,2,4,8,,<10011>,,,,3,,config/portrait/speedranktouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang1/img_3_mwh@.png,config/portrait/simple/img_3_mwh@.png,config/big_hero/normal/img_3_mwh@.png,,{x=-10;y=20},koudai_miaowahua/hero_miaowahua.skel,,config/big_hero/standby/img_3_mwh@.png,,{x=60;y=0},,<31;32;33>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,46.532,1.116,9.932,10.413,4.013,4.173,1.24,1.24,1.24,1.25,1.3,1.3,1361,1000,400,,,,296,361,133,157,0,0,42,,15000,150,,,3000,,,,,150,300,,,,,,,,,,,,,,,,,,,,100,,2,{x=11;y=30},,,,<36>,,,2,,,,,,,,,,,,,,
4,超级妙蛙花,base,3,4,8,,<10011>,,,,4,,config/portrait/speedranktouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang1/img_3_cjmwh@.png,config/portrait/simple/img_3_cjmwh@.png,config/big_hero/normal/img_3_cjmwh@.png,1.4,{x=40;y=90},koudai_miaowahuamega/hero_miaowahuamega.skel,,config/big_hero/standby/img_3_cjmwh@.png,,{x=60;y=0},,<41;42;43>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,1.9,,,1.3,,,,,,,,,,,,,49.909,1.197,11.134,11.695,4.719,4.687,1.33,1.33,1.39,1.47,1.46,1.46,1684,1000,400,,,,440,537,237,232,0,0,49,,15000,500,500,,3000,,,,,300,700,,,,,,,,,,,,,,,,,,,,100,,2,{x=14;y=30},,,,<46>,,,2,,,,,,,,,,,,,,
11,小火龙,base,2,2,,,<10011>,,,,11,,config/portrait/speedranktouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang1/img_4_xhl@.png,config/portrait/simple/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,,,koudai_xiaohuolong/hero_xiaohuolong.skel,,config/big_hero/standby/img_4_xhl@.png,,{x=50;y=-40},,<111;112;113>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.4,,,1.4,,,,,,,,,,,,,42.029,1.071,9.212,9.452,3.627,3.692,1.12,1.19,1.15,1.13,1.18,1.15,844,1000,400,,,,211,248,87,96,0,0,36,200,15000,,,200,3000,,,,,200,,,,,,,,,,,,,,,,,,,,0.95,8.5,,0.6,{x=-54;y=30},,,,<116>,,,3,,,,,,,,,,,,,,
12,火恐龙,base,2,2,,,<10011>,,,,12,,config/portrait/speedranktouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang1/img_5_hkl@.png,config/portrait/simple/img_5_hkl@.png,config/big_hero/normal/img_5_hkl@.png,1.1,{x=30;y=0},koudai_huokonglong/hero_huokonglong.skel,,config/big_hero/standby/img_5_hkl@.png,,{x=50;y=-40},,<121;122;123>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,,,,1.2,,,,,,,,,,,,,43.905,1.116,9.532,9.932,3.756,3.82,1.17,1.24,1.19,1.17,1.24,1.19,1026,1000,400,,,,238,291,101,109,0,0,42,200,15000,,,200,3000,,,,,200,,,,,,,,,,,,,,,,,,,,0.98,19,,1.1,{x=-54;y=30},,,,<126>,,,3,,,,,,,,,,,,,,
13,喷火龙,base,2,2,10,,<10011>,,,,13,,config/portrait/speedranktouxiang/img_6_phl@.png,config/portrait/jinglingtouxiang/img_6_phl@.png,config/portrait/jinglingtouxiang1/img_6_phl@.png,config/portrait/simple/img_6_phl@.png,config/big_hero/normal/img_6_phl@.png,1.1,{x=35;y=40},koudai_penhuolong/hero_penhuolong.skel,,config/big_hero/standby/img_6_phl@.png,,{x=50;y=-120},,<131;132;133>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.4,,,1.44,,,,,,,,,,,,,46.156,1.17,10.013,10.573,3.948,4.013,1.23,1.3,1.25,1.23,1.32,1.25,1326,1000,400,,,,304,393,126,136,0,0,50,200,15000,,,200,3000,,,,,200,,,,,,,,,,,,,,,,,,,,,90.5,,1.7,{x=-54;y=30},,,,<136>,,,3,,,,,,,,,,,,,,
14,超级喷火龙X,base,3,2,15,,<10011>,,,,14,,config/portrait/speedranktouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,config/portrait/simple/img_6_cjphlx@.png,config/big_hero/normal/img_6_cjphlx@.png,,{x=-45;y=20},koudai_penhuolongmegax/hero_penhuolongmegax.skel,,config/big_hero/standby/img_6_cjphlx@.png,,{x=50;y=-120},,<141;142;143>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.2,,,1.3,,,,,,,,,,,,,49.534,1.251,11.935,11.935,4.59,4.301,1.32,1.39,1.49,1.43,1.49,1.34,1644,1000,400,,,,576,576,215,171,0,0,58,700,15000,,,500,3000,,,,,700,100,,,,,,,,,,,,,,,,,<147>,,,90.5,,1.7,{x=41;y=30},,,,<146>,,,3,,,,,,,,,,,,,,
