变量名,name,isWorldEnter,chapterType,res,baseMap,describe,ownerId,openLevel,seq,heroMapId,nightmareMapId,starAwardConds,starAwardIDs
默认值,"""""",FALSE,,,,,,,<>,,,,
ID,名称,是否是世界入口点,章节类型1:普通2:精英3:噩梦,资源,场景地图,描述,所属世界,开放等级,索引序列,开启精英,开启噩梦,星级奖励数量序列,星级奖励ID序列
1,入口索引！必须填,TRUE,,SJDT_1.json,,,,1,<11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41>,,,,
11,真新镇,,1,GKDT_ptgk1.json,city/gate/map/img_zxz.png,,1,1,<10101;10102;10103;10104;10105>,111,211,<0;6;15>,<0;1111;1112>
12,神秘部落,,1,GKDT_ptgk2.json,city/gate/map/img_smbl.png,,1,1,<10201;10202;10203;10204;10205;10206>,112,212,<0;9;18>,<0;1121;1122>
13,废弃城市,,1,GKDT_ptgk3.json,city/gate/map/img_fqcs.png,,1,1,<10301;10302;10303;10304;10305;10306;10307;10308>,113,213,<8;16;24>,<1131;1132;1133>
14,度假岛,,1,GKDT_ptgk4.json,city/gate/map/img_djd.png,,1,1,<10401;10402;10403;10404;10405;10406;10407;10408>,114,214,<8;16;24>,<1141;1142;1143>
15,砂石镇,,1,GKDT_ptgk5.json,city/gate/map/img_xbxz.png,,1,1,<10501;10502;10503;10504;10505;10506;10507;10508;10509;10510>,115,215,<10;20;30>,<1151;1152;1153>
16,雪原,,1,GKDT_ptgk6.json,city/gate/map/img_spcj.png,,1,26,<10601;10602;10603;10604;10605;10606;10607;10608;10609;10610>,116,216,<10;20;30>,<1161;1162;1163>
17,波尼岛,,1,GKDT_ptgk7.json,city/gate/map/img_bnd.png,,1,30,<10701;10702;10703;10704;10705;10706;10707;10708;10709;10710>,117,217,<10;20;30>,<1171;1172;1173>
18,乌拉乌拉岛,,1,GKDT_ptgk8.json,city/gate/map/img_gbxs.png,,1,33,<10801;10802;10803;10804;10805;10806;10807;10808;10809;10810>,118,218,<10;20;30>,<1181;1182;1183>
19,阿卡拉岛,,1,GKDT_ptgk9.json,city/gate/map/img_akld.png,,1,37,<10901;10902;10903;10904;10905;10906;10907;10908;10909;10910>,119,219,<10;20;30>,<1191;1192;1193>
20,美乐美乐岛,,1,GKDT_ptgk10.json,city/gate/map/img_mlmld.png,,1,40,<11001;11002;11003;11004;11005;11006;11007;11008;11009;11010>,120,220,<10;20;30>,<1201;1202;1203>
21,训练家学校,,1,GKDT_ptgk11.json,city/gate/map/img_alldqxx.png,,1,45,<11101;11102;11103;11104;11105;11106;11107;11108;11109;11110>,121,221,<10;20;30>,<1211;1212;1213>
22,好奥乐市,,1,GKDT_ptgk12.json,city/gate/map/img_llajdhz.png,,1,50,<11201;11202;11203;11204;11205;11206;11207;11208;11209;11210>,122,222,<10;20;30>,<1221;1222;1223>
23,对战开拓区,,1,GKDT_ptgk13.json,city/gate/map/img_dzktq.png,,1,55,<11301;11302;11303;11304;11305;11306;11307;11308;11309;11310>,123,223,<10;20;30>,<1231;1232;1233>
24,圆朱市,,1,GKDT_ptgk13.json,city/gate/map/img_yzs.png,,1,60,<11401;11402;11403;11404;11405;11406;11407;11408;11409;11410>,124,224,<10;20;30>,<1241;1242;1243>
