变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap5,costItemMap4
默认值,{},{},{},{},{}
ID,默认值,默认值,默认值,默认值,默认值
1,{850=180;851=80;gold=300000},{850=180;851=80;gold=300000},{850=180;851=80;gold=300000},{850=180;851=80;gold=300000},{850=180;851=80;gold=300000}
2,{850=189;851=84;gold=330000},{850=189;851=84;gold=330000},{850=189;851=84;gold=330000},{850=189;851=84;gold=330000},{850=189;851=84;gold=330000}
3,{850=198;851=88;gold=360000},{850=198;851=88;gold=360000},{850=198;851=88;gold=360000},{850=198;851=88;gold=360000},{850=198;851=88;gold=360000}
4,{850=207;851=92;gold=390000},{850=207;851=92;gold=390000},{850=207;851=92;gold=390000},{850=207;851=92;gold=390000},{850=207;851=92;gold=390000}
5,{850=216;851=96;gold=420000},{850=216;851=96;gold=420000},{850=216;851=96;gold=420000},{850=216;851=96;gold=420000},{850=216;851=96;gold=420000}
6,{850=225;851=100;gold=450000},{850=225;851=100;gold=450000},{850=225;851=100;gold=450000},{850=225;851=100;gold=450000},{850=225;851=100;gold=450000}
7,{850=234;851=104;gold=480000},{850=234;851=104;gold=480000},{850=234;851=104;gold=480000},{850=234;851=104;gold=480000},{850=234;851=104;gold=480000}
8,{850=243;851=108;gold=510000},{850=243;851=108;gold=510000},{850=243;851=108;gold=510000},{850=243;851=108;gold=510000},{850=243;851=108;gold=510000}
9,{850=252;851=112;gold=540000},{850=252;851=112;gold=540000},{850=252;851=112;gold=540000},{850=252;851=112;gold=540000},{850=252;851=112;gold=540000}
10,{850=261;851=116;gold=570000},{850=261;851=116;gold=570000},{850=261;851=116;gold=570000},{850=261;851=116;gold=570000},{850=261;851=116;gold=570000}
11,{850=270;851=120;gold=600000},{850=270;851=120;gold=600000},{850=270;851=120;gold=600000},{850=270;851=120;gold=600000},{850=270;851=120;gold=600000}
12,{850=279;851=124;gold=630000},{850=279;851=124;gold=630000},{850=279;851=124;gold=630000},{850=279;851=124;gold=630000},{850=279;851=124;gold=630000}
13,{850=288;851=128;gold=660000},{850=288;851=128;gold=660000},{850=288;851=128;gold=660000},{850=288;851=128;gold=660000},{850=288;851=128;gold=660000}
14,{850=297;851=132;gold=690000},{850=297;851=132;gold=690000},{850=297;851=132;gold=690000},{850=297;851=132;gold=690000},{850=297;851=132;gold=690000}
15,{850=306;851=136;gold=720000},{850=306;851=136;gold=720000},{850=306;851=136;gold=720000},{850=306;851=136;gold=720000},{850=306;851=136;gold=720000}
