变量名,day,reward
默认值,999,
签到ID,签到天数,奖励
1,3,{rmb=30000;gold=666666;15=10}
2,6,{rmb=30000;gold=666666;15=10}
3,10,{rmb=30000;gold=666666;15=10}
4,15,{rmb=30000;gold=666666;15=10}
5,20,{rmb=30000;gold=666666;15=10}
6,30,{rmb=30000;gold=666666;15=10}
7,40,{rmb=30000;gold=666666;15=10}
8,50,{rmb=30000;gold=666666;15=10}
9,60,{rmb=30000;gold=666666;15=10}
10,70,{rmb=30000;gold=666666;15=10}
11,80,{rmb=30000;gold=666666;15=10}
12,90,{rmb=30000;gold=666666;15=10}
13,100,{rmb=30000;gold=666666;15=10}
14,110,{rmb=30000;gold=666666;15=10}
15,120,{rmb=30000;gold=666666;15=10}
16,130,{rmb=30000;gold=666666;15=10}
17,140,{rmb=30000;gold=666666;15=10}
18,150,{rmb=30000;gold=666666;15=10}
19,160,{rmb=30000;gold=666666;15=10}
20,170,{rmb=30000;gold=666666;15=10}
21,180,{rmb=30000;gold=666666;15=10}
22,190,{rmb=30000;gold=666666;15=10}
23,200,{rmb=30000;gold=666666;15=10}
24,210,{rmb=30000;gold=666666;15=10}
25,220,{rmb=30000;gold=666666;15=10}
26,230,{rmb=30000;gold=666666;15=10}
27,240,{rmb=30000;gold=666666;15=10}
28,250,{rmb=30000;gold=666666;15=10}
29,260,{rmb=30000;gold=666666;15=10}
30,270,{rmb=30000;gold=666666;15=10}
31,280,{rmb=30000;gold=666666;15=10}
32,290,{rmb=30000;gold=666666;15=10}
33,300,{rmb=30000;gold=666666;15=10}
34,310,{rmb=30000;gold=666666;15=10}
35,320,{rmb=30000;gold=666666;15=10}
36,330,{rmb=30000;gold=666666;15=10}
37,340,{rmb=30000;gold=666666;15=10}
38,350,{rmb=30000;gold=666666;15=10}
39,360,{rmb=30000;gold=666666;15=10}
40,370,{rmb=30000;gold=666666;15=10}
41,380,{rmb=30000;gold=666666;15=10}
42,390,{rmb=30000;gold=666666;15=10}
43,400,{rmb=30000;gold=666666;15=10}
44,410,{rmb=30000;gold=666666;15=10}
45,420,{rmb=30000;gold=666666;15=10}
46,430,{rmb=30000;gold=666666;15=10}
47,440,{rmb=30000;gold=666666;15=10}
48,450,{rmb=30000;gold=666666;15=10}
49,460,{rmb=30000;gold=666666;15=10}
50,470,{rmb=30000;gold=666666;15=10}
51,480,{rmb=30000;gold=666666;15=10}
52,490,{rmb=30000;gold=666666;15=10}
53,500,{rmb=30000;gold=666666;15=10}
54,510,{rmb=30000;gold=666666;15=10}
55,520,{rmb=30000;gold=666666;15=10}
56,530,{rmb=30000;gold=666666;15=10}
57,540,{rmb=30000;gold=666666;15=10}
58,550,{rmb=30000;gold=666666;15=10}
59,560,{rmb=30000;gold=666666;15=10}
60,570,{rmb=30000;gold=666666;15=10}
61,580,{rmb=30000;gold=666666;15=10}
62,590,{rmb=30000;gold=666666;15=10}
63,600,{rmb=30000;gold=666666;15=10}
64,610,{rmb=30000;gold=666666;15=10}
65,620,{rmb=30000;gold=666666;15=10}
66,630,{rmb=30000;gold=666666;15=10}
67,640,{rmb=30000;gold=666666;15=10}
68,650,{rmb=30000;gold=666666;15=10}
69,660,{rmb=30000;gold=666666;15=10}
70,670,{rmb=30000;gold=666666;15=10}
71,680,{rmb=30000;gold=666666;15=10}
72,690,{rmb=30000;gold=666666;15=10}
73,700,{rmb=30000;gold=666666;15=10}
74,710,{rmb=30000;gold=666666;15=10}
75,720,{rmb=30000;gold=666666;15=10}
76,730,{rmb=30000;gold=666666;15=10}
77,740,{rmb=30000;gold=666666;15=10}
78,750,{rmb=30000;gold=666666;15=10}
79,760,{rmb=30000;gold=666666;15=10}
80,770,{rmb=30000;gold=666666;15=10}
81,780,{rmb=30000;gold=666666;15=10}
82,790,{rmb=30000;gold=666666;15=10}
83,800,{rmb=30000;gold=666666;15=10}
84,810,{rmb=30000;gold=666666;15=10}
85,820,{rmb=30000;gold=666666;15=10}
86,830,{rmb=30000;gold=666666;15=10}
87,840,{rmb=30000;gold=666666;15=10}
88,850,{rmb=30000;gold=666666;15=10}
89,860,{rmb=30000;gold=666666;15=10}
90,870,{rmb=30000;gold=666666;15=10}
91,880,{rmb=30000;gold=666666;15=10}
92,890,{rmb=30000;gold=666666;15=10}
93,900,{rmb=30000;gold=666666;15=10}
94,910,{rmb=30000;gold=666666;15=10}
95,920,{rmb=30000;gold=666666;15=10}
