变量名,变量名,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control,__version
默认值,默认值,,,,,,,,{interval=0;count=1;beginT=0;disx=15;disy=20;isRepeat=TRUE;endT=100},,,,,,,,,,TRUE,,,
ID,ID,spine里的eventID,技能过程名,延迟,音效（废弃）,伤害分段,加血分段,伤害或加血时间间隔,震动,背景音乐,调整目标的层级，格式：<{delay=0;zorder=999;lastTime=500};{}> zorder：可正可负.层级值越大，层级越接近玩家的眼睛位置.lastTime：持续时间，配置该字段，一段时间后会自动恢复原来的层级. 示例： <{delay=0;zorder=-999;lastTime=2000};{}>,移动（teamClose=per，让目标往中间靠拢，per是靠近的比例值，原始距离为目前和它周围的几个目标的间距）,显示隐藏,特效类型（0-播放本体spine动作; 1-以res为资源路径创建新的特效）,特效资源或动作名.对应到前面的effectType字段，如果是动作，填对应的动作名.如果是创建新资源，填特效资源路径 lugushou/qietu.skel,特效参数是对新创建资源才有效的参数.配置格式： {offsetX=0;offsetY=0;delay=2000;addTolayer=-1;zorder=6;aniName=genggui_skill2;aniLoop=false;lastTime=60000;screenPos=0} delay表示延迟时间，和其它字段的一样. addToLayer 有两个值，1表示在 角色上层， -1表示在角色下层.默认可以不填，放在下层;offsetxy相对目标的位置偏移/zorder层级(0代表目标本身那层，直接填0会在目标上层显示.值越大层越靠近玩家眼睛)/flytime飞行时间(可以让特效飞行的)/flyXY飞行距离偏移/存活时间 （时间单位都是ms),相关的其他帧事件id组，不能填自己，或者互相调用,跟随骨骼：{bones=<Hitman_move;Hitman_move1;Hitman_move2>},仅显示本次过程段中的目标,大招跳过,单位身上挂件{lifeBar:血条},__version
90,,90,,1000,,,,,,,,,,,,,,,,TRUE,,
91,,91,,,,,,,,,,,,,,,,,,,,
100,,99999999,,,,,,,,,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
111,,1001,,,,<0.5;0.5>,,<0;166.6>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
121,,1003,,,,<0.3;0.3;0.4>,,<0;200;200>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
131,,1006,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;1433;133;133;166;166;200>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
132,,1091,,,,,,,,,<{zorder=999;delay=0;lastTime=9999}>,<{t=0;absX=1680;absY=680;delay=0};{t=80;absX=1000;absY=880;delay=2280};{t=0;absX=1350;absY=-500;delay=2420;scale=1.4};{t=170;absX=1350;absY=700;delay=2460;scale=1.4};{t=900;absX=1350;absY=800;rot=5;delay=2620;scale=0.8}>,<{hide=TRUE;delay=825;lastTime=800};{hide=TRUE;delay=2420;lastTime=100}>,,,,<90;1092>,,,,,
133,,1092,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;zorder=1;offsetX=-350;lastTime=4833.3;aniLoop=FALSE;aniName=miaowazhongzi_skill2;offsetY=-350;scale=1},,,,,,
211,,2001,,,,<0.5;0.5>,,<0;133.3>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
221,,2003,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;100>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
231,,2008,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;333;1433;533;333;333>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
232,,2091,,,,,,,,,,<{t=0;absX=1700;absY=600;delay=0;scale=1.2}>,<{hide=TRUE;delay=0;lastTime=4500}>,,,,<90;2092>,,,,,
233,,2092,,,,,,,,,,,,1,koudai_beijing/moren_bj.skel,{screenPos=0;addTolayer=-1;zorder=1;offsetX=0;lastTime=8166.6;aniLoop=FALSE;aniName=miaowacao_skill2;offsetY=0;scale=1},,,,,,
311,,3001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
321,,3002,,,,<0.3;0.3;0.4>,,<0;466.6;833.3>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
331,,3005,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;100;100;100;100;100;100;100;100;100>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
