变量名,type,background,icon,rTitle,zrTitleBg,zrTitle,ruleJson,huodongType,name,desc,openTimeDesc,paramMap,gateSeq,gateSeq2,gateLimitSeq,times,openLevel,openType,beginDate,beginTime,endDate,endTime,openWeekDay,openDuration,awardDesc,intervalCD,sortValue,rankShow,languages,showLevel,openTJType
默认值,"""""",YXKPT/wuseer.png,ICON/SL-exp.png,ICON/SL-exp.png,"""""",ICON/SL-exp.png,ICON/SL-exp.png,0,,,,{},<>,<>,<>,1,1,1,20160101,0,20300101,0,<1;2;3;4;5;6;7>,1,<>,0,,,<cn;tw;en;vn;th;kr>,1,2
ID,唯一标识,活动图标,活动图标2,活动title,活动title,活动title,活动规则对应json,活动关卡类型1:金币2:经验3:幻象4:攻防技,名称,活动简介,活动开放日期简介,活动参数,活动关卡序列1,活动关卡序列2,极限模式,周期内可挑战次数,开放等级,开放周期,开始日期,开始时间,截止日期,结束时间,周期开启序列(周期活动填),持续小时,活动奖励序列,冷却时间,显示等级,战斗评价节点,语言区域,新增,新增
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,gold,city/adventure/selectgate/img_bg1.png,city/adventure/selectgate/img_jbfb@.png,00ShuMa/TZFB_res/tz_word_titlejb.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/tz_word_titlejb.png,TZFB_GZ_JB_ui.json,1,金币副本,可获取大量金币道具,每天开放,,<60001;60002;60003;60004;60005;60006;60007>,,<60010;60011;60012;60013;60014;60015;60016;60017;60018;60019;60020;60021;60022;60023;60024;60025;60026;60027;60028;60029;60030;60031;60032;60033;60034;60035;60036;60037;60038;60039;60040;60041;60042;60043;60044;60045;60046;60047;60048;60049;60050;60051;60052;60053;60054;60055;60056;60057;60058;60059>,2,18,,,500,,500,<1;2;3;4;5;6;7>,24,<510;511;512;513;514>,600,2,<35;70;85;100>,,,2
2,exp,city/adventure/selectgate/img_bg2.png,city/adventure/selectgate/img_ds@.png,00ShuMa/TZFB_res/tz_word_titlejy.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/tz_word_titlejy.png,TZFB_GZ_JY_ui.json,2,经验副本,可获取大量经验药水,每天开放,,<60101;60102;60103;60104;60105;60106;60107>,,<60110;60111;60112;60113;60114;60115;60116;60117;60118;60119;60120;60121;60122;60123;60124;60125;60126;60127;60128;60129;60130;60131;60132;60133;60134;60135;60136;60137;60138;60139;60140;60141;60142;60143;60144;60145;60146;60147;60148;60149;60150;60151;60152;60153;60154;60155;60156;60157;60158;60159>,2,26,,,500,,500,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,3,<7;14;17;20>,,,2
3,gift,city/adventure/selectgate/img_bg3.png,city/adventure/selectgate/img_lwfb@.png,00ShuMa/TZFB_res/huanxiang.png,,00ShuMa/TZFB_res/hx_title.png,TZFB_GZ_HX_ui.json,3,礼物副本,可获得好感度礼物,每天开放,,<60201;60202;60203;60204;60205;60206;60207>,<60251;60252;60253;60254;60255;60256;60257>,,2,30,,,500,,500,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,4,,,,2
4,frag,city/adventure/selectgate/img_bg4.png,city/adventure/selectgate/img_spfb@.png,00ShuMa/TZFB_res/gongfang.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/gongfang.png,TZFB_GZ_GFJ_ui.json,4,碎片副本,可获得礼物和碎片,每天开放,,,,,2,36,,,500,,500,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,5,,,,2
5,event,city/adventure/selectgate/img_bg5.png,city/adventure/selectgate/img_wyfb.png,,,,,5,卡比兽挑战,可获取卡比兽碎片,五一活动期间开放,,<60601;60602;60603;60604;60605;60606>,,,3,24,,20200501,500,20200508,500,<1;2;3;4;5;6;7>,168,<510;511;512;513;514>,600,1,,<cn>,,0
7,event,city/adventure/selectgate/img_bg7.png,city/adventure/selectgate/img_ldjfb.png,,,,,5,劳动节挑战,可获取化石翼龙碎片,五一活动期间开放,,<60801;60802;60803;60804;60805;60806>,,,3,24,,20210430,500,20210510,500,<1;2;3;4;5;6;7>,240,<510;511;512;513;514>,600,1,,<cn>,,0
8,event,city/adventure/selectgate/img_bg8.png,city/adventure/selectgate/img_gqhdfb.png,,,,,5,灼热的焰猴,可获取小火焰猴碎片,十一活动期间开放,{fbwkRes=city/adventure/activityselect/img_rcfb_gqwk@.png;tipsRes=city/main/tips_yslyh.png},<60901;60902;60903;60904;60905;60906>,,,3,24,,20210930,500,20211011,500,<1;2;3;4;5;6;7>,264,<510;511;512;513;514>,600,1,,<cn>,,0
