变量名,beginDate,beginTime,endDate,endTime,clientParam
默认值,20160101,500,20250101,500,{}
ID,开始日期,开始时间,截止日期,截止时间,客户端需要参数
,,,,,
1,20200116,,20200214,,{loginSpine=login/chunjiedenglu.skel}
2,20200426,,20200809,,{loginSpine=login/51denglutu.skel}
3,20200810,,20201027,,{loginSpine=login/denglu_qiuji.skel}
4,20201028,,20201217,,{loginSpine=login/wsj_denglu.skel}
5,20201216,,20210101,,{loginSpine=login/changjing.skel}
6,20210102,,20210301,,{loginSpine=login/znqdl.skel}
7,20210326,,20210405,,{loginSpine=login/xjyd.skel}
8,20210501,,20210701,,{loginSpine=login/login.skel}
9,20210701,,20210901,,{loginSpine=login/znqdl2.skel}
10,20211025,,20211112,,{loginSpine=login/juese.skel}
11,20211111,,20211221,,{loginSpine=login/znqdl3.skel}
12,20211221,,20220322,,{loginSpine=login/znqdl4.skel}
13,20220127,,20220322,,{loginSpine=login/wsj_denglu.skel;cityVideo=wsj.mp4}
14,20220224,,20220322,,{loginSpine=login/changjing.skel;cityVideo=sdj.mp4;cityVideoTimes=4}
15,20220322,,20220404,,{loginSpine=login/chunjiedenglu.skel;cityVideo=chunjie.mp4;cityVideoTimes=5}
16,20220322,,20220404,,{loginSpine=login/yugaodonghua/shengdan.skel}
17,20220322,,20211112,,{loginSpine=login/xjyd.skel}
18,20220322,,20270101,,{loginSpine=login/djdl.skel}
