变量名,costTalent1,costGold6,costTalent6,costGold2,costGold5,costTalent7,costGold7,costTalent10,costTalent11,costTalent2,costTalent4,costTalent3,costGold12,costGold8,costGold3,costTalent12,costGold1,costTalent9,costGold4,costTalent5,costGold11,costTalent8,costGold10,costGold9
默认值,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
等级,消耗天赋点1,消耗金币1,消耗天赋点2,消耗金币2,消耗天赋点3,消耗金币3,消耗天赋点4,消耗金币4,消耗天赋点5,消耗金币5,消耗天赋点6,消耗金币6,消耗天赋点7,消耗金币7,消耗天赋点8,消耗金币8,消耗天赋点9,消耗金币9,消耗天赋点10,消耗金币10,消耗天赋点11,消耗金币11,消耗天赋点12,消耗金币12
,,,,,,,,,,,,,,,,,,,,,,,,
0,2,30000,4,20000,30000,5,30000,5,6,2,4,3,600000,30000,20000,6,5000,4,20000,3,60000,6,60000,60000
1,2,30000,4,20000,30000,5,30000,5,6,2,4,3,600000,30000,20000,6,10000,4,20000,3,120000,6,120000,120000
2,2,60000,4,30000,60000,5,60000,5,6,2,4,3,600000,60000,30000,6,20000,4,30000,3,200000,6,200000,200000
3,3,80000,5,40000,80000,6,80000,6,7,3,5,4,720000,80000,40000,7,30000,5,40000,4,300000,7,300000,300000
4,3,100000,5,50000,100000,6,100000,6,7,3,5,4,720000,100000,50000,7,30000,5,50000,4,400000,7,400000,400000
5,4,120000,6,60000,120000,7,120000,7,8,4,6,5,720000,120000,60000,7,40000,6,60000,5,500000,8,500000,500000
6,4,160000,6,80000,160000,7,160000,7,8,4,6,5,840000,160000,80000,8,40000,6,80000,5,600000,8,600000,600000
7,5,200000,7,100000,200000,8,200000,8,9,5,7,6,840000,200000,100000,8,60000,7,100000,6,700000,9,700000,700000
8,5,250000,7,120000,250000,8,250000,8,9,5,7,6,840000,250000,120000,8,80000,7,120000,6,800000,9,800000,800000
9,6,300000,8,150000,300000,9,300000,9,10,6,8,7,960000,300000,150000,9,100000,8,150000,7,1000000,10,1000000,1000000
10,6,300000,8,150000,300000,9,300000,9,10,6,8,7,960000,300000,150000,9,100000,8,150000,7,1000000,10,1000000,1000000
11,,350000,9,,350000,10,350000,10,11,,,,1200000,350000,,10,,9,,8,1200000,11,1200000,1200000
12,,350000,9,,350000,10,350000,10,11,,,,1200000,350000,,10,,9,,8,1200000,11,1200000,1200000
13,,400000,10,,400000,11,400000,11,12,,,,1500000,400000,,11,,10,,9,1500000,12,1500000,1500000
14,,450000,10,,450000,11,450000,11,12,,,,1500000,450000,,11,,10,,9,1500000,12,1500000,1500000
15,,500000,11,,500000,12,500000,12,13,,,,2000000,500000,,12,,11,,10,2000000,13,2000000,2000000
16,,,,,,,,12,13,,,,2000000,,,12,,11,,,2000000,,2000000,2000000
17,,,,,,,,13,14,,,,2500000,,,13,,12,,,2500000,,2500000,2500000
18,,,,,,,,13,14,,,,2500000,,,13,,12,,,2500000,,2500000,2500000
19,,,,,,,,14,15,,,,3000000,,,14,,13,,,3000000,,3000000,3000000
20,,,,,,,,14,15,,,,3000000,,,14,,13,,,3000000,,3000000,3000000
21,,,,,,,,15,16,,,,4000000,,,15,,14,,,4000000,,4000000,4000000
22,,,,,,,,15,16,,,,4000000,,,15,,14,,,4000000,,4000000,4000000
23,,,,,,,,16,17,,,,5000000,,,16,,15,,,5000000,,5000000,5000000
24,,,,,,,,16,17,,,,5000000,,,16,,15,,,5000000,,5000000,5000000
25,,,,,,,,17,18,,,,6000000,,,17,,16,,,6000000,,6000000,6000000
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,
