变量名,name,preTalentLevel,attrNum1,costID,roleLevel,attrAddDesc2,attrAddDesc1,attrDesc,levelUp,attrNum2,damageRelation1,damageRelation2,languages,attrType2,icon,preTalentID,attrType1,addType2,natureType2,natureType1,treeID,headIcon,addType1
默认值,,0,"""""",1,1,所有精灵家攻击力增加,所有精灵生命值增加,提升所有精灵的生命值、攻击力,10,"""""",<>,<>,<cn>,,,,,,,,,,
ID,名称,前置天赋等级,属性数值1,消耗ID,角色等级,属性增加描述2,属性增加描述1,属性描述,升级,属性数值2,伤害关系1,伤害关系2,语言,属性类型2,图标,前置天赋ID,属性类型1,加成类型2,自然属性2,自然属性1,天赋树ID,头部图标,加成类型1
,,,,,,,,,,,,,,,,,,,,,,,
100,基础天赋,,200,,25,速度增加,生命增加,提升所有精灵的生命和速度,,10,,,,13,city/develop/talent/icon_smz.png,,1,3,,,1,,3
101,基础天赋,7,50,,25,特攻增加,物攻增加,提升所有精灵的物攻和特攻,,50,,,,8,city/develop/talent/icon_sg.png,100,7,3,,,1,,3
102,基础天赋,7,28,,25,特防增加,物防增加,提升所有精灵的物防和特防,,28,,,,10,city/develop/talent/icon_sf.png,100,9,3,,,1,,3
103,基础天赋,7,1.00%,,25,,生命增加,战斗中提升前排精灵的生命,,,,,,,city/develop/talent/icon_smz.png,102,1,,,,1,,1
104,基础天赋,7,1.00%,,25,特攻增加,物攻增加,战斗中提升后排精灵的物攻和特攻,,1.00%,,,,8,city/develop/talent/icon_sg.png,101,7,3,,,1,,2
105,基础天赋,7,100,,25,,伤害加成增加,战斗中提升后排精灵的伤害加成,,,,,,,city/develop/talent/icon_shjc.png,104,22,,,,1,,2
106,基础天赋,7,100,,25,,伤害减免增加,战斗中提升前排精灵的伤害减免,,,,,,,city/develop/talent/icon_shjm.png,103,23,,,,1,,1
200,进阶天赋,,0.50%,2,45,,生命增加,提升所有精灵的基础生命百分比,,,,,,,city/develop/talent/icon_smz.png,,1,,,,2,,3
201,进阶天赋,7,0.50%,2,45,,物防增加,提升所有精灵的基础物防百分比,,,,,,,city/develop/talent/icon_wf.png,200,9,,,,2,,3
202,进阶天赋,7,0.50%,3,45,,特防增加,提升所有精灵的基础特防百分比,,,,,,,city/develop/talent/icon_tf.png,201,10,,,,2,,3
203,进阶天赋,7,50,4,45,,暴击抗性增加,提升所有精灵的基础暴击抗性百分比,,,,,,,city/develop/talent/icon_bjkx.png,202,16,,,,2,,3
