变量名,gateID,_beizhu,itemID,itemCount,weightMin,weightMax,firstWeight
默认值,,,5000,1,0,0,-1
ID,关卡ID,掉落物品名称,掉落道具,掉落道具数量,权值上限,权值下限,首次权值
,,,,,,,
1,10101,(掉落物品2防御21)(踏上征途1-2)(普通关卡),,,0.7,0.9,0.5
2,10101,(掉落物品2防御21)(踏上征途1-2)(普通关卡),5001,,0.7,0.9,0.5
6,10102,(掉落物品2防御21)(踏上征途1-2)(普通关卡),,,0.7,0.9,0.5
7,10102,(掉落亚古兽碎片*10)(踏上征途1-2)(普通关卡),5002,,0.7,0.9,0.5
11,10103,,,,0.7,0.9,0.5
12,10103,(掉落物品1强化药剂)(普通1-01)(普通关卡),5003,,0.7,0.9,0.5
16,10104,(掉落物品2攻击21)(普通1-01)(普通关卡),,,0.7,0.9,0.5
17,10104,(掉落物品1强化药剂)(普通1-02)(普通关卡),5001,,0.7,0.9,0.5
21,10105,(掉落物品2防御21)(普通1-02)(普通关卡),,,0.7,0.9,0.5
22,10105,(掉落物品1强化药剂)(普通1-03)(普通关卡),5002,,0.7,0.9,0.5
26,10201,(掉落物品2技能21)(普通1-03)(普通关卡),,,0.7,0.9,0.5
27,10201,(掉落物品1强化药剂)(普通1-04)(普通关卡),5001,,0.7,0.9,0.5
31,10202,(掉落物品2攻击21)(普通1-04)(普通关卡),,,0.7,0.9,0.5
32,10202,(掉落物品1强化药剂)(普通1-05)(普通关卡),5001,,0.7,0.9,0.5
36,10203,(掉落物品2防御21)(普通1-05)(普通关卡),,,0.7,0.9,0.5
37,10203,(掉落物品1强化药剂)(普通2-01)(普通关卡),5002,,0.7,0.9,0.5
41,10204,(掉落物品2攻击21)(普通2-01)(普通关卡),,,0.7,0.9,0.5
42,10204,(掉落物品1强化药剂)(普通2-02)(普通关卡),5002,,0.7,0.9,0.5
46,10205,(掉落物品2攻击21)(普通2-02)(普通关卡),,,0.7,0.9,0.5
47,10205,(掉落物品1强化药剂)(普通2-03)(普通关卡),5003,,0.7,0.9,0.5
51,10206,(掉落物品2防御21)(普通2-03)(普通关卡),,,0.7,0.9,0.5
52,10206,(掉落物品1强化药剂)(普通2-04)(普通关卡),5003,,0.7,0.9,0.5
56,10301,(掉落物品2防御21)(普通2-04)(普通关卡),,,0.7,0.9,0.5
57,10301,(掉落物品1强化药剂)(普通2-05)(普通关卡),5001,,0.7,0.9,0.5
61,10302,(掉落物品2技能21)(普通2-05)(普通关卡),,,0.7,0.9,0.5
62,10302,(掉落物品1强化药剂)(普通2-06)(普通关卡),5001,,0.7,0.9,0.5
66,10303,(掉落物品2技能21)(普通2-06)(普通关卡),,,0.7,0.9,0.5
67,10303,(掉落物品1强化药剂)(普通3-01)(普通关卡),5001,,0.7,0.9,0.5
71,10304,(掉落物品2攻击21)(普通3-01)(普通关卡),,,0.7,0.9,0.5
72,10304,(掉落物品1强化药剂)(普通3-02)(普通关卡),5002,,0.7,0.9,0.5
76,10305,(掉落物品2攻击21)(普通3-02)(普通关卡),,,0.7,0.9,0.5
77,10305,(掉落物品1强化药剂)(普通3-03)(普通关卡),5002,,0.7,0.9,0.5
81,10306,(掉落物品2攻击21)(普通3-03)(普通关卡),,,0.7,0.9,0.5
82,10306,(掉落物品1强化药剂)(普通3-04)(普通关卡),5002,,0.7,0.9,0.5
86,10307,(掉落物品2防御21)(普通3-04)(普通关卡),,,0.7,0.9,0.5
87,10307,(掉落物品1强化药剂)(普通3-05)(普通关卡),5003,,0.7,0.9,0.5
91,10308,(掉落物品2防御21)(普通3-05)(普通关卡),,,0.7,0.9,0.5
92,10308,(掉落物品1强化药剂)(普通3-06)(普通关卡),5003,,0.7,0.9,0.5
96,10401,(掉落物品2防御21)(普通3-06)(普通关卡),,,0.7,0.9,0.5
97,10401,(掉落物品1强化药剂)(普通3-07)(普通关卡),5004,,0.7,0.9,0.5
98,10401,(掉落物品2技能21)(普通3-07)(普通关卡),5002,,0.1,0.3,0.5
99,10401,(掉落物品1强化药剂)(普通3-08)(普通关卡),5003,,0.1,0.3,0.5
101,10402,(掉落物品2技能21)(普通3-08)(普通关卡),,,0.7,0.9,0.5
102,10402,(掉落物品1强化药剂)(普通4-01)(普通关卡),5004,,0.7,0.9,0.5
103,10402,(掉落物品2攻击22)(普通4-01)(普通关卡),5002,,0.1,0.3,0.5
104,10402,(掉落物品3防御21)(普通4-01)(普通关卡),5003,,0.1,0.3,0.5
106,10403,(掉落物品4技能21)(普通4-01)(普通关卡),,,0.7,0.9,0.5
107,10403,(掉落物品1强化药剂)(普通4-02)(普通关卡),5004,,0.7,0.9,0.5
108,10403,(掉落物品2攻击22)(普通4-02)(普通关卡),5002,,0.1,0.3,0.5
109,10403,(掉落物品3防御21)(普通4-02)(普通关卡),5003,,0.1,0.3,0.5
111,10404,(掉落物品4技能21)(普通4-02)(普通关卡),,,0.7,0.9,0.5
112,10404,(掉落物品1强化药剂)(普通4-03)(普通关卡),5005,,0.7,0.9,0.5
113,10404,(掉落物品2攻击22)(普通4-03)(普通关卡),5003,,0.1,0.3,0.5
114,10404,(掉落物品3防御21)(普通4-03)(普通关卡),5001,,0.1,0.3,0.5
116,10405,(掉落物品4技能21)(普通4-03)(普通关卡),,,0.7,0.9,0.5
117,10405,(掉落物品1强化药剂)(普通4-04)(普通关卡),5005,,0.7,0.9,0.5
118,10405,(掉落物品2防御22)(普通4-04)(普通关卡),5003,,0.1,0.3,0.5
119,10405,(掉落物品3技能21)(普通4-04)(普通关卡),5001,,0.1,0.3,0.5
121,10406,(掉落物品4攻击21)(普通4-04)(普通关卡),,,0.7,0.9,0.5
122,10406,(掉落物品1强化药剂)(普通4-05)(普通关卡),5005,,0.7,0.9,0.5
123,10406,(掉落物品2防御22)(普通4-05)(普通关卡),5003,,0.1,0.3,0.5
124,10406,(掉落物品3技能21)(普通4-05)(普通关卡),5001,,0.1,0.3,0.5
126,10407,(掉落物品4攻击21)(普通4-05)(普通关卡),,,0.7,0.9,0.5
127,10407,(掉落物品1强化药剂)(普通4-06)(普通关卡),5006,,0.7,0.9,0.5
128,10407,(掉落物品2防御22)(普通4-06)(普通关卡),5001,,0.1,0.3,0.5
129,10407,(掉落物品3技能21)(普通4-06)(普通关卡),5002,,0.1,0.3,0.5
131,10408,(掉落物品4攻击21)(普通4-06)(普通关卡),,,0.7,0.9,0.5
