变量名,_beizhu,card,costCards,costItems,condition,routeCost,rules,specialUnitID,popRules,targetID,mergeRouteCost,hasBattle,type,mergeReq,req,languages,mergeCardID,mergeRecoverCost,specialData,mergeRelieveCost,showType
默认值,,<>,{},{},<1;65>,{},<>,0,FALSE,0,{},FALSE,0,<>,{},<cn;kr;tw;en;en_us;en_eu>,0,{},{},{},0
ID,备注,本体精灵<cardID;星级>,材料精灵<type;value;星级;数量>1=稀有度 2=markID,消耗材料,超进化条件(1=角色等级 2=卡牌等级),新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目,新增条目
10,,<3;12>,,{501=20;502=100;3030=150;3101=120;gold=10000000},,,,,,,,,,,,,,,,,
111,,<13;12>,,{501=20;502=100;3030=150;3102=120;gold=10000000},,,,,,,,,,,,,,,,,
112,,<13;12>,,{501=20;502=100;3030=150;3103=120;gold=10000000},,,,,,,,,,,,,,,,,
210,,<23;12>,,{501=20;502=100;3030=150;3104=120;gold=10000000},,,,,,,,,,,,,,,,,
410,,<41;12>,,{501=5;502=20;3029=180;3105=150;gold=5000000},,,,,,,,,,,,,,,,,
510,,<53;12>,,{501=20;502=100;3030=150;3126=120;gold=10000000},,,,,,,,,,,,,,,,,
2610,,<263;12>,,{501=10;502=50;3030=60;3108=40;gold=5000000},,,,,,,,,,,,,,,,,
3910,,<393;12>,,{501=10;502=50;3030=60;3107=40;gold=5000000},,,,,,,,,,,,,,,,,
4010,,<402;12>,,{501=10;502=50;3030=60;3125=40;gold=5000000},,,,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,,,
5710,,<572;12>,,{501=10;502=50;3030=60;3113=40;gold=5000000},,,,,,,,,,,,,,,,,
6310,,<631;12>,,{501=10;502=50;3030=60;3123=40;gold=5000000},,,,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,,,
7010,,<701;12>,,{501=10;502=50;3030=60;3130=40;gold=5000000},,,,,,,,,,,,<cn>,,,,,
7610,,<761;11>,,{501=50;521=200;3031=100;3128=80;gold=60000000},,{501=20;521=80;3031=30;3128=30;gold=20000000},<95101;95111>,769,TRUE,,,,2,,,<cn;kr;tw;en_us;en>,,,{bgSpine=chaojinhua/chaomengjinhua1.skel;bgSpine2=chaojinhua/chaomengjinhua2.skel;bottomRes=city/card/mega/img_cjh_nklzm.png;btnName=megaRouteUnlockX;spine=koudai_chaomeng/hero_chaomeng.skel},,2
7611,,<761;11>,,{501=50;521=200;3031=100;3128=80;gold=60000000},,{501=20;521=80;3031=30;3128=30;gold=20000000},<95101;95111>,769,TRUE,,,,2,,,<cn;kr;tw;en;en_us;en_eu>,,,{bgSpine=chaojinhua/chaomengjinhua1.skel;bgSpine2=chaojinhua/chaomengjinhua2.skel;bottomRes=city/card/mega/img_cjh_nklzm.png;btnName=megaRouteUnlockY;spine=koudai_chaomeng/hero_chaomeng.skel},,2
8810,,<883;12>,,{501=10;502=50;3030=60;3109=40;gold=5000000},,,,,,,,,,,,,,,,,
10710,,<1071;12>,,{501=10;502=50;3030=60;3118=40;gold=5000000},,,,,,,,,,,,,,,,,
11710,,<1172;12>,,{501=10;502=50;3030=60;3119=40;gold=5000000},,,,,,,,,,,,,,,,,
12510,,<1253;12>,,{501=10;502=50;3030=60;3135=40;gold=5000000},,,,,,,,,,,,<cn>,,,,,
12910,,<1293;12>,,{501=10;502=50;3030=60;3131=40;gold=5000000},,,,,,,,,,,,<cn;kr;tw>,,,,,
13010,,<1303;12>,,{501=10;502=50;3030=60;3120=40;gold=5000000},,,,,,,,,,,,,,,,,
13110,,<1313;12>,,{501=10;502=50;3030=60;3112=40;gold=5000000},,,,,,,,,,,,,,,,,
13910,,<1393;12>,,{501=10;502=50;3030=60;3114=40;gold=5000000},,,,,,,,,,,,,,,,,
13911,,<1394;12>,,{501=10;502=50;3030=60;3115=40;gold=5000000},,,,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,,,
15010,,<1503;12>,,{501=10;502=50;3030=60;3116=40;gold=5000000},,,,,,,,,,,,,,,,,
18010,,<1802;12>,,{501=20;502=100;3030=150;3129=120;gold=10000000},,,,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,,,
19010,,<1903;12>,,{501=10;502=50;3030=60;3111=40;gold=5000000},,,,,,,,,,,,,,,,,
