变量名,name,_备注,feature,desc,showLevel,startLevel,startGate,startVip,languages,xxv,openDate,servers
默认值,"""""","""""","""""","""""",0,0,0,0,<cn;tw;en;vn;th;kr;en_us;en_eu>,0,0,{cn_qd=<1;999999>;en_eu=<1;999999>;kr=<1;999999>;tw=<1;999999>;en=<1;999999>;cn=<1;999999>;dev=<1;999999>;cn_huawei=<1;999999>;xy=<1;999999>;en_us=<1;999999>;kr_ks=<1;999999>}
ID,名称,名称,功能key,说明,显示等级，针对加锁类型,需要的等级（忽略showLevel）,需要的关卡,需要的VIP等级,语言区域,新增,新增,服务器
1,关卡自动战斗,,gateAuto,加锁;服务器不限制,,,10102,,,,,
2,关卡2倍速,,gateSpeed2,加锁;服务器不限制,,,10102,,,,,
3,关卡暂停,,gatePause,加锁;服务器不限制,,,10105,,,,,
4,困难关卡,,heroGate,隐藏显示,5,5,10204,,,,,
5,大招加速,,ultraAcc,隐藏显示,12,20,,,,,,
6,噩梦关卡,,nightmareGate,隐藏显示,36,47,20101,,,,,
7,关卡3倍速,,gateSpeed3,加锁;服务器不限制,15,20,10102,,,,,
8,快速扫荡,,quickSweep,隐藏显示,60,60,10910,,<cn;kr;en;tw;en_us;en_eu>,,,
9,跳过新手战斗,,skipNewbieBattle,,50,50,,,<cn;kr;en;tw;en_us;en_eu>,,,
10,跳过元素挑战,,skipCloneBattle,隐藏显示,75,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
11,扫荡礼物副本当前关,,dailyGiftGate,隐藏显示,65,65,,,<cn;kr;en;tw;en_us;en_eu>,,,
12,战斗简化,,battleSimplify,隐藏显示,30,30,,,<cn>,,,
13,技能描述简化,,shortDesc,隐藏显示,65,65,,,<cn>,,,
14,战斗buff收纳功能,,battleIconSimplify,隐藏显示,,,,,<cn;kr;en;tw;en_us;en_eu>,,,
100,普通商店,,shop,加锁,,9,,,,,,
101,竞技商店,,arenaShop,隐藏显示,15,15,,,,,,
102,公会商店,,unionShop,隐藏显示,20,20,,,,,,
103,碎片商店,,fragmentShop,隐藏显示,26,26,,,,,,
104,商店分类,,shopClassity,隐藏显示,55,55,,,,,,
105,饰品抽卡,,drawEquip,隐藏显示,22,26,,,,,,
106,限定抽卡累计宝箱功能,,timeLimitUpDrawSumBox,隐藏显示,6,6,,,,,,
107,抽卡累计宝箱功能,,drawSumBox,隐藏显示,6,6,,,,,,
108,钻石抽卡提示,,diamondDrawTips,加锁,,40,,,,,,
110,限定抽卡提示,,diamondUpDrawTips,,,40,,,,,,
113,符石抽取提示,,gemDrawTips,,66,66,,,<cn;tw;en;vn;th;kr;en_us;en_eu>,,,
115,vip礼包翻新第一期,,newVipGift1,,,,,,<cn;kr;en;tw;en_us;en_eu>,,,
117,vip礼包翻新第二期cn增加神兽礼包,,newVipGift3,,,,,,<cn;tw;en;en_us;kr>,,,
118,vip货币,,vipCoin,,,,,,<cn;tw;en;en_us;kr>,,,
119,vip商店,,vipShop,,,,,,<cn;tw;en;en_us;kr>,,,
200,个人形象,,roleFigure,加锁;服务器不限制,,1,,,,,,
201,头衔,,title,加锁,,1,,,,,,
202,精灵加锁,,cardUnlock,隐藏显示;服务器不限制,1,1,,,,,,
203,饰品,,equip,加锁,1,5,10202,,,,,
204,饰品升星,,equipStarAdd,加锁,22,26,,,,,,
205,饰品觉醒,,equipAwak,加锁,22,26,,,,,,
206,携带道具,,heldItem,隐藏显示,1,11,,,,,,
207,个体值洗练,,cardNValueRecast,隐藏显示,6,6,,,,,,
208,精灵好感度,,cardLike,隐藏显示,,25,,,,,,
209,精灵继承,,cardSwap,隐藏显示,,15,,,,,,
210,努力值,,cardEffort,隐藏显示,15,24,,,,,,
211,努力值十次培养,,effort10,隐藏显示;服务器不限制,24,24,,,,,,
212,精灵重生,,cardReborn,隐藏显示,,23,,,,,,
213,一键升级,,onekeyLevelup,隐藏显示;服务器不限制,28,28,,,,,,
214,精灵潜能,,cardAbility,隐藏显示,40,45,,,,,,
215,快速升级,,fastUpgrade,隐藏显示,35,35,,,,,,
216,快速强化,,fastStrengthen,隐藏显示,40,40,,,,,,
217,阵容推荐,,battleRecommend,隐藏显示,20,20,,,,,,
218,星级技能效果,,starEffect,隐藏显示,1,1,,,,,,
219,极限培养,,extremityProperty,,1,1,,,,,,
220,符石,,gem,,60,66,,,<cn;kr;en;tw;en_us;en_eu>,,,
221,符石一键强化,,gemOnekeyStrengthen,,75,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
222,超进化,,mega,加锁,60,65,,,<cn;kr;en;tw;en_us;en_eu>,,,
223,精灵分支切换,,cardSwitchBranch,,10,10,,,,,,
224,饰品刻印,,equipSignet,,70,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
225,饰品星级潜能,,equipAbility,,75,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
226,自定义努力值,,customEffort,,75,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
227,潜能一键强化,,potentialOneKey,,65,65,,,<cn;kr;en;tw;en_us;en_eu>,,,
228,饰品觉醒潜能,,equipAwakeAbility,,80,80,,,<cn;kr;en;tw;en_us;en_eu>,,,
229,一键刻印,,oneKeySignet,加锁,75,78,,,<cn;kr;en;tw;en_us;en_eu>,,,
230,秘境图腾,,totem,加锁,75,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
231,图腾能量,,totemEnergy,加锁,75,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
232,图腾寻觅,,totemDraw,加锁,78,78,,,<cn;kr;en;tw;en_us;en_eu>,,,
233,图腾星阶,,totemStar,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
234,携带道具图鉴红色页签,,helditemBag6,,,,,,<cn;kr;tw;en;en_us>,,,
235,契约之章,,contract,,80,82,,,<cn;kr;en;tw;en_us;en_eu>,,,
300,在线礼包,,onlineGift,隐藏显示,6,6,,,,,,
301,图鉴,,handbook,加锁;服务器不限制,,10,,,,,,
302,每日任务,,dailyTask,加锁;服务器不限制,,12,,,,,,
303,冒险执照,,trainer,加锁,,12,,,,,,
304,竞技场,,arena,加锁,,15,,,,,,
305,日常副本,,activityGate,加锁,,18,,,,,,
306,排行榜,,rank,加锁,,18,,,,,,
307,公会红包,,unionRedpacket,加锁;服务器不限制,,20,,,,,,
308,公会,,union,加锁,,20,,,,,,
309,冒险之路,,endlessTower,隐藏显示,,24,,,,,,
310,天赋,,talent,隐藏显示;服务器不限制,,27,,,,,,
311,派遣任务,,dispatchTask,隐藏显示,,30,,,,,,
312,探险器,,explorer,,,33,,,,,,
313,溢出经验兑换,,overflowExpExchange,隐藏显示,,99,,,<cn;tw;en;vn;th;kr;en_us;en_eu>,,,
314,VIP 18,,vipLevel18,隐藏显示,,1,,,<cn;kr;tw;en;en_us;en_eu>,,,
315,石英大会,,craft,加锁,,40,,,,,,
316,卡牌分享,,cardShare,隐藏显示,,32,,,,,,
317,战报分享,,battleShare,隐藏显示,,32,,,,,,
318,以太乐园,,randomTower,加锁,,33,,,,,,
319,元素挑战,,cloneBattle,加锁,,32,,,,,,
320,限时捕捉,,limitCapture,加锁,33,36,,,,,,
321,成就系统,,achievement,加锁,45,50,,,,,,
322,地图捕捉,,gateCapture,隐藏显示,,20,,,,,,
323,跨服石英大会,,crossCraft,加锁,,50,,,<cn;kr;en;tw;en_us;en_eu>,,,
324,公会战,,unionFight,加锁,,40,,,<cn;kr;en;tw;en_us;en_eu>,,,
325,世界聊天,,worldChat,加锁,,32,,,,,,
326,私聊,,roleChat,加锁,,32,,,,,,
327,以太直通高层,,randomTowerJump,加锁,70,70,,,<cn;kr;tw;en;en_us;en_eu>,,,
328,公会邮件,,unionMail,加锁,,32,,,,,,
