变量名,name,name_tw,name_en,name_vn,name_kr,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,openLv,noticeLv,type,goToPanel
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,""""""
ID,功能/特权名称,功能/特权名称,功能/特权名称,功能/特权名称_越南,功能/特权名称_韩,功能展示logo,相关简单说明,相关简单说明,相关简单说明,相关简单说明_越南,相关简单说明_韩,开启等级,开始提醒等级,提示的优先级 1.基础功能、布阵、公会、聊天等 2.活动功能、竞技场、王者等活动 3.附属功能、如同XX特权、XX星座什么的,特殊跳转
1,抽卡,抽卡,Draw a card,Rút th?,??,city/levelup/icon_nd_rk@.png,抽取强力精灵，提升实力,抽取強力精靈，提升實力,Draw powerful Pokémons to enhance your strength,404404,??? ???? ??? ??? ????.,2,1,1,
2,布阵,佈陣,Adjust line-up,404404,???,city/levelup/icon_bd_rk@.png,上阵精灵，调整站位,上陣精靈，調整站位,Send out Pokémons and adjust the formation,404404,???? ???? ???? ?????.,2,1,1,
3,精灵进阶,精靈進階,Pokémon Upgrade,404404,??? ??,city/levelup/icon_yc_rk@.png,精灵进阶，提升精力战斗力,精靈進階，提升精力戰鬥力,Upgrade Pokémons to boost the Pokémon's energy and combat power ,404404,???? ???? ???? ????.,3,2,1,
4,技能升级,技能升級,Upgrade move,404404,?? ???,city/levelup/icon_yc_rk@.png,技能升级，提升技能威力,技能升級，提升技能威力,Level up move to enhance its power,404404,??? ???? ?? ??? ????.,3,2,1,
5,精灵升级,精靈升級,Pokémon upgrade,404404,??? ???,city/levelup/icon_yc_rk@.png,快速提升精灵等级,快速提升精靈等級,Quick upgrade in Pokémon level,404404,???? ??? ??? ?? ? ???.,4,3,1,
6,商店,商店,Shop,C?a hàng,??,city/levelup/icon_sd_rk.png,商店开启，可以购买各种道具,商店開啟，可以購買各種道具,"Shop is now open, you may now purchase various items",404404,???? ?? ???? ??? ? ???.,9,3,1,
7,图鉴,圖鑒,Pokédex,?? giám,??,city/levelup/icon_tj_rk@.png,收集精灵，解锁图鉴，成为更强的训练家吧,收集精靈，解鎖圖鑒，成為更強的訓練家吧,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,404404,???? ???? ??? ??? ?? ?? ????? ???.,10,3,1,
8,携带道具,攜帶道具,Held Items,Mang theo ??o c?,?? ???,city/levelup/icon_yc_rk@.png,携带道具，获得额外效果,攜帶道具，獲得額外效果,"Held Item, it gives additional effects",404404,?? ????? ?? ??? ?????.,11,4,1,
