变量名,_beizhu,name,name_tw,name_kr,name_en,feature,goto,unionlevel,openseq,roundKey,roundState,icon,bg,txt,txt_tw,txt_en,txt_kr,sighid,startTime,startTimes,endTime,priority,serverday,reminder,spine,spineOffsets
默认值,"""""",,,,,"""""","""""",,<1;2;3;4;5;6;7>,,,"""""","""""","""""","""""","""""","""""","""""",0,<>,2400,0,1,0,huodongtixing/huodongtixing.skel,{x=0;y=0}
ID,系统名字,功能名,功能名,功能名,功能名,功能key,跳转,公会等级,开放周期序列,服务器round字段,根据服务器round状态判是否开启,系统图标,背景资源,文本说明,文本说明,文本说明,文本说明_韩,类型标识,开始时间,开始时间点，刷新判定,结束时间,显示优先级(大的优先显示),开服天数,提醒类型(0 :长显，1:一次提醒，2:多次提醒),spine,spineOffsets
1,,,,,,cloneBattle,cloneBattle,,,,,,,正在进行,,,,1,1200,,,1002,,1,,
2,,,,,,unionRedpacket,redpacket,2,,,,,,开始发放,,,,2,1,,2399,2000,,1,,
3,,,,,,craft,craft,,,,,,,开始报名,,,,3,1000,,1950,1001,9,1,,
4,,,,,,craft,craft,,,,,,,火热进行,,,,4,2000,,2050,2,9,,,
5,,,,,,unionFight,unionFight,4,<2;3;4;5;6>,,,,,开始报名,,,,5,930,,2050,1004,14,1,,
6,,,,,,unionFight,unionFight,4,<2;3;4;5;6>,,,,,火热进行,,,,6,2050,,2130,3,14,,,
7,,,,,,crossCraft,crossCraft,,<1;5>,,,,,开始报名,,,,7,1000,,1850,5,30,1,,
8,,,,,,crossCraft,crossCraft,,<1;5>,,,,,火热进行,,,,8,1900,,1946,6,30,,,
9,,,,,,onlineFight,onlineFight,,,cross_online_fight_round,start,,,火热进行,,,,9,,<1200>,,2001,40,1,,
10,,,,,,crossMine,crossMine,,,cross_mine_round,start,,,火热进行,,,,10,,<1000>,,2002,36,1,,
11,,跨服商业街Boss,,,,crossMine,crossMineBoss,,,cross_mine_boss_time,0,,,前往击杀,,,,11,,<1230;1830>,,2003,36,2,,
12,,钓鱼大赛,,,,fishing,fishing,,<7>,cross_fishing_round,start,,,火热进行,,,,12,500,,2300,2006,40,1,,
13,,公会问答,,,,unionQA,unionQA,5,<6;7>,unionqa_round,start,,,火热进行,,,,13,500,,,2004,30,1,,
14,,跨服竞技场,,,,crossArena,crossArena,,<1>,cross_arena_round,start,,,火热进行,,,,14,1200,,2200,2005,50,1,,
15,,部屋大作战,,,,crossunionfight,crossunionfight,4,<5;7>,cross_union_fight_status,start,,,火热进行,,,,15,900,,2130,2007,30,1,,
16,,家园派对,,,,town,townHome,,<6;7>,cross_town_party_round,start,,,火热进行,,,,16,500,,,2008,2,1,,
17,,,,,,crossUnionAdventure,crossUnionAdventure,,<1;2;3;4;5;6;7>,cross_union_adventure_round,union_prepare,,,开始报名,,,,17,,,,2009,55,1,,
18,,,,,,crossUnionAdventure,crossUnionAdventure,,<1;2;3;4;5;6;7>,cross_union_adventure_round,role_prepare,,,个人报名,,,,18,,,,2010,55,1,,
19,,,,,,crossUnionAdventure,crossUnionAdventure,,<3;5;7>,cross_union_adventure_round,battle,,,火热进行,,,,19,,,,2011,55,1,,
20,,帷幕马戏团,,,,crossCircus,crossCircus,,,cross_circus_round,start,,,火热进行,,,,20,1000,,2200,2012,60,1,,
