变量名,level,restrain,weatherType,nature,type,affectCourt,__version
默认值,1,<>,,,,,
ID,默认值,默认值,默认值,默认值,默认值,默认值,__version
11,,<12;14>,11,,1,3,
12,,<13>,12,,1,3,
13,,<11;15>,13,,1,3,
14,,<13>,14,,1,3,
15,,<14;16>,15,,1,3,
16,,<13>,16,,1,3,
20,2,,20,,1,3,
21,3,<22>,21,,1,3,
22,3,<23>,22,,1,3,
23,3,<21;25>,23,,1,3,
25,3,<26>,25,,1,3,
26,3,<23>,26,,1,3,
30,4,,30,,1,3,
41,,,41,,1,3,
42,,,42,,1,3,
43,,,43,,1,3,
44,,,44,,1,3,
111,,,,,2,3,
121,,,,,2,3,
131,,,,,2,3,
141,,,,14,2,2,
211,2,,,11,2,3,
221,2,,,2,2,1,
222,2,,,4,2,1,
223,2,,,5,2,1,
224,2,,,3,2,1,
311,3,,,11,2,3,
312,3,,,14,2,3,
313,3,,,16,2,3,
314,3,,,3,2,3,
315,3,,,6,2,3,
316,3,,,17,2,3,
321,3,,,5,2,1,
322,3,,,10,2,1,
331,3,,,5,2,2,
332,3,,,9,2,2,
333,3,,,10,2,2,
334,3,,,9,2,3,
335,3,,,10,2,2,
411,4,,,7,2,3,
412,4,,,7,2,3,
413,4,,,11,2,3,
414,4,,,6,2,3,
415,4,,,17,2,3,
416,4,,,2,2,2,
417,4,,,14,2,3,
418,4,,,16,2,3,
421,4,,,5,2,1,
