变量名,_beizhu,fragID,cardID,languages
默认值,,,,<cn;tw;en;vn;th;kr>
ID,备注,碎片id,卡牌id,语言区域
,,,,
1,妙蛙种子,20001,1,
2,妙蛙草,20001,2,
3,妙蛙花,20001,3,
11,小火龙,20011,11,
12,火恐龙,20011,12,
13,喷火龙,20011,13,
21,杰尼龟,20021,21,
22,卡咪龟,20021,22,
23,水箭龟,20021,23,
31,绿毛虫,20031,31,
33,巴大蝶,20031,33,
41,大针蜂,20041,41,
51,波波,20051,51,
52,比比鸟,20051,52,
53,大比鸟,20051,53,
61,小拉达,20061,61,
62,拉达,20061,62,
71,烈雀,20071,71,
72,大嘴雀,20071,72,
81,阿柏蛇,20081,81,
82,阿柏怪,20081,82,
91,皮丘,20091,91,
92,皮卡丘,20091,92,
93,雷丘,20091,93,
101,穿山鼠,20101,101,
102,穿山王,20101,102,
111,尼多兰,20111,111,
112,尼多娜,20111,112,
113,尼多后,20111,113,
121,尼多朗,20121,121,
122,尼多力诺,20121,122,
123,尼多王,20121,123,
131,皮宝宝,20131,131,
132,皮皮,20131,132,
133,皮可西,20131,133,
151,宝宝丁,20151,151,
152,胖丁,20151,152,
153,胖可丁,20151,153,
171,走路草,20171,171,
172,臭臭花,20171,172,
173,霸王花,20171,173,
191,毛球,20191,191,
192,摩鲁蛾,20191,192,
221,可达鸭,20221,221,
222,哥达鸭,20221,222,
231,猴怪,20231,231,
232,火暴猴,20231,232,
241,卡蒂狗,20241,241,
242,风速狗,20241,242,
261,凯西,20261,261,
262,勇基拉,20261,262,
263,胡地,20261,263,
271,腕力,20271,271,
272,豪力,20271,272,
273,怪力,20271,273,
281,喇叭芽,20281,281,
282,口呆花,20281,282,
283,大食花,20281,283,
301,小拳石,20301,301,
302,隆隆石,20301,302,
303,隆隆岩,20301,303,
331,小磁怪,20331,331,
332,三合一磁怪,20331,332,
333,自爆磁怪,20331,333,
341,大葱鸭,20341,341,
351,嘟嘟,20351,351,
352,嘟嘟利,20351,352,
371,臭泥,20371,371,
372,臭臭泥,20371,372,
391,鬼斯,20391,391,
392,鬼斯通,20391,392,
393,耿鬼,20391,393,
401,大岩蛇,20401,401,
402,大钢蛇,20401,402,
451,卡拉卡拉,20451,451,
452,嘎啦嘎啦,20451,452,
461,无畏小子,20461,461,
462,飞腿郎,20461,462,
463,快拳郎,20461,463,
464,战舞郎,20461,464,
471,大舌头,20471,471,
472,大舌舔,20471,472,
481,瓦斯弹,20481,481,
482,双弹瓦斯,20481,482,
491,独角犀牛,20491,491,
492,钻角犀兽,20491,492,
493,超甲狂犀,20491,493,
541,角金鱼,20541,541,
542,金鱼王,20541,542,
551,海星星,20551,551,
552,宝石海星,20551,552,
571,飞天螳螂,20571,571,
572,巨钳螳螂,20571,572,
591,电击怪,20591,591,
592,电击兽,20591,592,
593,电击魔兽,20591,593,
601,鸭嘴宝宝,20601,601,
602,鸭嘴火兽,20601,602,
603,鸭嘴炎兽,20601,603,
631,暴鲤龙,20631,631,
691,化石盔,20691,691,
692,镰刀盔,20691,692,
711,小卡比兽,20711,711,
