变量名,type,_yyId,card,helditem,item,desc
默认值,1,,,,,<>
ID,标签类型(1金币2钻石3寻宝4携带道具池5限时神兽6限时抽卡9符石金币10符石钻石11符石限定抽取12芯片金币13芯片钻石）,活动ID,卡牌id,携带道具id,物品id,概率描述language字段加百分比前数字的格式
1,,,,,<100;11;12;13;14;15;tag_fragS;tag_fragA;tag_fragB;5000;607;608;609;610;611;612;613;614;615;616;617;618;619;620;621;622;623;gold>,<<rarityFrag2;40>;<normalItem;60>>
2,2,,<tag_cardS;tag_cardA;tag_cardB>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
3,3,,,,<4000;4011;4012;4013;4021;4022;4023;4031;4032;4033;4041;4042;4043;4051;4052;4053;4061;4062;4063;4064;4071;4072;4073;4074;4081;4082;4083;4084;4085;4092;4093;4094;4095;4096>,<<rarityTanxian4;5>;<rarityTanxian3;15>;<rarityTanxian2;18>;<rarityTanxian1;30>;<tanxianItem;32>>
4,4,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<501;200;201;202;203;204;205;210;211;212;213;214;215;220;221;222;223;224;225;230;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;4>;<rarityHeldItem0;8>;<juexingItem;0.8>;<normalItem;76.7>>
5,5,,<1071;11;1171;1221;1231;1241;1251;1291;131;1391;1421;1441;1501;1611;1801;1811;1841;1861;2011;2071;21;2271;2301;2481;2631;271;281;2871;2921;2922;301;3011;3021;3141;3281;3291;331;3341;3351;341;3411;3431;3471;3501;3541;371;391;461;471;481;51;551;571;591;601;631;721;731;741;781;791;801;881;91;1;261>,,<502;521;21971;21891>,
6,6,,<1071;11;1171;1221;1231;1241;1251;1291;131;1391;1421;1441;1501;1611;1801;1811;1841;1861;2011;2071;21;2271;2301;2481;2631;271;281;2871;2921;2922;301;3011;3021;3141;3281;3291;331;3341;3351;341;3411;3431;3471;3501;3541;371;391;461;471;481;51;551;571;591;601;631;721;731;741;781;791;801;881;91;1;261>,,<502;521;21971;21891>,
7,6,,<1;11;21;3631;2233>,,<11;12;13;14;100;606;607;608;609;610;611;612;613;614;615;616;617;618;619;620;621;622;623;800;801>,
8,7,,<1;21;11;571;591;601;631;691;721;731;741;753;791;891;1171;1221;1231;1241;1251;1291;1351;1421;1611;2011;2271;2481;3281;3291;3301;3471;3541>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
9,7,,<1271;1;11;21;41;51;61;71;81;91;101;131;261;271;301;331;1291;1351;1421;1611;2011;2271;2481;3281;3291;3301;3471;3541>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
10,7,,,,<14;15;870;603;604;606;609;612;615;618;621;502;401;402>,
