变量名,rmbPoint,rmbRate,type
默认值,0,1,1
ID,钻石消耗位,钻石消耗系数,类型 1=精灵 2=携带道具 3=宝石 4=芯片 5=契约 6=琉石
1,,,
2,50,,
3,100,0.75,
4,150,0.5,
5,200,0.3,
6,300,0.2,
7,9999999999,0.1,
8,,,2
9,40,,2
10,80,0.8,2
11,120,0.6,2
12,160,0.4,2
13,200,0.2,2
14,9999999999,0.1,2
15,,,3
16,10,,3
17,20,0.8,3
18,40,0.6,3
19,60,0.4,3
20,80,0.2,3
21,9999999999,0.1,3
22,,,4
23,10,,4
24,20,0.8,4
25,40,0.6,4
26,60,0.4,4
27,80,0.2,4
28,9999999999,0.1,4
29,,,5
30,10,,5
31,20,0.8,5
32,40,0.6,5
33,60,0.4,5
34,80,0.2,5
35,9999999999,0.1,5
36,,,6
37,10,,6
38,20,0.8,6
39,40,0.6,6
40,60,0.4,6
41,80,0.2,6
42,9999999999,0.1,6
