变量名,name,iconRes,describe,effectRes,natureType,upgradeType2,upgradeType1,advanced,upgradeCondition1,upgradeCondition2,buffId,buffValueGroup,lifeRound,overlay,preWeather,regEffect,weatherType
默认值,,,,,,0,0,0,{},{},,,,,0,,
ID,天气名字,天气icon资源路径,天气介绍,天气特效资源路径,自然属性,新增,新增,新增,新增,新增,buffId,buffValueGroup,lifeRound,overlay,preWeather,regEffect,weatherType
1,雨天,battle/weather_icon/icon_rain.png,水系精灵速度提升；火系精灵伤害降低\n每个大回合结束时驱散全体精灵一部分负面效果,weather/xiayu.skel,,,,,,,,,4,99,,<{skillPower=10%};{skillPower=-10%}>,1
2,雷雨,battle/weather_icon/icon_thunderstorm.png,电系技能伤害提升\n每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】,weather/leiyu.skel,,,,,,,,,4,99,,<{skillPower=10%};{skillPower=-10%}>,2
3,雪天,battle/weather_icon/icon_snow.png,冰系精灵双防提升\n所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】,weather/xuehua.skel,,,,,,,<<990001>>,<<{buffLifeRound=4;buffValue=-target:hpMax()*0.1;buffProb=1}>>,4,99,,,3
4,沙暴,battle/weather_icon/icon_sandstorm.png,岩石系精灵物防提升\n所有非地面和岩石精灵每个大回合结束时有几率被【致盲】,weather/shachen.skel,,,,,,,<<990002>;<990003>>,<<{buffLifeRound=4;buffValue=-target:hpMax()*0.15;buffProb=1}>;<{buffLifeRound=4;buffValue=target:specialDefence()*0.45;buffProb=1}>>,4,99,,,4
5,乱流,battle/weather_icon/icon_turbulence.png,飞行系精灵速度提升\n每个大回合结束每个精灵有几率被【吹飞】，非飞行系精灵落地时会损失一定生命值,weather/luanliu.skel,,,,,,,,,10,99,,<{skillPower=10%};{skillPower=-10%}>,5
6,大日照,battle/weather_icon/icon_sun.png,火系精灵伤害提升；水系精灵伤害降低\n全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,weather/darizhao.skel,,,,,,,,,10,99,,<{skillPower=10%};{skillPower=-10%}>,6
7,浓雾,battle/weather_icon/icon_fog.png,全体降低大量命中率,weather/nongwu.skel,,,,,,,<<990001>>,<<{buffLifeRound=10;buffValue=-target:hpMax()*0.1;buffProb=1}>>,10,99,,,7
8,黑夜,battle/weather_icon/icon_nightmoon.png,非幽灵、恶系精灵伤害降低；\n幽灵系精灵免疫特攻伤害；\n恶系精灵必杀抗性大幅提升,weather/yewan.skel,,,,,,,<<990002>;<990003>>,<<{buffLifeRound=10;buffValue=-target:hpMax()*0.15;buffProb=1}>;<{buffLifeRound=10;buffValue=target:specialDefence()*0.45;buffProb=1}>>,10,99,,,8
9,黑夜,battle/weather_icon/icon_nightmoon.png,非幽灵、恶系精灵伤害降低；\n幽灵系精灵免疫物攻伤害；\n恶系精灵必杀抗性大幅提升,weather/yewan.skel,,,,,,,<<990002>;<990003>>,<<{buffLifeRound=10;buffValue=-target:hpMax()*0.15;buffProb=1}>;<{buffLifeRound=10;buffValue=target:specialDefence()*0.45;buffProb=1}>>,10,99,,,9
10,雨天,battle/weather_icon/icon_yutian.png,水系技能和水元素类伤害效果提升15%，己方水系提升10%抗暴，并每大回合开始驱散2层负面效果（优先灼烧类效果），对敌方非水系精灵降速6%,weather/xiayu.skel,3,,,,,,,,,,,,11
11,日照,battle/weather_icon/icon_rizhao.png,己方火系精灵暴击爆伤提升10%，火系技能和火元素类伤害效果提升15%，火系受到克制伤害降低15%,weather/darizhao.skel,2,,,,,,,,,,,,12
12,晴朗,battle/weather_icon/icon_qinglang.png,己方草系精灵治疗率提升20%，且行动回合前恢复5%最大血量,weather/nongwu.skel,4,,,,,,,,,,,,13
13,暴雪,battle/weather_icon/icon_baoxue.png,每个大回合结束时，场上所有非冰系精灵有10%概率被冰冻2回合，受到累计超过目标30%的生命后解除，未被冰冻的目标则受到超级暴雪王70%物攻的冰元素伤害,weather/xuehua.skel,6,,,,,,,,,,,,14
14,沙暴,battle/weather_icon/icon_shabao.png,己方岩/地系精灵双防提升20%，且被动伤害提升10%,weather/shachen.skel,13,,,,,,,,,,,,15
15,大雨天,battle/weather_icon/icon_dayutian.png,水系技能和水元素类伤害效果提升15%，己方水系提升10%抗暴，并每大回合开始驱散2层负面效果（优先灼烧类效果），对敌方非水系精灵降速6%,weather/xiayu.skel,3,,,1,,,,,,,,,21
16,大日照,battle/weather_icon/icon_darizhao.png,己方火系精灵暴击爆伤提升10%，火系技能和火元素类伤害效果提升15%，火系受到克制伤害降低15%,weather/darizhao.skel,2,,,1,,,,,,,,,22
17,大晴天,battle/weather_icon/icon_daqingtian.png,己方草系精灵治疗率提升30%，且行动回合前恢复10%最大血量；缠绕时，技能释放者吸取100%物攻/特攻的血量，并造成等额真实伤害。,weather/nongwu.skel,4,2,1,1,{4=3},{1972=1},,,,,13,,23
18,神圣沙暴,battle/weather_icon/icon_shenshengshabao.png,己方岩/地系精灵双防提升30%，且被动伤害提升15%，且每回合首次行动后，额外造成30w神圣伤害,weather/shachen.skel,13,,2,1,{3632=1},,,,,,15,,25
19,乱流,battle/weather_icon/icon_luanliu.png,特殊天气效果，生效时，双方所有天气效果会暂时失效；飞行系精灵在乱流中，提升6%速度和15%闪避，受到属性克制效果降低50%。（电系精灵无视乱流闪避）,weather/luanliu.skel,10,,,,,,,,,,,,30
